auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price1;price2;price3;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000934;03/371/16;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Брошь;;Серебро 875°, стразы, СССР, Харьковская ювелирная фабрика, 1971 г., клейма: «875, звезда, х (Харьковская пробирная инспекция), 1ХЮ», диаметр 5 см, вес 9,7 гр;1200;1200;1200;03_371_16_01.jpg;03_371_16_02.jpg;03_371_16_03.jpg;;;;;;;;;;;;
;1000930;03/217/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Кольцо «Маркиза»;;Золото 56°, природные бриллианты старой огранки: 2 камня - 0,1 карата, 2 камня - 0,04 карата, 23 камня - 0,053 карата, 1 камень огранки «Роза» - 0,006 карата, общая масса - 1,499 карата 3/4 (чистота/цветность), бирюза, размер центральной части кольца - 3,2х1 см, размер 18. Клейма: именник мастера в прямоугольнике - не читаем, пробирное клеймо в лопатке: 56 ЯЛ (Я. Ляпунов, пробирный мастер), Санкт-Петербург, 1899-1903 гг. Форма кольца получила свое название по форме огранки бриллианта «Маркиз», которая появилась во времена Короля-Солнца - Луи XIV. Король, желавший жениться на маркизе де Помпадур, приказал создать бриллиант, похожий на улыбку маркизы. Так появилась форма «Маркиз» - клиньевая огранка бриллианта в форме лодочки. Ограненный таким образом камень эффектно смотрелся также в окружении маленьких бриллиантов. Позже, центральный камень заменялся цветными драгоценными и полудрагоценными камнями, в данном случае - бирюзой. Изящная удлиненная форма кольца создает эффект длинных и узких пальцев и пользуется большой популярностью.;1200;1200;1200;03_217_08_01.jpg;03_217_08_02.jpg;03_217_08_03.jpg;;;;;;;;;;;;
;1000933;03/371/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Медальон «Роза»;;Кость, резьба, 2-я половина XX в., размер 5х3,5 см;1200;1200;1200;03_371_06_01.jpg;03_371_06_02.jpg;03_371_06_03.jpg;03_371_06_04.jpg;03_371_06_05.jpg;;;;;;;;;;
;1000932;03/234/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Яйцо - шкатулка;;Серебро, золочение, гильошированная эмаль, стекла, к. ХХ в., без клейм, вес 48,2 гр., высота 5 см (одна стеклянная вставка утрачена);1500;1500;1500;03_234_02_01.jpg;03_234_02_02.jpg;03_234_02_03.jpg;03_234_02_04.jpg;03_234_02_05.jpg;;;;;;;;;;
;348;01/004/23;20.09.2010 15:00;30.09.2010 15:00;;;Брошка «Роза с ландышами»;;Резьба по кости, Европа,  н. ХХ в., 4х6 см;1500;1500;1500;uvelir_broshka_roza_s_landishami_01_004_23_1.jpg;uvelir_broshka_roza_s_landishami_01_004_23_2.jpg;;;;;;;;;;;;;
;346;01/035/05;20.09.2010 15:00;30.09.2010 15:00;;;Брошь;;Серебро 916°, золочение, скань, горный хрусталь, клейма - голова рабочего, дельта (Московская пробирная инспекция), Р.С (Завод «Русские самоцветы», Ленинград), 1950-е гг., длина 5.3 см;1500;1500;1500;uvelir_brosh_01_035_05_1.jpg;uvelir_brosh_01_035_05_2.jpg;uvelir_brosh_01_035_05_3.jpg;;;;;;;;;;;;
;345;01/035/04;20.09.2010 15:00;30.09.2010 15:00;;;Брошь с монограммой;;Золото 56, клеймо - женская головка в кокошнике влево ЯЛ (пробирный инспектор Яков Ляпунов), С-Петербург,1899-1903 гг., длина 3.7 см;24000;24000;24000;uvelir_brosh_01_035_04_1.jpg;uvelir_brosh_01_035_04_2.jpg;uvelir_brosh_01_035_04_3.jpg;;;;;;;;;;;;
;343;01/004/22;20.09.2010 15:00;30.09.2010 15:15;;;Медальон для фото с рамочками;;Овальный, золото 56°, именник мастера АБ (Блохин Александр Анкидинов), пробирное клеймо Петербургского пробирного управления ЯЛ (пробирный инспектор Яков Ляпунов), н. ХХ в. Вес 21 гр.;24000;24000;24000;uvelir_medaljon.d.photo_01_004_022_1.jpg;uvelir_medaljon.d.photo_01_004_022_2.jpg;uvelir_medaljon.d.photo_01_004_022_3.jpg;uvelir_medaljon.d.photo_01_004_022_4.jpg;uvelir_medaljon.d.photo_01_004_022_5.jpg;;;;;;;;;;
;347;01/004/25;20.09.2010 15:00;30.09.2010 15:00;;;Пряжка;;Резьба по кости н. ХХ в., Европа, 5.3х3 см;1200;1200;1200;uvelir_pryagka_01_004_25_1.jpg;uvelir_pryagka_01_004_25_2.jpg;;;;;;;;;;;;;
;344;01/143/01;20.09.2010 15:00;30.09.2010 15:00;;;Ручка для трости «Бульдог»;;Поделочный камень, резьба, серебро, гильошированная эмаль, глаза: золото, эмаль, бриллианты, ХХ в., высота без крепления 6 см;1200;1200;1200;uvelir_rychka.d.trosti_01_143_01_1.jpg;uvelir_rychka.d.trosti_01_143_01_2.jpg;uvelir_rychka.d.trosti_01_143_01_3.jpg;;;;;;;;;;;;
