auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price1;price2;prince3;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000662;030/374/02;21.03.2011 15:00;31.03.2015 15:00;21.03.2011 15:00;31.03.2011 15:00;"Картина ""Береза на берегу""";;Холст, масло, подпись «Н. Домажировъ»(?), к. XIX - н. ХХ в., 54,5х33 см (холст дублирован);0;0;03_374_02_01.jpg;03_374_02_02.jpg;03_374_02_03.jpg;;;;;;;;;;;;;
;1000654;030/223/09;21.03.2011 15:00;31.03.2015 15:00;21.03.2011 15:00;31.03.2011 15:00;"Картина ""Женский портрет""";;Холст, масло, внизу слева подпись и дата - «В. Белобородов 1904», Россия, н. ХХ в., размер 44х31 см (в раме);0;0;03_223_09_01.jpg;03_223_09_02.jpg;03_223_09_03.jpg;;;;;;;;;;;;;
;1000653;030/223/07;21.03.2011 15:00;31.03.2015 15:00;21.03.2011 15:00;31.03.2011 15:00;"Картина ""Мельница на берегу""";;Картон, масло, внизу справа подпись Е. Самокиш-Судковская, Россия, начало ХХ в., размер 13,5 х 28 см, рама н. ХХ в.;15000;15000;03_223_07_01.jpg;03_223_07_02.jpg;03_223_07_03.jpg;03_223_07_04.jpg;;;;;;;;;;;;
;1000660;030/245/02;21.03.2011 15:00;31.03.2015 15:00;21.03.2011 15:00;31.03.2011 15:00;"Картина ""Натюрморт с цветами и виноградом""";;Картон, масло, без подписи, н. ХХ в., размер 52х36 см;0;0;03_245_02_01.jpg;03_245_02_02.jpg;;;;;;;;;;;;;;
;1000652;030/222/03;21.03.2011 15:00;31.03.2015 15:00;21.03.2011 15:00;31.03.2011 15:00;"Рябушинский (Рябушин) Борис (1898-1975) ""Сеттер с фазаном в зубах""";;Бумага, акварель, подпись слева сбоку B Riab, 1-я пол. XX в., размер 46,5х32,5 см (в раме под стеклом)  Б. Рябушин родился в Москве. Из-за революции 1917 г. покинул Россию. После скитаний по миру он поселился во Франции в 1927 г., где жил уединенно в Провансе. Никому не удалось сравниться с мастерством Рябушина (страстного охотника) в изображении охотничьих собак.;29000;29000;03_222_03_01.jpg;03_222_03_02.jpg;03_222_03_03.jpg;03_222_03_04.jpg;;;;;;;;;;;;
;484;010/076/02;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;22.08.2014 16:10;"1/076/02 ""Сергиев Посад""";;бумага, акварель, неизвестный художник, Россия , нач. ХХ в, 37х25 см;0;0;russkaya_zhivopis_01_076_02_1.jpg;russkaya_zhivopis_01_076_02_2.jpg;;;;;;;;;;;;;;
;19;010/120/03;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;23.08.2014 16:10;"""Берег реки, дети""";;Фанера, масло, подпись В. Златогурский, Россия, к.XIX - н. ХХ вв., 52.5х30 см;0;0;rus_bereg_reki_01_120_03_3.jpg;rus_bereg_reki_01_120_03_2.jpg;rus_bereg_reki_01_120_03_1.jpg;;;;;;;;;;;;;
;10;010/120/04;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;24.08.2014 16:10;"""Березы""";;Холст, масло, подпись Чистяков 1915, Россия, 54х71 см;0;0;rus_berezi_01_120_04_3.jpg;rus_berezi_01_120_04_2.jpg;rus_berezi_01_120_04_1.jpg;;;;;;;;;;;;;
;21;010/065/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;25.08.2014 16:10;"""Вечерний зимний пейзаж с дровнями""";;Неизвестный художник холст, масло, Россия, к. XIX - н. ХХ вв., 40х58.5 см;17000;17000;3772005.jpg;4929610.jpg;1302186.jpg;;;;;;;;;;;;;
;23;010/120/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;26.08.2014 16:10;"""Зимний лес на закате""";;Фанера, масло, подпись Цигус (П. Цигус), Россия, н. ХХ в., 35х21.5 см;0;0;rus_les_cigys_01_120_01_1.jpg;rus_les_cigys_01_120_01_2.jpg;rus_les_cigys_01_120_01_3.jpg;;;;;;;;;;;;;
;3;010/037/03;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;27.08.2014 16:10;"""Мальчик у лодки""";;Холст, масло, неизвестный художник, Россия (?), н. ХХ в., 35х27 см;20000;20000;rus_malchik_y_lodki_01_037_03_2.jpg;rus_malchik_y_lodki_01_037_03_1.jpg;;;;;;;;;;;;;;
;14;010/126/04;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;28.08.2014 16:10;"""Нарзан""";;Масло на цинке, неизвестный художник, к. XIX в., 25х15см;0;0;rus_Narzan_01_126_04_2.jpg;rus_Narzan_01_126_04_1.jpg;;;;;;;;;;;;;;
;16;010/135/04;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;29.08.2014 16:10;"""Натюрморт с цветами и кувшином""";;Холст на картоне, подпись - неразборчиво, Россия, н. ХХ в., 55х52 см;0;0;rus_naturmort_01_135_04_3.jpg;rus_naturmort_01_135_04_2.jpg;rus_naturmort_01_135_04_1.jpg;;;;;;;;;;;;;
;8;010/047/04;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;30.08.2014 16:10;"""Пейзаж с березками и лодкой""";;Холст, масло, подп. Е. Волков ?, к. XIX в., 30.5х22.5 см, (без рамы);7000;7000;rus_peizag_s_berezkami_01_047_04_3.jpg;rus_peizag_s_berezkami_01_047_04_2.jpg;rus_peizag_s_berezkami_01_047_04_1.jpg;;;;;;;;;;;;;
;24;010/120/02;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;31.08.2014 16:10;"""Побережье Крыма""";;Холст, масло, подпись М. Рейнус, Россия, н. ХХ в., 88х132 см;0;0;rus_poberegje_Krima_01_120_02_1.jpg;rus_poberegje_Krima_01_120_02_2.jpg;;;;;;;;;;;;;;
;20;010/062/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;01.09.2014 16:10;"""Сосны на берегу реки""";;Подпись А.Карпов (?), холст, масло, н. ХХ в., 57х72 см (потёртости красочного слоя);20000;20000;rus_sosni_01_062_01_3.jpg;rus_sosni_01_062_01_1.jpg;rus_sosni_01_062_01_2.jpg;;;;;;;;;;;;;
;12;010/125/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;02.09.2014 16:10;"""Экзотические цветы и птицы""";;Холст, масло. Приписывается  Великой Княжне Ольге Александровне (1882-1960);0;0;rus_Olge_Alexandrovne_01_125_01_3.jpg;rus_Olge_Alexandrovne_01_125_01_2.jpg;rus_Olge_Alexandrovne_01_125_01_1.jpg;;;;;;;;;;;;;
;2;010/037/02;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;03.09.2014 16:10;"Александров Н.Н. ""Девушка за чтением""";;Холст, масло, н. ХХ в., 29х24 см;0;0;rus_devyshka_za_chteniem_01_037_02_3.jpg;rus_devyshka_za_chteniem_01_037_02_2.jpg;rus_devyshka_za_chteniem_01_037_02_1.jpg;;;;;;;;;;;;;
;15;010/128/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;04.09.2014 16:10;"Егорнов C. С. (1881-?) ""Переезд""";;Холст, масло, подпись С.Егорнов, Россия, н. ХХ в., 71х120 см;0;0;rus_Pereezd_01_128_01_2.jpg;rus_Pereezd_01_128_01_1.jpg;;;;;;;;;;;;;;
;5;010/025/04;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;05.09.2014 16:10;"Копия с картины И.К. Айвазовского ""Девятый вал""";;Холст, масло, подпись Ph Mellier, кон. ХIХ в., 89х154 см;15000;15000;rus_kopiya_9_val_01_025_04_3.jpg;rus_kopiya_9_val_01_025_04_2.jpg;rus_kopiya_9_val_01_025_04_1.jpg;;;;;;;;;;;;;
;483;010/076/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;06.09.2014 16:10;"Николин ""Зима. Тройка""";;дерево ,масло , Россия , кон. ХIХ в , 21х33 см;0;0;russkaya_zhivopis_01_076_01_1.jpg;russkaya_zhivopis_01_076_01_2.jpg;russkaya_zhivopis_01_076_01_3.jpg;;;;;;;;;;;;;
;13;010/126/01;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;07.09.2014 16:10;Ночь в украинской деревне;;Холст, масло, подпись Брылок, н. ХХ в., 58.5х89 см;0;0;rus_noch_01_126_01_4.jpg;rus_noch_01_126_01_3.jpg;rus_noch_01_126_01_1.jpg;;;;;;;;;;;;;
;11;010/140/03;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;08.09.2014 16:10;"Платонов В. ""Букет сирени и ландышей""";;Холст на картоне, масло, подпись В. Платонов, н. ХХ в., 29х21 см;0;0;rus_byket_01_140_03_3.jpg;rus_byket_01_140_03_2.jpg;rus_byket_01_140_03_1.jpg;;;;;;;;;;;;;
;17;010/135/05;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;09.09.2014 16:10;"Ризниченко Ф. ""Поздняя осень""";;Бумага, акварель, подпись « Ф.Ризниченко 15», 22.5х34.5 см;0;0;rus_Osenj_01_135_05_3.jpg;rus_Osenj_01_135_05_2.jpg;rus_Osenj_01_135_05_1.jpg;;;;;;;;;;;;;
;6;010/046/03;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;10.09.2014 16:10;"Розанов Н. ""Пейзаж с дубом""";;Холст, масло, копия с Крачковского, Н. Розанов 1895 г., 80х155 см;60000;60000;rus_peizag_s_dybom_01_046_03_3.jpg;rus_peizag_s_dybom_01_046_03_2.jpg;rus_peizag_s_dybom_01_046_03_1.jpg;;;;;;;;;;;;;
;7;010/046/07;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;11.09.2014 16:10;"Сойкин В. ""Хата у речки, березка""";;Холст, масло, подп. В. Сойкин, к. XIX - н. ХХ вв., 119.5х39 см;20000;20000;rus_Hata_y_rechki_01_046_07_3.jpg;rus_Hata_y_rechki_01_046_07_2.jpg;rus_Hata_y_rechki_01_046_07_1.jpg;;;;;;;;;;;;;
;18;010/128/03;20.09.2010 15:00;30.09.2015 15:00;21.03.2011 15:00;12.09.2014 16:10;"Янков С. ""В сосновом лесу""";;Холст, масло, подпись «С. Янков», Россия, н. ХХ в., 102х135 см;0;0;rus_yankov_01_128_03_3.jpg;rus_yankov_01_128_03_2.jpg;rus_yankov_01_128_03_1.jpg;;;;;;;;;;;;;
