auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;114;01/089/01;20.09.2010 15:00;30.09.2010 15:00;;;Венчальная пара «Господь Вседержитель», «Богоматерь Казанская»;;Дерево, левкас, масло, оклад - серебро 84 пробы, золочение, клейма: 84, герб Москвы, пробирер А.А ( А. Арцибашев, Москва), 1896, именник мастера - неразборчиво, 22.5х18 см (небольшие утраты и разрывы на окладах);0;0;ikoni_Gospodj_01_089_01_1.jpg;ikoni_Gospodj_01_089_01_2.jpg;ikoni_Gospodj_01_089_01_3.jpg;ikoni_Gospodj_01_089_01_4.jpg;;;;;;;;;;;
;1000730;03/372/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Икона  «Христос в терновом венце»;;Дерево, масло, Россия, к. XIX в., на обороте надпись: «Писана сiя икона 1897го года М. Романенковой», 31х26 см (трещина по дереву);0;0;03_372_01_01.jpg;03_372_01_02.jpg;03_372_01_03.jpg;;;;;;;;;;;;
;1000728;03/326/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Икона «Богоматерь Всех скорбящих радость с грошиками»;;Дерево, темпера, сусальное золочение, Россия, к. XIX в., 31,5х27 см;39000;39000;03_326_02_01.jpg;03_326_02_02.jpg;;;;;;;;;;;;;
;115;01/089/02;20.09.2010 15:00;30.09.2010 15:00;;;Икона «Богоматерь Казанская»;;Дерево, левкас, масло, оклад - серебро 84 пробы, золочение, клейма: 84, герб Петербурга, А... - полустерто, вероятно пробирер А.М (А.Митин 1842-1877, С.-Петербург), 1864, именник мастера П.И (П. Иванов С.-Петербург), 27х22.5, киот (потертости живописного слоя);0;0;ikoni_kazanskaya_01_089_02_1.jpg;ikoni_kazanskaya_01_089_02_2.jpg;ikoni_kazanskaya_01_089_02_3.jpg;ikoni_kazanskaya_01_089_02_4.jpg;;;;;;;;;;;
;112;01/064/01;20.09.2010 15:00;30.09.2010 15:00;;;Икона «Введение во храм Пресвятой Богородицы»;;Дерево, масло, Россия, н. XX в., 67х64 см (царапины, потертости);18000;18000;ikoni_vvedenie_vo_hram_01_061_01_1.jpg;ikoni_vvedenie_vo_hram_01_061_01_2.jpg;;;;;;;;;;;;;
;482;01/070/01;20.09.2010 15:00;30.09.2010 15:00;;;Икона «Воскресение Христово с дванадесятыми праздниками»;;дерево, левкас, сусальное золото, смешанная техника, к. XIX в., 44х37см,(осыпи живописного слоя, царапина), киот: дерево, лепнина, золочение, лампада, 88х74 см;0;0;ikoni_01_070_01_1.jpg;ikoni_01_070_01_2.jpg;ikoni_01_070_01_3.jpg;;;;;;;;;;;;
;101;01/018/01;20.09.2010 15:00;30.09.2010 15:00;;;Икона «Господь Вседержитель»;;Дерево, левкас, масло, оклад серебро 84 пр., штамп, золочение, перегородчатая и выемчатая полихромная эмаль,  Москва, 1899-1908 гг, именник С.Г., французское таможенное ввозное клеймо (лебедь), 18х14.5 см (незначительные сколы по эмали);40000;40000;ikoni_vsedergitel_01_018_01_1.jpg;ikoni_vsedergitel_01_018_01_2.jpg;ikoni_vsedergitel_01_018_01_3.jpg;;;;;;;;;;;;
999;1000725;03/275/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Икона «Господь Вседержитель»;;Дерево, масло, оклад - серебро 84°, золочение, Россия, 1820-е гг., клейма: 84, герб Петербурга, МК (пробирный мастер М. Карпинский), 1…29, ПБ (неизвестный мастер), размер 18х15,5 см (разрывы на окладе, потертости живописи);0;0;03_275_06_01.jpg;03_275_06_02.jpg;03_275_06_03.jpg;;;;;;;;;;;;
;118;01/127/03;20.09.2010 15:00;30.09.2010 15:00;;;Икона «Знамение Пресвятой Богородицы»;;Дерево, папье-маше, масло. Серебро 84°, чеканка, гравировка. Золотое шитье, речной жемчуг, стразы. Санкт-Петербург, к. XIX - н. ХХ в. Клейма: 84, женская голова в кокошнике влево, ЯЛ (Я.Ляпунов пробирер СПб), именник мастера TUG (неизвестный мастер) Размер 28х22 см, с венцом 30х22 см (отсутствует несколько страз, утраты на шитье и жемчуга) (вес 998 гр.);0;0;ikoni_znamenie_01_127_03_1.jpg;ikoni_znamenie_01_127_03_2.jpg;ikoni_znamenie_01_127_03_3.jpg;;;;;;;;;;;;
;1000727;03/320/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Икона «Св. Николай Чудотворец»;;Дерево, темпера, оклад серебро 84°, Россия, Петербург, 1899-1908 гг., клейма: 84, женская голова в кокошнике влево, ЯЛ (Яков Ляпунов, Петербург, Петербургская пробирная инспекция), А.С.С. (неизвестный мастер), размер 31,5х27 см, вес оклада 458,3 гр (живопись с реставрацией, доска по бокам увеличена набивными планками);30000;30000;03_320_03_01.jpg;03_320_03_02.jpg;03_320_03_03.jpg;03_320_03_04.jpg;;;;;;;;;;;
