auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000947;03/222/10;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;«Карта России»;;Амстердам, н. XVIII в., размер 35х45 см;4500;4500;03_222_10_01.jpg;03_222_10_02.jpg;03_222_10_03.jpg;03_222_10_04.jpg;;;;;;;;;;;
;1000948;03/222/11;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;«Карта России»;;Страница из книги, на латинском языке, XVI в.(?), размер 29х18,5 см;0;0;03_222_11_01.jpg;03_222_11_02.jpg;03_222_11_03.jpg;;;;;;;;;;;;
;1000946;03/222/09;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;«Карта России»;;Англия, к. XVIII в., размер 32х20,5 см (страница из книги);0;0;03_222_09_05.jpg;03_222_09_04.jpg;03_222_09_03.jpg;03_222_09_02.jpg;03_222_09_01.jpg;;;;;;;;;;
;1000945;03/222/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;«Карта Тартарии» (Восточная часть России);;Амстердам, 1732 г., размер 41х51 см;5000;5000;03_222_08_01.jpg;03_222_08_02.jpg;03_222_08_03.jpg;03_222_08_04.jpg;;;;;;;;;;;
;1000949;03/222/12;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Карта «Большие или Верхние Маджары»;;Страница из атласа XIX в., на английском языке, размер 27х23 см. Маджары — хазарский город с VIII века (первое упоминание в летописях), золотоордынский город в XIII—XVI веках на Северном Кавказе, находившийся на месте современного Будённовска (бывший город Святой Крест). Центр пересечения транзитных торговых путей из Закавказья в Северное Причерноморье и Поволжье.;0;0;03_222_12_01.jpg;03_222_12_02.jpg;03_222_12_03.jpg;03_222_12_04.jpg;03_222_12_05.jpg;;;;;;;;;;
;1000944;03/222/07;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Карта «Европейская часть России»;;Франция, XVIII в., размер 20,5х25,5 см;0;0;03_222_07_01.jpg;03_222_07_02.jpg;03_222_07_03.jpg;03_222_07_04.jpg;03_222_07_05.jpg;;;;;;;;;;
;384;01/131/04;20.09.2010 15:00;30.09.2010 15:00;;;«План города Ленинграда 1937г.»;;Издание Леноблисполкома. 66.5х51.5 см (изношена, сдублированна на ткань);300;300;knigi_plan_Leningrada_01_131_04_1.jpg;knigi_plan_Leningrada_01_131_04_2.jpg;;;;;;;;;;;;;
;382;01/131/02;20.09.2010 15:00;30.09.2010 15:00;;;«План города Москвы 1938г.»;;Издание геодезической конторы отдела городских земель Московского совета, 58.5х80.5 см (разрывы, утраты, изношена);300;300;knigi_plan_MSK_01_131_02_1.jpg;knigi_plan_MSK_01_131_02_2.jpg;;;;;;;;;;;;;
;383;01/131/03;20.09.2010 15:00;30.09.2010 15:00;;;«План города Москвы1893 года»;;Издание «Общества распостранения полезных книг» 93.5х66.5 см (разрывы, изношена);600;600;knigi_planMSK_01_131_03_1.jpg;knigi_planMSK_01_131_03_2.jpg;;;;;;;;;;;;;
;368;01/026/01;20.09.2010 15:00;30.09.2010 15:00;;;Литография с картины В.А. Котарбинского «Оргия»;;Издательство Т- ва Р. Голике, С.-Петербург, н. ХХ в., 33х56 см;0;0;litogr_kotarbinskii_Orgiya_01_026_01_1.jpg;litogr_kotarbinskii_Orgiya_01_026_01_2.jpg;litogr_kotarbinskii_Orgiya_01_026_01_3.jpg;litogr_kotarbinskii_Orgiya_01_026_01_4.jpg;litogr_kotarbinskii_Orgiya_01_026_01_5.jpg;litogr_kotarbinskii_Orgiya_01_026_01_6.jpg;;;;;;;;;
;369;01/039/08;20.09.2010 15:00;30.09.2010 15:00;;;Парные цветные литографии «Николай II и Александра Федоровна с детьми»;;Бумага, печать, н. ХХ в., 52.5х40 см;0;0;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_1.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_2.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_3.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_4.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_5.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_6.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_7.jpg;litogr_NikII_i_Aleks.Fedor._s_detmi_01_039_08_8.jpg;;;;;;;
;366;01/082/01;20.09.2010 15:00;30.09.2010 15:00;;;Хромолитография «Николай II в форме гусарского полка»;;Заведение графических искусств Э.И. Маркуса ,СПБ , 1896 г, 38х53 см;0;0;litogr_N1kolay_01_082_01_1.jpg;litogr_N1kolay_01_082_01_2.jpg;litogr_N1kolay_01_082_01_3.jpg;litogr_N1kolay_01_082_01_4.jpg;;;;;;;;;;;
;367;01/083/01;20.09.2010 15:00;30.09.2010 15:00;;;Хромолитография «Николай II в форме драгунского полка»;;Заведение графических искусств Э.И.Маркуса СПБ 1896 г, 38х53 см;0;0;litogr_Nikolay_01_083_01_1.jpg;litogr_Nikolay_01_083_01_2.jpg;litogr_Nikolay_01_083_01_3.jpg;litogr_Nikolay_01_083_01_4.jpg;;;;;;;;;;;
