auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1001007;03/368/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;5 наградных медалей;;"1. «За усердие» - серебро, к. XIX - н. ХХ вв., диаметр 3 см; 2. «На коронование имп. Николая II и имп. Александры Федоровны» - серебро, 1896 г., диаметр 2,7 см; 3. «25 лет Церковно-приходских школ» - серебро 84?, 1909 г., диаметр 2,7 см; 4. «За труды по отличному выполнению всеобщей мобилизации 1914 г.» - бронза, диаметр 2,7 см; 5. «300 лет дома Романовых» - бронза, 1913 г., диаметр 2,7 см. Современная колодка";0;0;03_368_01_02.jpg;03_368_01_01.jpg;;;;;;;;;;;;;
;1001003;03/319/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Альбом для фотографий «Наездница», декорированный ониксом с медной накладкой;;Оникс, литье, чеканка, золочение, переплет кожа, Западная Европа, н. ХХ в., клеймо на застежке  «S символ «Рукопожатие» В», 18 листов, 29х23х7,8 см (трещина на ониксе, разрыв переплета, потертости золочения);0;0;1432183.jpg;4003761.jpg;6653404.jpg;8110665.jpg;2236155.jpg;4685073.jpg;;;;;;;;;
;1001010;03/368/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Безмен;;Бронза, Россия, 1905 г., длина 56,5 см;0;0;03_368_04_06.jpg;03_368_04_05.jpg;03_368_04_04.jpg;03_368_04_03.jpg;03_368_04_02.jpg;;;;;;;;;;
;1000999;03/228/05;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ведерко для льда со щипцами;;Бронза, остатки серебрения, Индия 1960-70-е гг., высота 14,5 см, длина щипцов 17,5 см;850;850;03_228_05_06.jpg;03_228_05_05.jpg;03_228_05_04.jpg;03_228_05_03.jpg;03_228_05_02.jpg;03_228_05_01.jpg;;;;;;;;;
;441;01/004/03;20.09.2010 15:00;30.09.2010 15:00;;;Два подстаканника;;Металл, гравировка, фраже (металл, серебрение), Варшава, 1-я пол. ХХ в., высота 10 см;3600;3600;8793386.jpg;1825482.jpg;7387769.jpg;9853441.jpg;;;;;;;;;;;
;461;01/143/04;20.09.2010 15:00;30.09.2010 15:00;;;Кивер с накладным гебом Российской Империи;;Латунь, сукно, шерстяной помпон, высота 41 см, вес 713 гр;9000;9000;raznoe_kiver_01_143_04_1.jpg;raznoe_kiver_01_143_04_2.jpg;raznoe_kiver_01_143_04_3.jpg;raznoe_kiver_01_143_04_4.jpg;;;;;;;;;;;
;459;01/121/03;20.09.2010 15:00;30.09.2010 15:00;;;Колокольчик коровий (ботало);;Металл, к. XIX в., высота 13 см;0;0;raznoe_botalo_01_121_03_1.jpg;raznoe_botalo_01_121_03_2.jpg;raznoe_botalo_01_121_03_3.jpg;raznoe_botalo_01_121_03_4.jpg;;;;;;;;;;;
;1001000;03/240/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Коробка для красок «Пейзаж»;;Дерево, латунные ручки, на лицевой стороне маслом в декоративном обрамлении «Пейзаж с рекой» с подписью «Кудрявцев», н. ХХ в., размер 33х46,5х6,5 см (деформации, утраты);0;0;03_240_01_06.jpg;03_240_01_05.jpg;03_240_01_04.jpg;03_240_01_03.jpg;03_240_01_02.jpg;03_240_01_01.jpg;;;;;;;;;
;456;01/045/02;20.09.2010 15:00;30.09.2010 15:00;;;Коробка для столового серебра;;Дерево, инкрустация, латунная накладка, шелк, бумажная наклейка - «Магазин П.Ф. Курлюкова», размер (Ш.Г.В) 33х29х10 см (нижний ложемент отсутствует, трещина);0;0;raznoe_korobka.d.serebra_01_045_02_3.jpg;raznoe_korobka.d.serebra_01_045_02_2.jpg;raznoe_korobka.d.serebra_01_045_02_1.jpg;;;;;;;;;;;;
;449;01/040/05;20.09.2010 15:00;30.09.2010 15:00;;;Кошелек;;Металл, эмаль, кожа, инкрустация с включением фольги, Европа, к. XIX в., 7х5.5 см (трещина, сколы по эмали);0;0;raznoe_koshelek_01_040_05_4.jpg;raznoe_koshelek_01_040_05_3.jpg;raznoe_koshelek_01_040_05_2.jpg;raznoe_koshelek_01_040_05_1.jpg;;;;;;;;;;;
;1001014;03/375/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Крест для православного духовенства в память Войны 1812 г.;;Медь, серебрение, размер 8х4,5 см (потертости);0;0;03_375_03_02.jpg;03_375_03_01.jpg;;;;;;;;;;;;;
