auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000816;03/236/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Банка для чая;;Цветное стекло, 2 металлические крышки, стиль - модерн, Россия, н. ХХ в., надпись «Чай т-ва «Караван», Москва», высота 14 см;0;0;03_236_02_01.jpg;03_236_02_02.jpg;03_236_02_03.jpg;03_236_02_04.jpg;03_236_02_05.jpg;03_236_02_06.jpg;03_236_02_07.jpg;;;;;;;;
;1000817;03/236/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Банка для чая;;Цветное стекло, 2 металлические крышки, стиль - модерн, н. ХХ в., высота 16 см;0;0;03_236_03_01.jpg;03_236_03_02.jpg;03_236_03_03.jpg;03_236_03_04.jpg;03_236_03_05.jpg;03_236_03_06.jpg;;;;;;;;;
;1000820;03/236/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Банка для чая;;Стекло, резьба, 2 металлические крышки, Россия, к. ХIХ в., высота 15 см;0;0;03_236_06_01.jpg;03_236_06_02.jpg;03_236_06_03.jpg;03_236_06_04.jpg;03_236_06_05.jpg;;;;;;;;;;
;1000818;03/236/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Банка для чая с притертой пробкой;;Стекло, резьба, Россия, к. XIX в., высота 16,5 см;0;0;03_236_04_01.jpg;03_236_04_02.jpg;03_236_04_03.jpg;03_236_04_04.jpg;03_236_04_05.jpg;03_236_04_06.jpg;03_236_04_07.jpg;;;;;;;;
;1000819;03/236/05;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Банка для чая с притертой пробкой;;Стекло, резьба, Россия, к. XIX в., высота 16 см;0;0;03_236_05_01.jpg;03_236_05_02.jpg;03_236_05_03.jpg;03_236_05_04.jpg;03_236_05_05.jpg;;;;;;;;;;
;1000822;03/236/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Бокал;;Светло-сиреневое стекло, Россия, к. XIX в., высота 14,5 см;0;0;03_236_08_01.jpg;03_236_08_02.jpg;03_236_08_03.jpg;;;;;;;;;;;;
;1000812;03/190/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ваза для цветов «Ирисы»;;Охристое стекло, роспись, Западная Европа, н. ХХ в., высота 35,5 см;0;0;03_190_02_01.jpg;03_190_02_02.jpg;03_190_02_03.jpg;03_190_02_04.jpg;03_190_02_05.jpg;03_190_02_06.jpg;03_190_02_07.jpg;;;;;;;;
;1000815;03/236/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ваза сервировочная - геридон, 3-х частная;;Стекло, резьба, Россия, 2-я пол. XIX в., высота 62 см, максимальный диаметр 31 см (мелкие сколы);0;0;03_236_01_01.jpg;03_236_01_02.jpg;03_236_01_03.jpg;03_236_01_04.jpg;;;;;;;;;;;
;1000823;03/236/09;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Графин 4-х частный;;Стекло, к. XIX в., высота 28,5 см;0;0;03_236_09_01.jpg;03_236_09_02.jpg;03_236_09_03.jpg;03_236_09_04.jpg;03_236_09_05.jpg;03_236_09_06.jpg;03_236_09_07.jpg;03_236_09_08.jpg;;;;;;;
;1000821;03/236/07;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Пара фужеров для шампанского;;Стекло, Россия, к. XIX в., высота 16,5 см;0;0;03_236_07_01.jpg;03_236_07_02.jpg;03_236_07_03.jpg;03_236_07_04.jpg;03_236_07_05.jpg;;;;;;;;;;
;1000825;03/238/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Сахарница в стиле модерн;;Цветное стекло, люстр, оправа, крышка и ручка - металл, н. ХХ в., диаметр 12 см, высота с ручкой 11 см;5000;5000;03_238_01_01.jpg;03_238_01_02.jpg;03_238_01_03.jpg;03_238_01_04.jpg;03_238_01_05.jpg;03_238_01_06.jpg;;;;;;;;;
