auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
2;1000448;02/206/30;04.12.2010 15:14;14.12.2010 15:00;04.12.2010 15:00;14.12.2010 15:00;Пласт «Мария Магдалина»;;"Фарфор, живопись, подпись A.Pice Hebert 1888 год
29х31 см
";17000;17000;4634815.jpg;1120056.jpg;9632752.jpg;;;;;;;;;;;;
;1000741;03/223/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ароматница «Античные музы»;;Фарфор, белый рельеф на синем фоне, Англия, Веджвуд(?), без марки, в тесте - буква С, 3/4, н. ХХ в., высота - 14 см (склейки на крышке);10000;10000;03_223_08_01.jpg;03_223_08_02.jpg;03_223_08_03.jpg;03_223_08_04.jpg;03_223_08_05.jpg;03_223_08_06.jpg;;;;;;;;;
;1000744;03/223/12;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Блюдо на подставке «Цветы»;;Фарфор, роспись в стиле Севр, золочение, без марки, Западная Европа, к. ХVIII - н. ХIХ в., размер 36,5 х 31 см, бронзовая золоченая подставка украшена гирляндами цветов и головами фавнов, Западная Европа, 2-я пол. ХIХ в., высота 18 см;35000;35000;03_223_12_01.jpg;03_223_12_02.jpg;03_223_12_03.jpg;03_223_12_04.jpg;03_223_12_05.jpg;03_223_12_06.jpg;03_223_12_07.jpg;;;;;;;;
;1000751;03/237/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ваза декоративная в стиле модерн «Русалка»;;Терракота раскрашенная, Западная Европа, н. ХХ в., марка в тесте - в квадратном щитке «JAMK», высота 42 см (мелкие сколы);0;0;03_237_03_01.jpg;03_237_03_02.jpg;03_237_03_03.jpg;03_237_03_04.jpg;03_237_03_05.jpg;03_237_03_06.jpg;03_237_03_07.jpg;;;;;;;;
;1000736;03/190/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ваза с двумя ручками «Цветы»;;Фарфор, роспись, золочение, Западная Европа, к. XIX в., высота 35 см (скол на горлышке и одном из листьев);7000;7000;03_190_03_01.jpg;03_190_03_02.jpg;03_190_03_03.jpg;03_190_03_04.jpg;03_190_03_05.jpg;;;;;;;;;;
;1000766;03/376/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Декоративная ваза;;Фарфор, роспись, золочение, цировка, Западная Европа, 1-я пол. XIX в., высота 32 см (требуется реставрация покрытия шириной 1 см под туловом);12000;12000;03_376_01_01.jpg;03_376_01_02.jpg;03_376_01_03.jpg;03_376_01_04.jpg;03_376_01_05.jpg;;;;;;;;;;
;1000740;03/223/05;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Кувшин «Мифологические сцены»;;Фарфор, белый рельеф на синем фоне, Англия, Веджвуд, марка в тесте - weedgwood, н. ХХ в., высота 14 см;8000;8000;03_223_05_01.jpg;03_223_05_02.jpg;03_223_05_03.jpg;03_223_05_04.jpg;03_223_05_05.jpg;03_223_05_06.jpg;;;;;;;;;
;1000735;03/032/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Лампа настольная «Цветы, птицы и бабочки»;;Фарфор, полихромная роспись, Россия, ИФЗ (?), оправа-бронза, золочение, 2-я пол. ХIХ в., высота 69 см (паутинообразная трещина по горлу);18000;18000;03_032_02_01.jpg;03_032_02_02.jpg;03_032_02_03.jpg;03_032_02_04.jpg;03_032_02_05.jpg;03_032_02_06.jpg;;;;;;;;;
;1000755;03/297/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Парные настенные консоли «Путти с гирляндами цветов»;;Фарфор, лепка, роспись, марка стилизованная под Мейсен, Германия, н. XX в., размер 23х20х16 см;0;0;03_297_04_01.jpg;03_297_04_02.jpg;03_297_04_03.jpg;03_297_04_04.jpg;03_297_04_06.jpg;;;;;;;;;;
;1000765;03/371/07;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Пепельница «Такса»;;Фарфор, Германия, Тюрингия, Лихте, фабрика братьев Хойбах, н. XX в., марка в тесте и синяя 1882-1915 гг., длина 10,5 см;3000;3000;03_371_07_01.jpg;03_371_07_02.jpg;03_371_07_03.jpg;03_371_07_04.jpg;03_371_07_05.jpg;;;;;;;;;;
;1000743;03/223/11;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Солонка с крышкой «Играющие путти»;;Фарфор, белый рельеф на синем фоне, Англия, Веджвуд, марка в тесте-wedgwood, н. ХХ в., высота 7 см;4600;4600;03_223_11_01.jpg;03_223_11_02.jpg;03_223_11_03.jpg;03_223_11_04.jpg;03_223_11_05.jpg;03_223_11_06.jpg;03_223_11_07.jpg;;;;;;;;
;1000752;03/241/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Тарелка «Дама с ланью»;;Фарфор, деколь, роспись, синее крытье, золочение, с. XIX в., диаметр 23 см;0;0;03_241_08_01.jpg;03_241_08_02.jpg;;;;;;;;;;;;;
;1000764;03/371/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Три тарелки «Рыбы»;;Фарфор, деколь с подрисовкой, роспись, золочение, Германия, Франкфурт-на-Майне, 1-я половина XX в., марка красная Bing Jr & Co Frankfurt a/M, диаметр 24 см;0;0;03_371_01_01.jpg;03_371_01_02.jpg;03_371_01_03.jpg;;;;;;;;;;;;
