auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1001015;03/376/05;13.04.2011 17:17;03.10.2011 18:27;21.03.2011 15:00;31.03.2011 15:00;Бивень мамонта;;Кость, высота 24 см, диаметр 13 см (трещины);8000;8000;03_376_05_03.jpg;03_376_05_02.jpg;03_376_05_01.jpg;;;;;;;;;;;;
;1001004;03/330/01;18.04.2011 13:23;29.04.2011 20:11;21.03.2011 15:00;31.03.2011 15:00;Красное знамя «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности»;;Бархат, машинная вышивка, наконечник на древко - металл, 1970-80-е гг. Надписи: «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности», «Победителю во всесоюзном социалистическом соревновании», «Пролетарии всех стран объединяйтесь», «Под знаменем МАРКСИЗМА-ЛЕНИНИЗМА, под руководством Коммунистической партии - вперед, к победе коммунизма!» Размер 132х165 см;8400;8400;03_330_01_03.jpg;03_330_01_02.jpg;03_330_01_01.jpg;;;;;;;;;;;;
;1001002;03/281/03;15.04.2011 17:23;14.04.2020 23:08;21.03.2011 15:00;31.03.2011 15:00;Памятная медаль «К 100-летию со дня рождения А.С. Пушкина» 1899 г.;;"Бронза, патинирование, медальер М.А. Скуднов (1861-1916), подпись «леп. рез. Скуднов», диаметр 6,8 см  Пушкинский юбилей 1899 г. был отмечен с подлинно народным энтузиазмом. По поводу легенды оборотной стороны юбилейной награды в Пушкинской комиссии возникли разногласия и предложенная первоначально строка Тютчева «Тебя, как первую любовь,  России сердце не забудет» была заменена пушкинской цитатой «Недаром жизнь и лира мне были вверены судьбой». Эта медаль была выдана всем окончившим с отличием средние учебные заведения в 1899 г. Скуднов Михаил Афанасьевич (1861-1916) окончил медальерный класс АХ; с 1891 – на Санкт-Петербургском монетном дворе по вольному найму, с 1897 – старший медальер. Работы метил: «Леп. Рез. Скудновъ».";0;0;03_281_03_03.jpg;03_281_03_02.jpg;03_281_03_01.jpg;;;;;;;;;;;;
;1000997;03/223/14;15.04.2011 0:11;14.04.2020 5:56;21.03.2011 15:00;31.03.2011 15:00;Памятный стакан «На коронацию императора Николая II»;;Металл, эмаль, деколь, золочение, Россия, 1896 г., высота 10,5 см (сколы эмали, потертости);0;0;03_223_14_05.jpg;03_223_14_04.jpg;03_223_14_03.jpg;03_223_14_02.jpg;03_223_14_01.jpg;;;;;;;;;;
;1000998;03/223/33;15.04.2011 0:11;14.04.2020 5:56;21.03.2011 15:00;31.03.2011 15:00;Шкатулка «Лунная ночь»;;Папье-маше, лак, роспись, с картины И.Н. Крамского «Лунная ночь», Федоскино, 1950-е гг., подпись художника внизу справа неразборчиво, размер 10,5х7,5х4 см;0;0;03_223_33_05.jpg;03_223_33_04.jpg;03_223_33_03.jpg;03_223_33_02.jpg;03_223_33_01.jpg;;;;;;;;;;
;450;01/099/03;10.05.2011 11:05;09.05.2020 16:51;;;Блюдо декоративное «Хлеб - соль».;;Дерево, резьба, к. XIX в., диаметр 40 см;0;0;farfor_hleb-solj_01_099_03_2.jpg;farfor_hleb-solj_01_099_03_1.jpg;;;;;;;;;;;;;
;450;01/099/03;08.11.2010 1:01;10.05.2011 2:01;;;Блюдо декоративное «Хлеб - соль».;;Дерево, резьба, к. XIX в., диаметр 40 см;0;0;farfor_hleb-solj_01_099_03_1.jpg;farfor_hleb-solj_01_099_03_2.jpg;;;;;;;;;;;;;
;445;01/033/06;10.05.2011 11:07;09.05.2020 16:53;;;Бубен «Парусник в море»;;Дерево, кожа, масло, справа внизу буквы AS, диаметр 20 см;0;0;raznoe_byben_s_parysnikom_01_033_06_4.jpg;raznoe_byben_s_parysnikom_01_033_06_3.jpg;raznoe_byben_s_parysnikom_01_033_06_2.jpg;raznoe_byben_s_parysnikom_01_033_06_1.jpg;;;;;;;;;;;
;445;01/033/06;08.11.2010 1:01;10.05.2011 2:01;;;Бубен «Парусник в море»;;Дерево, кожа, масло, справа внизу буквы AS, диаметр 20 см;0;0;raznoe_byben_s_parysnikom_01_033_06_4.jpg;raznoe_byben_s_parysnikom_01_033_06_2.jpg;raznoe_byben_s_parysnikom_01_033_06_1.jpg;raznoe_byben_s_parysnikom_01_033_06_3.jpg;;;;;;;;;;;
;1002160;05/661/04;22.06.2012 18:40;22.06.2014 18:37;;;Знак ордена Славы.;;Колониальная Франция. Тунис. XIX в. Серебро, эмаль, муар. Размер 9,5х5,5 см (в оригинальной коробке);0;0;9117892.jpg;5037553.jpg;;;;;;;;;;;;;
