auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
1;1000296;01/067/02;25.01.2011 12:37;27.01.2020 17:43;25.01.2011;25.01.2012;Артамонов Н. «Китайский танец»;;Бумага, гуашь, подпись и дата «N. Artamonow, 1930, Paris», 38х28 см;0;0;2669899.jpg;7150738.jpg;;;;;;;;;;;;;
1;1000295;01/067/01;25.01.2011 12:28;25.01.2012 12:07;25.01.2011;25.01.2012;Артамонов Н. «Смерть Пьеро» («Маски»);;Бумага, гуашь, подпись и дата «Н. Артамонов 1942», 38х31 см;0;0;8228385.jpe;4042677.jpe;;;;;;;;;;;;;
1;1000295;01/067/01;25.01.2011 12:23;25.01.2011 12:23;25.01.2011;25.01.2012;Артамонов Н. «Смерть Пьеро» («Маски»);;Бумага, гуашь, подпись и дата «Н. Артамонов 1942», 38х31 см;0;0;8049906.jpg;6316640.jpg;;;;;;;;;;;;;
1;1000295;01/067/01;26.07.2012 14:10;25.01.2013 13:10;25.01.2011;25.01.2012;Артамонов Н. «Смерть Пьеро» («Маски»);;Бумага, гуашь, подпись и дата «Н. Артамонов 1942», 38х31 см;0;0;5301527.jpe;5896596.jpe;;;;;;;;;;;;;
1;1000295;01/067/01;25.01.2012 12:33;26.07.2012 13:33;25.01.2011;25.01.2012;Артамонов Н. «Смерть Пьеро» («Маски»);;Бумага, гуашь, подпись и дата «Н. Артамонов 1942», 38х31 см;0;0;6566803.jpe;3749575.jpe;;;;;;;;;;;;;
1;1000295;01/067/01;25.01.2013 13:42;27.07.2013 14:42;25.01.2011;25.01.2012;Артамонов Н. «Смерть Пьеро» («Маски»);;Бумага, гуашь, подпись и дата «Н. Артамонов 1942», 38х31 см;0;0;1447127.jpe;4523347.jpe;;;;;;;;;;;;;
;1000704;03/289/03;13.04.2011 15:28;12.04.2020 21:13;21.03.2011 15:00;31.03.2011 15:00;Картина «Натюрморт с цветами и шампанским»;;Холст, масло, 1-я пол. ХХ в., подпись «Янков М.»(?), 85х130,8 см;0;0;03_289_03_01.jpg;03_289_03_02.jpg;03_289_03_03.jpg;;;;;;;;;;;;
;1000700;03/065/07;14.04.2011 13:00;13.04.2012 18:45;21.03.2011 15:00;31.03.2011 15:00;Натюрморт «Чай»;;Холст, масло, подпись «А. Садогурская», 1950-е гг., 56х70 см;0;0;03_065_07_01.jpg;03_065_07_02.jpg;03_065_07_03.jpg;03_065_07_04.jpg;03_065_07_05.jpg;;;;;;;;;;
;1000700;03/065/07;13.04.2012 18:48;13.10.2012 18:48;21.03.2011 15:00;31.03.2011 15:00;Натюрморт «Чай»;;Холст, масло, подпись «А. Садогурская», 1950-е гг., 56х70 см;0;0;03_065_07_05.jpg;03_065_07_04.jpg;03_065_07_03.jpg;03_065_07_02.jpg;03_065_07_01.jpg;;;;;;;;;;
;1000700;03/065/07;13.10.2012 18:50;14.04.2013 18:50;21.03.2011 15:00;31.03.2011 15:00;Натюрморт «Чай»;;Холст, масло, подпись «А. Садогурская», 1950-е гг., 56х70 см;0;0;03_065_07_01.jpg;03_065_07_02.jpg;03_065_07_03.jpg;03_065_07_04.jpg;03_065_07_05.jpg;;;;;;;;;;
;1000705;03/289/04;13.04.2011 15:28;12.04.2012 21:13;21.03.2011 15:00;31.03.2011 15:00;Чистоколов В. «Лунная ночь на Балтике»;;Холст, масло, подпись и дата «В. Чистоколов 1940», на обороте  штамп «Ленинградск…принято художественным советом», название картины, автор, дата и инв. №, 105х145 см (реставрация, в раме: дерево, багет, бронзирование);0;0;5639755.jpg;03_289_04_02.jpg;03_289_04_03.jpg;03_289_04_04.jpg;;;;;;;;;;;
;1000705;03/289/04;13.04.2012 11:24;13.10.2012 11:24;21.03.2011 15:00;31.03.2011 15:00;Чистоколов В. «Лунная ночь на Балтике»;;Холст, масло, подпись и дата «В. Чистоколов 1940», на обороте  штамп «Ленинградск…принято художественным советом», название картины, автор, дата и инв. №, 105х145 см (реставрация, в раме: дерево, багет, бронзирование);0;0;9783650.jpe;03_289_04_02.jpg;03_289_04_03.jpg;03_289_04_04.jpg;;;;;;;;;;;
;1000705;03/289/04;13.10.2012 12:26;14.04.2013 12:26;21.03.2011 15:00;31.03.2011 15:00;Чистоколов В. «Лунная ночь на Балтике»;;Холст, масло, подпись и дата «В. Чистоколов 1940», на обороте  штамп «Ленинградск…принято художественным советом», название картины, автор, дата и инв. №, 105х145 см (реставрация, в раме: дерево, багет, бронзирование);0;0;6740703.jpe;03_289_04_02.jpg;03_289_04_03.jpg;03_289_04_04.jpg;;;;;;;;;;;
;93;01/065/06;23.12.2010 15:16;23.12.2011 21:02;;;«Натюрморт с фруктами и цветами»;;Холст, масло, инициалы А.Б., Россия, ХХ в., 40х58 см (холст дублирован);0;0;sovet_naturmort_01_065_06_2.jpg;sovet_naturmort_01_065_06_1.jpg;sovet_naturmort_01_065_06_3.jpg;;;;;;;;;;;;
;93;01/065/06;26.12.2011 10:42;23.12.2020 21:02;;;«Натюрморт с фруктами и цветами»;;Холст, масло, инициалы А.Б., Россия, ХХ в., 40х58 см (холст дублирован);0;0;sovet_naturmort_01_065_06_1.jpg;sovet_naturmort_01_065_06_2.jpg;sovet_naturmort_01_065_06_3.jpg;;;;;;;;;;;;
;87;01/135/03;18.04.2011 12:07;17.04.2020 17:53;;;«У причала»;;Картон, масло, подпись «Борей 51г» (1951 г.), 41х35 см;0;0;sovet_yPrichala_01_135_03_3.jpg;sovet_yPrichala_01_135_03_2.jpg;sovet_yPrichala_01_135_03_1.jpg;;;;;;;;;;;;
;87;01/135/03;17.10.2010 2:22;18.04.2011 2:22;;;«У причала»;;Картон, масло, подпись «Борей 51г» (1951 г.), 41х35 см;0;0;sovet_yPrichala_01_135_03_1.jpg;sovet_yPrichala_01_135_03_2.jpg;sovet_yPrichala_01_135_03_3.jpg;;;;;;;;;;;;
;82;01/039/07;17.10.2010 2:27;18.04.2011 2:27;;;Альберти П.Ф. «Портрет жены»;;Холст, масло, 1960г., 100х98 см;0;0;sovet_portret_geni_01_039_07_1.jpg;sovet_portret_geni_01_039_07_2.jpg;sovet_portret_geni_01_039_07_3.jpg;;;;;;;;;;;;
;71;01/038/03;17.10.2010 2:43;18.04.2011 2:43;;;Бантиков А.С. «Красное море»;;Картон, масло, ХХв., 28.5х36.5 см;0;0;sovet_krasnoe_more_01_038_03_1.jpg;sovet_krasnoe_more_01_038_03_2.jpg;sovet_krasnoe_more_01_038_03_3.jpg;;;;;;;;;;;;
;76;01/039/01;17.10.2010 2:36;18.04.2011 2:36;;;Бантиков А.С. «После шторма»;;Картон, масло, 1957 г., 28х38 см;0;0;sovet_posle_shtorma_01_039_01_1.jpg;sovet_posle_shtorma_01_039_01_2.jpg;sovet_posle_shtorma_01_039_01_3.jpg;;;;;;;;;;;;
;83;01/049/04;17.10.2010 2:31;18.04.2011 2:31;;;Бондар C.M. Коллекция (205) рисунков, акварелей и литографий;;1930-1940-е гг., портреты деятелей русской культуры, советских партийных и государственных  деятелей, изображения рабочих, красноармейцев, представителей советской интеллигенции, эскизы, наброски, количество 205 шт.;0;0;sovet_Bondar_01_049_04_1.jpg;sovet_Bondar_01_049_04_2.jpg;sovet_Bondar_01_049_04_3.jpg;sovet_Bondar_01_049_04_4.jpg;sovet_Bondar_01_049_04_5.jpg;sovet_Bondar_01_049_04_6.jpg;sovet_Bondar_01_049_04_7.jpg;sovet_Bondar_01_049_04_8.jpg;;;;;;;
;73;01/038/05;17.10.2010 2:43;18.04.2011 2:43;;;Бондар С. «И.В. Сталин и М.И. Калинин»;;Бумага, акварель, ХХ в., 40х30.5 см;0;0;sovet_Stalin_i_Kalinin_01_038_05_1.jpg;sovet_Stalin_i_Kalinin_01_038_05_2.jpg;sovet_Stalin_i_Kalinin_01_038_05_3.jpg;sovet_Stalin_i_Kalinin_01_038_05_4.jpg;;;;;;;;;;;
;64;01/037/07;18.10.2010 1:10;19.04.2011 1:10;;;Бондар С. «Портрет И.В. Сталина»;;Смешанная техника, ХХ в., 39х30 см;0;0;sovet_portret_Stalina_01_037_07_1.jpg;sovet_portret_Stalina_01_037_07_2.jpg;sovet_portret_Stalina_01_037_07_3.jpg;;;;;;;;;;;;
;68;01/037/06;18.10.2010 1:03;19.04.2011 1:03;;;Гельберг С.А. «Белые розы»;;Картон, масло, 1958 г., 50.5х37 см;0;0;sovet_belie_rozi_01_037_06_1.jpg;sovet_belie_rozi_01_037_06_2.jpg;sovet_belie_rozi_01_037_06_3.jpg;;;;;;;;;;;;
;70;01/038/02;18.10.2010 1:03;19.04.2011 1:03;;;Гугель А.С. «Генуэзская крепость»;;Картон, масло, с. ХХ в., 50х70 см;0;0;sovet_genyezskaya_krepost_01_038_02_1.jpg;sovet_genyezskaya_krepost_01_038_02_2.jpg;sovet_genyezskaya_krepost_01_038_02_3.jpg;sovet_genyezskaya_krepost_01_038_02_4.jpg;;;;;;;;;;;
;69;01/038/01;17.10.2010 2:44;18.04.2011 2:44;;;Дормидонтов Н.  «Солнечный день, зима»;;Холст, масло на картоне, 1-я пол. ХХ в., 25х31 см;0;0;sovet_Solnechnii_den_01_038_01_1.jpg;sovet_Solnechnii_den_01_038_01_2.jpg;sovet_Solnechnii_den_01_038_01_3.jpg;;;;;;;;;;;;
4;1001445;04/387/04;24.06.2011 16:59;24.06.2020 16:57;;;Картина «В зимнем лесу» ;;Картон, масло, 1920-е гг., подпись «Л. Януш 23», 33х46,5 см, в деревянной раме;0;0;2518164.jpg;3233495.jpg;6478914.jpg;;;;;;;;;;;;
;1002745;05/801/17;31.01.2013 18:47;31.01.2015 18:45;;;Картина «Лесная поляна»;;"Королев П.Г. Холст, масло, Россия, до 1961 г., 70х100 см
";0;0;8312295.jpg;8078069.jpg;;;;;;;;;;;;;
;1000310;02/193/06;11.07.2012 18:20;11.07.2014 18:18;;;Картина «Любимая».;;"Бумага на оргалите, масло, справа внизу карандашом «Бобров (?) 64», Россия, 1960-е гг., 49,5х40 см
";0;0;5329491.jpg;6451218.jpg;2521078.jpg;;;;;;;;;;;;
;1000309;02/193/05;11.07.2012 18:17;11.07.2014 18:15;;;Картина «Мужской портрет».;;"Оргалит, масло, справа внизу подпись неразборчиво, над подписью наклеена шестиконечная звезда, Россия, 1960-е - 1970-е гг., 62,5х48 см
";0;0;7513892.jpg;8366750.jpg;8342079.jpg;;;;;;;;;;;;
4;1001444;04/387/03;24.06.2011 16:55;24.06.2020 16:54;;;Картина «Сыроежки» ;;Холст, масло, 1950-е гг., подпись «Лебедкин 57», 30,5х42 см (холст дублирован);0;0;4343379.jpg;3954138.jpg;5189171.jpg;;;;;;;;;;;;
;85;01/135/01;18.04.2011 12:07;17.04.2020 17:53;;;Красильников В. «Солнечное утро»;;Холст, масло, подпись «В. Красильников», к. ХХ в., 40х50 см;0;0;sovet_solnechnoe_ytro_01_135_01_4.jpg;sovet_solnechnoe_ytro_01_135_01_3.jpg;sovet_solnechnoe_ytro_01_135_01_2.jpg;sovet_solnechnoe_ytro_01_135_01_1.jpg;;;;;;;;;;;
;85;01/135/01;17.10.2010 2:25;18.04.2011 2:25;;;Красильников В. «Солнечное утро»;;Холст, масло, подпись «В. Красильников», к. ХХ в., 40х50 см;0;0;sovet_solnechnoe_ytro_01_135_01_1.jpg;sovet_solnechnoe_ytro_01_135_01_2.jpg;sovet_solnechnoe_ytro_01_135_01_3.jpg;sovet_solnechnoe_ytro_01_135_01_4.jpg;;;;;;;;;;;
;92;01/065/03;24.01.2011 19:07;25.01.2012 0:53;;;М.В. Васильев «Натюрморт с кухонной утварью и овощами»;;Холст, масло, на обороте дата - 1959 г., 40х60 см;0;0;sovet_naturmort_01_065_03_3.jpg;sovet_naturmort_01_065_03_1.jpg;sovet_naturmort_01_065_03_2.jpg;;;;;;;;;;;;
;92;01/065/03;26.07.2012 14:10;25.01.2013 13:10;;;М.В. Васильев «Натюрморт с кухонной утварью и овощами»;;Холст, масло, на обороте дата - 1959 г., 40х60 см;0;0;sovet_naturmort_01_065_03_2.jpg;sovet_naturmort_01_065_03_1.jpg;sovet_naturmort_01_065_03_3.jpg;;;;;;;;;;;;
;92;01/065/03;25.01.2012 10:37;26.07.2012 11:37;;;М.В. Васильев «Натюрморт с кухонной утварью и овощами»;;Холст, масло, на обороте дата - 1959 г., 40х60 см;0;0;sovet_naturmort_01_065_03_3.jpg;sovet_naturmort_01_065_03_2.jpg;sovet_naturmort_01_065_03_1.jpg;;;;;;;;;;;;
;92;01/065/03;25.01.2013 13:42;27.07.2013 14:42;;;М.В. Васильев «Натюрморт с кухонной утварью и овощами»;;Холст, масло, на обороте дата - 1959 г., 40х60 см;0;0;sovet_naturmort_01_065_03_1.jpg;sovet_naturmort_01_065_03_2.jpg;sovet_naturmort_01_065_03_3.jpg;;;;;;;;;;;;
;88;01/135/06;18.04.2011 12:07;17.04.2012 17:53;;;Невельштейн С.Г. (1903-1983) «Пейзаж с озером»;;Холст, масло. Подпись «Невельштейн 1951», 58х78 см;0;0;sovet_peizag_s_ozerom_01_135_06_5.jpg;sovet_peizag_s_ozerom_01_135_06_4.jpg;sovet_peizag_s_ozerom_01_135_06_3.jpg;sovet_peizag_s_ozerom_01_135_06_2.jpg;sovet_peizag_s_ozerom_01_135_06_1.jpg;;;;;;;;;;
;88;01/135/06;17.10.2010 2:14;18.04.2011 2:14;;;Невельштейн С.Г. (1903-1983) «Пейзаж с озером»;;Холст, масло. Подпись «Невельштейн 1951», 58х78 см;0;0;sovet_peizag_s_ozerom_01_135_06_1.jpg;sovet_peizag_s_ozerom_01_135_06_2.jpg;sovet_peizag_s_ozerom_01_135_06_3.jpg;sovet_peizag_s_ozerom_01_135_06_4.jpg;sovet_peizag_s_ozerom_01_135_06_5.jpg;;;;;;;;;;
;88;01/135/06;17.04.2012 18:26;24.04.2012 18:26;;;Невельштейн С.Г. (1903-1983) «Пейзаж с озером»;;Холст, масло. Подпись «Невельштейн 1951», 58х78 см;0;0;sovet_peizag_s_ozerom_01_135_06_5.jpg;sovet_peizag_s_ozerom_01_135_06_2.jpg;sovet_peizag_s_ozerom_01_135_06_1.jpg;sovet_peizag_s_ozerom_01_135_06_4.jpg;sovet_peizag_s_ozerom_01_135_06_3.jpg;;;;;;;;;;
;88;01/135/06;24.04.2012 19:41;24.10.2012 19:41;;;Невельштейн С.Г. (1903-1983) «Пейзаж с озером»;;Холст, масло. Подпись «Невельштейн 1951», 58х78 см;0;0;sovet_peizag_s_ozerom_01_135_06_1.jpg;sovet_peizag_s_ozerom_01_135_06_2.jpg;sovet_peizag_s_ozerom_01_135_06_3.jpg;sovet_peizag_s_ozerom_01_135_06_4.jpg;sovet_peizag_s_ozerom_01_135_06_5.jpg;;;;;;;;;;
;88;01/135/06;25.10.2012 11:49;26.04.2013 11:49;;;Невельштейн С.Г. (1903-1983) «Пейзаж с озером»;;Холст, масло. Подпись «Невельштейн 1951», 58х78 см;0;0;sovet_peizag_s_ozerom_01_135_06_1.jpg;sovet_peizag_s_ozerom_01_135_06_2.jpg;sovet_peizag_s_ozerom_01_135_06_3.jpg;sovet_peizag_s_ozerom_01_135_06_4.jpg;sovet_peizag_s_ozerom_01_135_06_5.jpg;;;;;;;;;;
;86;01/135/02;18.04.2011 12:07;17.04.2020 17:53;;;Никифоров А.(?) «Пейзаж с минаретом»;;Картон, масло, 2-я пол. ХХ в., 33х48.5 см;0;0;sovet_peizag_01_135_02_2.jpg;sovet_peizag_01_135_02_1.jpg;;;;;;;;;;;;;
;86;01/135/02;17.10.2010 2:23;18.04.2011 2:23;;;Никифоров А.(?) «Пейзаж с минаретом»;;Картон, масло, 2-я пол. ХХ в., 33х48.5 см;0;0;sovet_peizag_01_135_02_1.jpg;sovet_peizag_01_135_02_2.jpg;;;;;;;;;;;;;
;80;01/039/05;17.10.2010 2:35;18.04.2011 2:35;;;Овчинников В.И. «В лесу»;;Холст, масло, ХХ в., 60х55 см;0;0;sovet_v_lesy_01_039_05_1.jpg;sovet_v_lesy_01_039_05_2.jpg;sovet_v_lesy_01_039_05_3.jpg;;;;;;;;;;;;
;77;01/039/02;17.10.2010 2:36;18.04.2011 2:36;;;Овчинников В.И. «В порту»;;Холст, масло, 1959 г., 50х66 см;0;0;sovet_v_porty_1_01_039_02_1.jpg;sovet_v_porty_1_01_039_02_2.jpg;sovet_v_porty_1_01_039_02_3.jpg;;;;;;;;;;;;
;65;01/037/01;18.10.2010 1:04;19.04.2011 1:04;;;Овчинников В.И. «Излучина реки, лодка»;;Холст, масло, ХХ в., 45х84 см;0;0;sovet_izlychina_reki_ovchinnikov_01_037_01_1.jpg;sovet_izlychina_reki_ovchinnikov_01_037_01_2.jpg;sovet_izlychina_reki_ovchinnikov_01_037_01_3.jpg;;;;;;;;;;;;
;72;01/038/04;17.10.2010 2:43;18.04.2011 2:43;;;Овчинников В.И. «Ленинград»;;Холст, масло на картоне, ХХ в., 25х27 см;0;0;sovet_Liningrad_01_038_04_1.jpg;sovet_Liningrad_01_038_04_2.jpg;sovet_Liningrad_01_038_04_3.jpg;;;;;;;;;;;;
;78;01/039/03;17.10.2010 2:35;18.04.2011 2:35;;;Овчинников В.И. «На Днепре»;;Холст, масло, 1956 г., 43х71 см;0;0;sovet_na_Dnepre_01_039_03_1.jpg;sovet_na_Dnepre_01_039_03_2.jpg;sovet_na_Dnepre_01_039_03_3.jpg;;;;;;;;;;;;
;81;01/039/06;17.10.2010 2:35;18.04.2011 2:35;;;Отрешко А.В. «Грузия, монастырь»;;Бумага, смешанная техника, 2-я пол. ХХв., 50х67 см;0;0;sovet_Gryziya, monastir_01_039_06_1.jpg;sovet_Gryziya, monastir_01_039_06_2.jpg;;;;;;;;;;;;;
;79;01/039/04;17.10.2010 2:33;18.04.2011 2:33;;;Отрешко А.В. «Грузия»;;Смешанная техника, 1981г., 50х67 см;0;0;sovet_Gryziya_01_039_04_1.jpg;sovet_Gryziya_01_039_04_2.jpg;sovet_Gryziya_01_039_04_3.jpg;;;;;;;;;;;;
;66;01/037/04;18.10.2010 1:04;19.04.2011 1:04;;;Отрешко А.В. «Новостройки Тбилиси»;;Картон, масло, 1976 г., 50х40 см;0;0;sovet_novostroiki_tbilisi_01_037_04_1.jpg;sovet_novostroiki_tbilisi_01_037_04_2.jpg;sovet_novostroiki_tbilisi_01_037_04_3.jpg;;;;;;;;;;;;
;67;01/037/05;18.10.2010 1:04;19.04.2011 1:04;;;Пасюкевич В.М. «Теберда»;;Картон, масло, 1963 г., 51х51 см;0;0;sovet_Teberda_01_037_05_1.jpg;sovet_Teberda_01_037_05_2.jpg;sovet_Teberda_01_037_05_3.jpg;sovet_Teberda_01_037_05_4.jpg;sovet_Teberda_01_037_05_5.jpg;sovet_Teberda_01_037_05_6.jpg;;;;;;;;;
;84;01/126/03;17.10.2010 2:26;18.04.2011 2:26;;;Поляков Н. «Грибы»;;Холст, масло, подпись «Н. Поляков 82» (Поляков Н.О.1982г.), 45х69 см;0;0;sovet_gribi_01_126_03_1.jpg;sovet_gribi_01_126_03_2.jpg;sovet_gribi_01_126_03_3.jpg;;;;;;;;;;;;
