auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
1;1002716;01/053/01;14.01.2013 16:42;14.01.2015 16:38;;;"Икона &quot;Святая София Премудрость с предстоящими святыми Козьмой и Домианом&quot; ";;Дерево, левкас, темпера, Россия, середина XIX в., 18х15,3 см (утраты красочного слоя, осыпи);0;0;2533312.jpg;8817436.jpg;;;;;;;;;;;;;
;110;01/057/08;19.04.2011 13:20;18.04.2020 19:06;;;Икона «Архангел Михаил»;;Дерево, левкас, темпера, сусальное золото, к. XIX в., 31х26 см;0;0;ikoni_archangel_Mihail_01_057_08_1.jpg;ikoni_archangel_Mihail_01_057_08_2.jpg;;;;;;;;;;;;;
;110;01/057/08;18.10.2010 1:18;19.04.2011 1:18;;;Икона «Архангел Михаил»;;Дерево, левкас, темпера, сусальное золото, к. XIX в., 31х26 см;0;0;ikoni_archangel_Mihail_01_057_08_1.jpg;ikoni_archangel_Mihail_01_057_08_2.jpg;;;;;;;;;;;;;
5;1001463;05/405/11;12.09.2011 17:02;12.09.2020 17:00;;;Икона «Богоматерь Утоли моя печали с предстоящими св. царицей Ириной и Ангелом Хранителем»;;Дерево, темпера, золочение, Россия, 2-я пол. XIX в., 22,5х18,7 см;0;0;1756135.jpg;4320901.jpg;;;;;;;;;;;;;
;102;01/004/01;18.10.2010 1:11;19.04.2011 1:11;;;Икона «Богородица Казанская»;;Дерево, левкас, темпера, оклад - латунь, Россия, к. XIX – н. ХХ вв., 22.5х18 см;0;0;ikoni_bogorodica_kazanskaya_01_004_01_1.jpg;ikoni_bogorodica_kazanskaya_01_004_01_2.jpg;;;;;;;;;;;;;
1;1002715;01/004/01;14.01.2013 16:36;14.01.2015 16:32;;;Икона «Богородица Казанская»;;Дерево, левкас, темпера, оклад - латунь, Россия, к. XIX – н. ХХвв., 22.5х18см ;0;0;4722631.jpg;3504072.jpg;;;;;;;;;;;;;
5;1001457;05/405/07;25.08.2011 13:09;25.08.2020 13:07;;;Икона «Воскресение Христово - Сошествие во ад» ;;Дерево, темпера, Россия, XVIII в., 30,5х25,5 см (живопись с крупными потертостями);0;0;8107639.jpg;5911238.jpg;;;;;;;;;;;;;
;119;01/143/08;19.04.2011 13:22;18.04.2020 19:07;;;Икона «Господь Вседержитель»;;Дерево, левкас, масло, оклад серебро 84 пробы, Москва 1908-1917 гг., клеймо мастера Е.К (Е.Кузнецов, Москва), 17.8х14.7 см (утраты);0;0;ikoni_vsedergitelj_01_143_08_1.jpg;ikoni_vsedergitelj_01_143_08_2.jpg;ikoni_vsedergitelj_01_143_08_3.jpg;;;;;;;;;;;;
5;1001455;05/405/05;25.08.2011 13:04;25.08.2020 13:02;;;Икона «Господь Вседержитель» ;;Дерево, масло, оклад-серебро 84°, золочение, Петербург, 1826 г., клейма: 84, герб Петербурга, М.К (М.Карлинский, пробирер), 1826, мастер «П.Б(?)», 27х23 см (живопись с реставрацией);0;0;9179034.jpg;4637037.jpg;4204347.jpg;;;;;;;;;;;;
5;1001453;05/405/03;25.08.2011 13:00;31.01.2013 18:37;;;Икона «Господь Вседержитель» ;;"Дерево, масло, оклад-серебро 84°, золочение, Москва, 1908-1917 гг., клейма: &#916; (Московская пробирная инспекция), 84, женская голова в кокошнике вправо, «Н.Г.» - неизвестный мастер, 22,5х18 см (небольшие разрывы на окладе)";18000;18000;1486387.jpg;4836472.jpg;2105172.jpg;;;;;;;;;;;;
;119;01/143/08;18.10.2010 1:31;19.04.2011 1:31;;;Икона «Господь Вседержитель»;;Дерево, левкас, масло, оклад серебро 84 пробы, Москва 1908-1917 гг., клеймо мастера Е.К (Е.Кузнецов, Москва), 17.8х14.7 см (утраты);0;0;ikoni_vsedergitelj_01_143_08_1.jpg;ikoni_vsedergitelj_01_143_08_2.jpg;ikoni_vsedergitelj_01_143_08_3.jpg;;;;;;;;;;;;
