auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;411;01/115/09;20.09.2010 15:00;30.09.2010 15:00;;;Аксессуар;;Букетик искусственных цветов, н. ХХ в.;50;50;tkani_aksessyar_01_115_09_2.jpg;tkani_aksessyar_01_115_09_1.jpg;;;;;;;;;;;;;
;400;01/142/04;20.09.2010 15:00;30.09.2010 15:00;;;Веер из страусиных перьев;;Черепаха, 17 пластин, к. XIX - н. ХХ в. (старые склейки, отсутствие крепления), длина 45 см;1000;1000;tkani_veer_01_142_04_1.jpg;;;;;;;;;;;;;;
;404;01/115/05;20.09.2010 15:00;30.09.2010 15:00;;;Восемь булавок для шляп;;Черепаха, металл, камень, н. ХХ в.;650;650;tkani_8bulavok_01_115_05_6.jpg;tkani_8bulavok_01_115_05_5.jpg;tkani_8bulavok_01_115_05_4.jpg;tkani_8bulavok_01_115_05_3.jpg;tkani_8bulavok_01_115_05_2.jpg;tkani_8bulavok_01_115_05_1.jpg;;;;;;;;;
;406;01/115/08;20.09.2010 15:00;30.09.2010 15:00;;;Женское платье;;Шелк, кружево, н. ХХ в.;300;300;tkani_platje_01_115_08_1.jpg;;;;;;;;;;;;;;
;405;01/115/07;20.09.2010 15:00;30.09.2010 15:00;;;Женское платье;;Шелк, тюль, Париж, Франция, н. ХХ в.;300;300;tkani_platje_01_115_07_1.jpg;;;;;;;;;;;;;;
;414;01/091/01;20.09.2010 15:00;30.09.2010 15:00;;;Комплект батистового белья с вышивкой и кружевом;;покрывало с монограммой  «А.?» в центре, наволочка и накидка для подушки, к. XIX в., размеры: покрывало -  215х273 см, наволочки -  85х85 см. ( желтоватые пятна по ткани и кружеву);0;0;91 (3 of 5).jpg;91 (5 of 5).jpg;91 (1 of 5).jpg;;;;;;;;;;;;
;410;01/115/13;20.09.2010 15:00;30.09.2010 15:00;;;Кружево;;н. ХХ в.;800;800;tkani_krygevo_01_115_13_4.jpg;tkani_krygevo_01_115_13_3.jpg;tkani_krygevo_01_115_13_2.jpg;tkani_krygevo_01_115_13_1.jpg;;;;;;;;;;;
;412;01/115/14;20.09.2010 15:00;30.09.2010 15:00;;;Четыре гребня в коробке;;Заколки из черепахи, тисненая бумага, металлическая накладка «Девицы», н. ХХ в., длина большого гребня 14.5 см, размер коробки 6.5х16.5х16.5;3200;3200;tkani_4grebnya_01_115_14_8.jpg;tkani_4grebnya_01_115_14_7.jpg;tkani_4grebnya_01_115_14_6.jpg;tkani_4grebnya_01_115_14_5.jpg;tkani_4grebnya_01_115_14_4.jpg;tkani_4grebnya_01_115_14_3.jpg;tkani_4grebnya_01_115_14_2.jpg;tkani_4grebnya_01_115_14_1.jpg;tkani_4grebnya_01_115_14_9.jpg;;;;;;
;408;01/115/11;20.09.2010 15:00;30.09.2010 15:05;;;Четыре шарфа-шали;;Вышивка, н. ХХ в.;3200;3200;tkani_4sharfa_01_115_11_1.jpg;;;;;;;;;;;;;;
;403;01/115/04;20.09.2010 15:00;30.09.2010 15:00;;;Юбка и блузка;;Шелк с кружевными вставками, Афины, н. ХХ в.;100;100;tkani_ubka_01_155_04_1.jpg;;;;;;;;;;;;;;
