auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;247;01/124/02;20.10.2010 14:41;21.04.2011 14:41;;;Ваза декоративная ;;"Cтекло, гранение, к. XIX - н. ХХ вв., Россия(?), высота 70 см (скольчик у основания и на горлышке)
";0;0;3572563.jpg;9948296.jpg;1156147.jpg;7984985.jpg;4786839.jpg;1060119.jpg;;;;;;;;;
;1001764;05/504/01;28.10.2011 12:34;28.10.2013 12:31;;;Ваза для цветов в стиле модерн;;Двуцветное стекло, резьба, роспись золотом и серебром. Начало ХХ в. Высота 30,5 см;0;0;6232980.jpg;9001953.jpg;6052542.jpg;8996059.jpg;;;;;;;;;;;
;1000814;03/233/01;15.04.2011 14:12;14.04.2012 19:58;21.03.2011 15:00;31.03.2011 15:00;Ваза с колбой для цветов;;Стекло, резьба, к. XIX - н. ХХ в., высота 49 см;0;0;03_233_01_01.jpg;03_233_01_02.jpg;03_233_01_03.jpg;03_233_01_04.jpg;;;;;;;;;;;
;1000814;03/233/01;16.04.2012 11:40;14.04.2020 19:58;21.03.2011 15:00;31.03.2011 15:00;Ваза с колбой для цветов;;Стекло, резьба, к. XIX - н. ХХ в., высота 49 см;0;0;03_233_01_01.jpg;03_233_01_02.jpg;03_233_01_03.jpg;03_233_01_04.jpg;;;;;;;;;;;
5;1001769;05/509/02;24.11.2011 16:44;24.11.2013 16:36;;;Вазочка в стиле модерн;;Двухслойное стекло, люстр, Западная Европа, начало ХХ в., высота 14 см;0;0;5096271.jpg;8633772.jpg;6128627.jpg;5429772.jpg;4167072.jpg;5224856.jpg;;;;;;;;;
;242;01/121/02;20.10.2010 0:03;21.04.2011 0:03;;;Графин «Паутинка»;;Стекло «кракле», металл никелированный, н. ХХ в., высота 20 см;0;0;steklo_grafin_01_121_02_1.jpg;steklo_grafin_01_121_02_2.jpg;steklo_grafin_01_121_02_3.jpg;steklo_grafin_01_121_02_4.jpg;steklo_grafin_01_121_02_5.jpg;steklo_grafin_01_121_02_6.jpg;;;;;;;;;
5;1001768;05/509/01;24.11.2011 16:36;24.11.2013 16:29;;;Графин с орнаментальным бордюром;;Стекло, травление, притёртая пробка, Россия, конец XIX в., высота 25,5 см.;0;0;5487929.jpg;1065289.jpg;7653442.jpg;9567547.jpg;;;;;;;;;;;
;1001805;05/646/01;30.03.2012 18:53;30.03.2014 18:48;;;Два бокала.;;Стекло, резьба, золочение, гравированная монограмма и даты: «8 маi 1908», «2 Оctober 1897», Германия, конец XIX в., высота 28 см (склейка на основании одного бокала) ;0;0;9999428.jpg;7515553.jpg;5461477.jpg;5422002.jpg;1104762.jpg;;;;;;;;;;
;245;01/122/05;20.10.2010 0:09;21.04.2011 0:09;;;Колокол для десерта;;Хрусталь, гранение «Русский камень», Россия, 2-я пол. XIX в., высота 21 см;0;0;steklo_kolokol_01_122_05_1.jpg;steklo_kolokol_01_122_05_2.jpg;steklo_kolokol_01_122_05_3.jpg;;;;;;;;;;;;
1;1000827;01/022/03;09.05.2011 18:35;09.05.2012 18:25;;;Парные вазы для цветов «Ландыши»;;Молочное стекло с люстром, роспись, модерн, Западная Европа, н. ХХ в.,  высота 25 см;0;0;4927969.jpg;6088167.jpg;9850641.jpg;1932710.jpg;1783022.jpg;;;;;;;;;;
1;1000827;01/022/03;09.05.2012 18:54;08.11.2012 17:54;;;Парные вазы для цветов «Ландыши»;;Молочное стекло с люстром, роспись, модерн, Западная Европа, н. ХХ в.,  высота 25 см;0;0;4122807.jpe;6944695.jpe;3111367.jpe;1344997.jpe;9858335.jpe;;;;;;;;;;
;1000811;03/026/05;12.04.2011 19:58;12.04.2012 1:43;21.03.2011 15:00;31.03.2011 15:00;Потолочный светильник-фонарь «Девушка в цветах»;;Молочное стекло, роспись, бронза, золочение, высота 51 см;0;0;03_026_05_01.jpg;03_026_05_02.jpg;03_026_05_03.jpg;;;;;;;;;;;;
;1000811;03/026/05;12.04.2012 11:37;12.10.2012 11:37;21.03.2011 15:00;31.03.2011 15:00;Потолочный светильник-фонарь «Девушка в цветах»;;Молочное стекло, роспись, бронза, золочение, высота 51 см;0;0;03_026_05_01.jpg;03_026_05_02.jpg;03_026_05_03.jpg;;;;;;;;;;;;
;1000811;03/026/05;12.10.2012 13:58;13.04.2013 13:58;21.03.2011 15:00;31.03.2011 15:00;Потолочный светильник-фонарь «Девушка в цветах»;;Молочное стекло, роспись, бронза, золочение, высота 51 см;0;0;03_026_05_03.jpg;03_026_05_01.jpg;03_026_05_02.jpg;;;;;;;;;;;;
;232;01/004/19;21.04.2011 12:09;20.04.2012 17:54;;;Рюмка;;Марганцевое, двухслойное стекло, прозрачные линзы, н. ХХ в., высота 5 см;0;0;steklo_rumka_01_004_19_2.jpg;steklo_rumka_01_004_19_1.jpg;;;;;;;;;;;;;
;232;01/004/19;20.04.2012 18:10;20.10.2012 18:10;;;Рюмка;;Марганцевое, двухслойное стекло, прозрачные линзы, н. ХХ в., высота 5 см;0;0;steklo_rumka_01_004_19_2.jpg;steklo_rumka_01_004_19_1.jpg;;;;;;;;;;;;;
;232;01/004/19;20.10.2010 0:02;21.04.2011 0:02;;;Рюмка;;Марганцевое, двухслойное стекло, прозрачные линзы, н. ХХ в., высота 5 см;0;0;steklo_rumka_01_004_19_1.jpg;steklo_rumka_01_004_19_2.jpg;;;;;;;;;;;;;
