auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000670;03/215/07;15.04.2011 16:27;14.04.2020 22:13;21.03.2011 15:00;31.03.2011 15:00;Картина «Лесная речка»;;Дерево, масло, подпись внизу справа «Pailoche», Западная Европа, к. XIX - н. ХХ вв., размер 21,5х33 см;0;0;03_215_07_03.jpg;03_215_07_02.jpg;03_215_07_01.jpg;;;;;;;;;;;;
;1000691;03/374/09;13.04.2011 12:59;12.04.2020 18:45;21.03.2011 15:00;31.03.2011 15:00;Картина «Пейзаж с путниками»;;Холст, масло, подпись «Lehmann 1897», 33х46 см;0;0;03_374_09_03.jpg;03_374_09_02.jpg;03_374_09_01.jpg;;;;;;;;;;;;
;1000685;03/374/03;13.04.2011 12:59;12.04.2020 18:45;21.03.2011 15:00;31.03.2011 15:00;Картина «Пейзаж с рыбаком»;;Холст, масло, без подписи, к. XIX - н. ХХ в., 58х80 см (холст дублирован);0;0;03_374_03_02.jpg;03_374_03_01.jpg;;;;;;;;;;;;;
;1002696;05/686/03;19.12.2012 14:34;19.12.2014 14:32;;;Hanke Hanns «Взгляд вдаль»;;Дерево, масло, Германия, XIX в., подпись: «Hanns Hanke», на обороте: бумажная наклейка с надписью: «H.Hanke Muenchen «Blick ins Weite», 34,5х40 см;0;0;3910290.jpg;8752864.jpg;7962313.jpg;4362307.jpg;7879971.jpg;;;;;;;;;;
;48;01/078/01;16.10.2010 1:59;23.10.2010 1:59;;;J. Tornoczy «Маки»;;Холст , масло , Западная Европа, нач. ХХ в , на раме шильдик «J.Tornoczy», 32х53 см;0;0;zapadnoevro_Maki_01_078_01_1.jpg;zapadnoevro_Maki_01_078_01_2.jpg;zapadnoevro_Maki_01_078_01_3.jpg;zapadnoevro_Maki_01_078_01_4.jpg;;;;;;;;;;;
;1002695;05/686/02;19.12.2012 14:32;19.12.2014 14:29;;;Tetar van Elven Petrus Henricus Theodorus (Pierre Henri Theodore) (1828-1908) «Пейзаж с пасущимися козами»;;Дерево, масло, Голландская школа, 2-я половина XIX в., подпись: «...Tetar van Elven», на обороте сертификат голландского аукциона с датой продажи в 1959 г., 27х37,5 см;0;0;9220694.jpg;5021381.jpg;1276541.jpg;9499260.jpg;7032510.jpg;;;;;;;;;;
;52;01/139/01;17.04.2011 17:29;16.04.2020 23:15;;;«Закат над морем»;;Холст, масло, неизвестный художник, Западная школа живописи, 1-я пол. ХХ в., 71х120 см;0;0;zapadnoevro_zakat_nad_morem_01_139_01_2.jpg;zapadnoevro_zakat_nad_morem_01_139_01_1.jpg;;;;;;;;;;;;;
;56;01/140/04;25.01.2011 19:32;26.01.2020 1:17;;;«Зуав»;;Бумага, акварель, неизвестный художник, к. XIX - н. ХХ вв., 30х25 см;0;0;zapadnoevro_Zyav_01_140_04_2.jpg;zapadnoevro_Zyav_01_140_04_1.jpg;;;;;;;;;;;;;
;28;01/005/03;18.10.2010 0:58;19.04.2011 0:58;;;«Натюрморт с арбузом»;;масло, холст, G.B. Casessi 62.5х40.5 см;0;0;zapadnoevro_naturmort_s_arbuzom_01_005_03_1.jpg;zapadnoevro_naturmort_s_arbuzom_01_005_03_2.jpg;zapadnoevro_naturmort_s_arbuzom_01_005_03_3.jpg;;;;;;;;;;;;
;43;01/047/03;16.10.2010 2:06;17.04.2011 2:06;;;«Натюрморт с розами и маком»;;Масло на дереве, неизвестный художник,  Западноевропейская школа живописи, к. XIX в., 46х36.5 см, (без рамы);0;0;zapadnoevro_naturmort_s_rozami_01_047_03_1.jpg;zapadnoevro_naturmort_s_rozami_01_047_03_2.jpg;;;;;;;;;;;;;
