auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;max_price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1001784;01/056/01;09.02.2012 15:29;09.02.2014 15:28;;;Барельеф «На окончание строительства Смольного собора в Петербурге»;;Медь, гальванопластика, Россия, XIX в. Диаметр 45см;0;0;0;;;;;;;;;;;;;;;
2;1000620;02/188/06;17.01.2011 22:54;26.12.2011 14:06;;;Барометр в латунном корпусе (настольно - настенный).;;Западная Европа, н. ХХ в. Диаметр 10.6 см;4700;;4700;02_188_06_1.jpg;02_188_06_2.jpg;02_188_06_3.jpg;02_188_06_4.jpg;02_188_06_5.jpg;02_188_06_6.jpg;;;;;;;;;
;1001015;03/376/05;13.04.2011 17:17;03.10.2011 18:27;21.03.2011 15:00;31.03.2011 15:00;Бивень мамонта;;Кость, высота 24 см, диаметр 13 см (трещины);8000;;8000;03_376_05_03.jpg;03_376_05_02.jpg;03_376_05_01.jpg;;;;;;;;;;;;
;450;01/099/03;10.05.2011 11:05;09.05.2020 16:51;;;Блюдо декоративное «Хлеб - соль».;;Дерево, резьба, к. XIX в., диаметр 40 см;0;;0;farfor_hleb-solj_01_099_03_2.jpg;farfor_hleb-solj_01_099_03_1.jpg;;;;;;;;;;;;;
;450;01/099/03;08.11.2010 1:01;10.05.2011 2:01;;;Блюдо декоративное «Хлеб - соль».;;Дерево, резьба, к. XIX в., диаметр 40 см;0;;0;farfor_hleb-solj_01_099_03_1.jpg;farfor_hleb-solj_01_099_03_2.jpg;;;;;;;;;;;;;
;445;01/033/06;10.05.2011 11:07;09.05.2020 16:53;;;Бубен «Парусник в море»;;Дерево, кожа, масло, справа внизу буквы AS, диаметр 20 см;0;;0;raznoe_byben_s_parysnikom_01_033_06_4.jpg;raznoe_byben_s_parysnikom_01_033_06_3.jpg;raznoe_byben_s_parysnikom_01_033_06_2.jpg;raznoe_byben_s_parysnikom_01_033_06_1.jpg;;;;;;;;;;;
;445;01/033/06;08.11.2010 1:01;10.05.2011 2:01;;;Бубен «Парусник в море»;;Дерево, кожа, масло, справа внизу буквы AS, диаметр 20 см;0;;0;raznoe_byben_s_parysnikom_01_033_06_4.jpg;raznoe_byben_s_parysnikom_01_033_06_2.jpg;raznoe_byben_s_parysnikom_01_033_06_1.jpg;raznoe_byben_s_parysnikom_01_033_06_3.jpg;;;;;;;;;;;
;1002160;05/661/04;22.06.2012 18:40;22.06.2014 18:37;;;Знак ордена Славы.;;Колониальная Франция. Тунис. XIX в. Серебро, эмаль, муар. Размер 9,5х5,5 см (в оригинальной коробке);0;0;0;9117892.jpg;5037553.jpg;;;;;;;;;;;;;
;1002145;05/665/13;02.06.2012 14:08;02.06.2014 14:05;;;Компас в футляре;;"Латунь, красное дерево, Англия, ХХ в., Размер 8х7 см
";0;0;0;4505579.jpg;5058806.jpg;1465973.jpg;6467446.jpg;3688941.jpg;2564369.jpg;;;;;;;;;
2;1000637;02/206/28;02.02.2011 9:02;02.02.2020 14:47;;;Коробка для карамели, фабрика «Бельфор».;;Жесть, штамповка, цветная печать «Сцены из древнерусской жизни», размер 24,5х17,5х16 см. (потертости);0;;0;;;;;;;;;;;;;;;
;1001004;03/330/01;18.04.2011 13:23;29.04.2011 20:11;21.03.2011 15:00;31.03.2011 15:00;Красное знамя «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности»;;Бархат, машинная вышивка, наконечник на древко - металл, 1970-80-е гг. Надписи: «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности», «Победителю во всесоюзном социалистическом соревновании», «Пролетарии всех стран объединяйтесь», «Под знаменем МАРКСИЗМА-ЛЕНИНИЗМА, под руководством Коммунистической партии - вперед, к победе коммунизма!» Размер 132х165 см;8400;;8400;03_330_01_03.jpg;03_330_01_02.jpg;03_330_01_01.jpg;;;;;;;;;;;;
5;1001488;05/410/12;05.10.2011 18:03;05.10.2020 18:01;;;Крест «В память о войне 1812 г» для православного духовенства;;Медь, 1820-е гг., размер 8х4,5 см. Памятным крестом награждали в России всех священников и архиереев, находившихся в сане до 1 января 1813 г. Выдача производилась с 1818 по 1829 гг. ;0;0;0;6346915.jpg;6485981.jpg;;;;;;;;;;;;;
;440;01/004/02;21.04.2011 11:59;20.12.2012 17:44;;;Набор для десерта на подставке;;Ножи-6 шт. и вилки-12 шт., фраже (металл, серебрение) Варшава, 1-я четверть ХХ в., высота 24.5 см;0;;0;raznoe_nabor.d.deserta_01_004_02_7.jpg;2850614.jpg;6590250.jpg;1901338.jpg;1697284.jpg;2985236.jpg;4012946.jpg;;;;;;;;
;440;01/004/02;19.10.2010 23:25;20.04.2011 23:25;;;Набор для десерта на подставке;;Ножи-6 шт. и вилки-12 шт., фраже (металл, серебрение) Варшава, 1-я четверть ХХ в., высота 24.5 см;0;;0;5131678.jpg;8034880.jpg;3330332.jpg;5090353.jpg;7327592.jpg;6436327.jpg;;;;;;;;;
2;1000635;02/205/13;20.01.2011 10:26;20.01.2020 16:11;;;Настольное украшение «Муха на яйце».;;Алебастр, металл, раскраска, н. ХХ в., высота 2,8 см;0;;0;;;;;;;;;;;;;;;
;1002147;05/661/01;22.06.2012 18:23;22.06.2014 18:20;;;Орден «За заслуги перед Итальянской Республикой»;;Степень Кавалерии Большого креста. 2-я половина ХХ в. Знак ордена, звезда, фрачник и лента. Серебро, золочение, эмаль, золото, муар. Размер знака 9,5х7 см (в оригинальной коробке);0;0;0;5139801.jpg;9132224.jpg;6964783.jpg;4250060.jpg;;;;;;;;;;;
;1002148;05/661/02;22.06.2012 18:32;22.06.2014 18:24;;;Орден «За заслуги перед Итальянской Республикой»;;Степень Великого ордена. 2-я половина ХХ в. Знак ордена, звезда, фрачник и лента. Серебро, эмаль, золото, муар. Размер знака 7х5 см (в оригинальной коробке);0;0;0;5678513.jpg;4075915.jpg;9152209.jpg;5767947.jpg;;;;;;;;;;;
;1002148;05/661/03;22.06.2012 18:40;22.06.2014 18:32;;;Орден Леопольда II 1-й степени.;;Бельгия. 1-я половина ХХ в. Золото, эмаль, муар. Размер 6,5х4 см (в оригинальной коробке);0;0;0;4216450.jpg;7227987.jpg;3166995.jpg;;;;;;;;;;;;
;1001002;03/281/03;15.04.2011 17:23;14.04.2020 23:08;21.03.2011 15:00;31.03.2011 15:00;Памятная медаль «К 100-летию со дня рождения А.С. Пушкина» 1899 г.;;"Бронза, патинирование, медальер М.А. Скуднов (1861-1916), подпись «леп. рез. Скуднов», диаметр 6,8 см  Пушкинский юбилей 1899 г. был отмечен с подлинно народным энтузиазмом. По поводу легенды оборотной стороны юбилейной награды в Пушкинской комиссии возникли разногласия и предложенная первоначально строка Тютчева «Тебя, как первую любовь,  России сердце не забудет» была заменена пушкинской цитатой «Недаром жизнь и лира мне были вверены судьбой». Эта медаль была выдана всем окончившим с отличием средние учебные заведения в 1899 г. Скуднов Михаил Афанасьевич (1861-1916) окончил медальерный класс АХ; с 1891 – на Санкт-Петербургском монетном дворе по вольному найму, с 1897 – старший медальер. Работы метил: «Леп. Рез. Скудновъ».";0;;0;03_281_03_03.jpg;03_281_03_02.jpg;03_281_03_01.jpg;;;;;;;;;;;;
;1000997;03/223/14;15.04.2011 0:11;14.04.2020 5:56;21.03.2011 15:00;31.03.2011 15:00;Памятный стакан «На коронацию императора Николая II»;;Металл, эмаль, деколь, золочение, Россия, 1896 г., высота 10,5 см (сколы эмали, потертости);0;;0;03_223_14_05.jpg;03_223_14_04.jpg;03_223_14_03.jpg;03_223_14_02.jpg;03_223_14_01.jpg;;;;;;;;;;
;442;01/004/04;21.04.2011 12:23;20.12.2020 18:09;;;Подстаканник;;Мельхиор, скань, Советский период ХХ в., высота 8 см;0;;0;5945112.jpg;8407057.jpg;1194048.jpg;2853736.jpg;7139731.jpg;;;;;;;;;;
;442;01/004/04;20.10.2010 0:26;21.04.2011 0:26;;;Подстаканник;;Мельхиор, скань, Советский период ХХ в., высота 8 см;0;;0;4566780.jpg;7284811.jpg;5896848.jpg;1750742.jpg;5112103.jpg;;;;;;;;;;
2;1000633;02/205/08;20.01.2011 10:26;07.12.2011 10:36;;;Подстаканник «Медный всадник».;;Мельхиор, эмаль, печать, 1950-е гг., высота 10,4 см;720;;720;02_205_08_1.jpg;02_205_08_2.jpg;02_205_08_3.jpg;02_205_08_4.jpg;02_205_08_5.jpg;02_205_08_6.jpg;02_205_08_7.jpg;;;;;;;;
2;1000632;02/205/07;20.01.2011 10:26;20.11.2020 16:11;;;Подстаканник «Спутник».;;Мельхиор, СССР, 1960-е годы, высота 11 см;0;;0;02_205_07_1.jpg;02_205_07_2.jpg;02_205_07_3.jpg;02_205_07_4.jpg;02_205_07_5.jpg;02_205_07_6.jpg;;;;;;;;;
;347;01/004/25;25.11.2010 18:36;25.11.2010 18:39;;;Пряжка;;Резьба по кости н. ХХ в., Европа, 5.3х3 см;440;;440;uvelir_pryagka_01_004_25_1.jpg;uvelir_pryagka_01_004_25_2.jpg;;;;;;;;;;;;;
;460;01/122/04;19.10.2010 23:32;20.04.2011 23:32;;;Рама;;Черная мастика с разделкой под золото, рельеф, н. ХХ в., размер 64х53.5 см, внутренее окно 46х36 см;0;;0;raznoe_rama_01_122_04_1.jpg;raznoe_rama_01_122_04_2.jpg;;;;;;;;;;;;;
5;1001460;05/405/10;25.08.2011 13:21;25.08.2020 13:19;;;Фигурка «Баба с крынкой молока» ;;Камень, резьба, Последователи школы Фаберже, ХХ в., высота 13 см (скол на пальце);0;0;0;7306884.jpg;7453090.jpg;8359991.jpg;5298946.jpg;3359393.jpg;3998384.jpg;;;;;;;;;
2;1000634;02/205/12;20.01.2011 10:26;20.01.2020 16:11;;;Фигурка «Медведь».;;Алебастр, резьба, высота 7 см (мелкие сколы);0;;0;02_205_12_1.jpg;02_205_12_2.jpg;02_205_12_3.jpg;02_205_12_4.jpg;02_205_12_5.jpg;;;;;;;;;;
;1000998;03/223/33;15.04.2011 0:11;14.04.2020 5:56;21.03.2011 15:00;31.03.2011 15:00;Шкатулка «Лунная ночь»;;Папье-маше, лак, роспись, с картины И.Н. Крамского «Лунная ночь», Федоскино, 1950-е гг., подпись художника внизу справа неразборчиво, размер 10,5х7,5х4 см;0;;0;03_223_33_05.jpg;03_223_33_04.jpg;03_223_33_03.jpg;03_223_33_02.jpg;03_223_33_01.jpg;;;;;;;;;;
;451;01/122/03;19.10.2010 23:30;23.12.2010 17:30;;;Шкатулка в стиле Жакоб;;Красное дерево, латунь, муар, ключ, 2-я пол. XIX в., (ШГВ) 34х27х17.5 см (небольшие утраты латунных вставок);5000;;5000;raznoe_shkatylka_01_122_03_1.jpg;raznoe_shkatylka_01_122_03_2.jpg;raznoe_shkatylka_01_122_03_3.jpg;raznoe_shkatylka_01_122_03_4.jpg;;;;;;;;;;;
5;1001470;05/497/08;04.10.2011 12:08;25.10.2011 11:54;;;Эполеты штабс-капитана Лейб-Гвардии Кексгольмского Императора Австрийского Франца Иосифа полка ;;Ткань, металл, шитье, XIX в., 15х10 см;18000;0;18000;4540055.jpg;8579587.jpg;;;;;;;;;;;;;
