auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;max_price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;9;01/089/04;15.10.2010 18:15;16.04.2011 18:15;;;«Женский портрет»;;Холст, масло, неизвестный художник, Россия к. XIX в., 32.5х26.5 см;0;;0;rus_genskii_portret_01_089_04_2.jpg;rus_genskii_portret_01_089_04_1.jpg;;;;;;;;;;;;;
;1001789;05/529/05;16.02.2012 14:54;16.02.2014 14:49;;;«Натюрморт c желтыми розами»;;Холст на картоне, масло, подпись неразборчиво, Россия, н. ХХ в., диаметр 20,5 см (в деревянной раме);0;0;0;3894811.jpg;2934252.jpg;2073464.jpg;6083773.jpg;;;;;;;;;;;
;16;01/135/04;16.10.2010 0:31;13.12.2010 11:38;;;«Натюрморт с цветами и кувшином»;;Холст на картоне, подпись - неразборчиво, Россия, н. ХХ в., 55х52 см;10800;;10800;rus_naturmort_01_135_04_1.jpg;rus_naturmort_01_135_04_2.jpg;rus_naturmort_01_135_04_3.jpg;;;;;;;;;;;;
;4;01/025/02;29.07.2011 14:27;28.07.2014 20:12;;;«Портрет кирасира»;;Бумага, угольный карандаш, подпись M. Barwicki. Petrsburg 1892г., Россия, овал 65х49 см;0;;0;rus_portret_kirasira_01_025_02_2.jpg;rus_portret_kirasira_01_025_02_1.jpg;;;;;;;;;;;;;
;4;01/025/02;23.01.2011 5:24;25.07.2011 6:24;;;«Портрет кирасира»;;Бумага, угольный карандаш, подпись M. Barwicki. Petrsburg 1892г., Россия, овал 65х49 см;0;;0;rus_portret_kirasira_01_025_02_2.jpg;rus_portret_kirasira_01_025_02_1.jpg;;;;;;;;;;;;;
;1;01/042/02;29.07.2011 14:27;28.07.2015 20:12;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1;01/042/02;24.01.2011 14:11;26.07.2011 15:11;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1;01/042/02;23.01.2011 5:25;30.09.2010 15:00;;;Ахиллес Л. парные «Натюрморты с фруктами»;;Стекло, масло, подп. Л. Ахиллес 1911, Россия, в рамах красного дерева, мастерская Е. Фролова, С-Пб, 20.5х26.5 см;0;;0;rus_Ahilles_naturmorti_01_042_02_5.jpg;rus_Ahilles_naturmorti_01_042_02_4.jpg;rus_Ahilles_naturmorti_01_042_02_3.jpg;rus_Ahilles_naturmorti_01_042_02_2.jpg;rus_Ahilles_naturmorti_01_042_02_1.jpg;;;;;;;;;;
;1001780;05/517/01;15.12.2011 16:37;15.12.2011 17:06;;;"Картина &quot;Звоница в Ростове Великом&quot;";;"Холст на картоне, масло XX в. приписывается М.Виллiе 1909 г. Размер 69,6х49,7 см
";11000;0;11000;7833156.jpg;5597261.jpg;5761050.jpg;;;;;;;;;;;;
;1000661;03/374/01;13.04.2011 12:59;12.04.2012 18:44;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;03_374_01_01.jpg;03_374_01_02.jpg;;;;;;;;;;;;;
;1000661;03/374/01;12.04.2012 18:53;12.10.2012 18:53;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;03_374_01_01.jpg;03_374_01_02.jpg;;;;;;;;;;;;;
;1000661;03/374/01;13.10.2012 12:25;14.04.2013 12:25;21.03.2011 15:00;31.03.2011 15:00;Картина «Башня у озера»;;Холст на картоне, масло, без подписи, н. ХХ в., 30,5х52 см;0;;0;;;;;;;;;;;;;;;
2;1000259;02/219/09;08.05.2011 18:51;08.05.2012 0:37;;;Картина «Береза у пруда».;;Холст, масло, подпись «И. Проскурнин», 2-я пол. ХХ в. Размер 115х82 см.;0;;0;02_219_09_1.jpg;02_219_09_2.jpg;02_219_09_3.jpg;;;;;;;;;;;;
2;1000259;02/219/09;08.05.2012 11:42;07.11.2012 10:42;;;Картина «Береза у пруда».;;Холст, масло, подпись «И. Проскурнин», 2-я пол. ХХ в. Размер 115х82 см.;0;;0;02_219_09_1.jpg;02_219_09_2.jpg;02_219_09_3.jpg;;;;;;;;;;;;
2;1000291;02/219/05;08.05.2011 18:52;08.05.2020 0:38;;;Картина «Закат в сосновом лесу».;;Фанера, масло, подпись поздняя С.Федоров, ХХ в. Размер 70х92см;0;;0;02_219_05_1.jpg;02_219_05_2.jpg;02_219_05_3.jpg;;;;;;;;;;;;
4;1001446;04/387/05;24.06.2011 17:01;24.06.2013 16:59;;;Картина «Зимний пейзаж с берёзами» ;;Бумага, акварель, подпись «И. Виноградовъ 1911», 30х91 см, в современной раме и паспарту под стеклом;0;0;0;2485502.jpg;8350885.jpg;6109546.jpg;8129402.jpg;;;;;;;;;;;
4;1001438;04/388/09;24.06.2011 16:02;24.06.2013 16:00;;;Картина «Зимний пейзаж с глухарями» ;;Холст, масло, ХХ в., без подписи, 45х63 см (заклейки холста на оборотной стороне, в современной раме);0;0;0;7980167.jpg;7748998.jpg;;;;;;;;;;;;;
4;1001433;04/388/01;23.06.2011 15:59;23.06.2013 15:57;;;Картина «Зимняя дорога к хутору»;;Холст, масло, подпись «С. Ликов», н. ХХ в., 65х95 см;0;0;0;7440485.jpg;6818331.jpg;9888759.jpg;;;;;;;;;;;;
;1001357;04/388/01;10.06.2011 15:00;16.06.2013 15:00;10.06.2011 15:00;16.06.2011 15:00;Картина «Зимняя дорога к хутору»;;Холст, масло, подпись «С. Янков», н. ХХ в., 65х95 см;0;;0;04_388_01_01.jpg;04_388_01_02.jpg;04_388_01_03.jpg;;;;;;;;;;;;
