auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000923;03/375/01;14.04.2011 18:18;14.04.2020 0:03;21.03.2011 15:00;31.03.2011 15:00;Канделябр на 3 свечи;;Серебро 84°, из двух частей, клейма: на основании нечеткое российское клеймо - женская голова в кокошнике вправо, 84, именник мастера и еще одно клеймо не читаются, на верхней части полустертое австрийское клеймо с цифрой 13 и датой «...8(?)5», второе клеймо «А...», Россия - Австрия, к. XIX - н. ХХ вв., высота 62 см, вес 1117 гр. (деформации, естественная патина);0;0;03_375_01_01.jpg;03_375_01_02.jpg;03_375_01_03.jpg;03_375_01_04.jpg;03_375_01_05.jpg;03_375_01_06.jpg;03_375_01_07.jpg;03_375_01_08.jpg;;;;;;;
;1000897;03/230/02;08.05.2011 16:59;10.10.2011 12:50;21.03.2011 14:00;31.03.2011 15:00;Кольцо для салфеток «Бочонок»;;Серебро 84°, чеканка, гравировка, золочение, Россия, Москва, 1889 г., клейма: герб Москвы, 84°, АР (пробирный мастер А. Романов), 1889 г., именник мастера неразборчиво, вес 24,8 гр, высота 4,5 см (гравированная монограмма «МК»);6000;6000;03_230_02_01.jpg;03_230_02_02.jpg;03_230_02_03.jpg;03_230_02_04.jpg;03_230_02_05.jpg;03_230_02_06.jpg;;;;;;;;;
;1001806;05/647/03;31.03.2012 17:53;31.03.2014 17:49;;;Конфетница с ручкой в стиле модерн.;;Серебро 84°, гравировка. Начало ХХ в. Н-12 см. Вес 133 гр.;0;0;2064790.jpg;5043286.jpg;6416068.jpg;1020577.jpg;7925292.jpg;;;;;;;;;;
;338;01/134/03;23.12.2010 0:32;10.10.2011 12:50;;;Ликерный набор из 5 предметов;;Серебро 950 пр., стекло, гравировка, Франция, 2-я пол. XIX в., высота графина 24 см, блюдо 31х23 см  (трещины на стекле под серебром на горлышках графинов);24000;24000;serebro_liker_01_134_03_1.jpg;serebro_liker_01_134_03_2.jpg;serebro_liker_01_134_03_3.jpg;serebro_liker_01_134_03_4.jpg;serebro_liker_01_134_03_5.jpg;serebro_liker_01_134_03_6.jpg;serebro_liker_01_134_03_7.jpg;serebro_liker_01_134_03_8.jpg;serebro_liker_01_134_03_9.jpg;;;;;;
;1000924;03/375/02;14.04.2011 18:18;14.04.2012 0:03;21.03.2011 15:00;31.03.2011 15:00;Монета 5 копеек 1757 г.;;Серебро, диаметр 1,3 см, вес 1,18 гр.;0;0;03_375_02_01.jpg;03_375_02_02.jpg;;;;;;;;;;;;;
;1000924;03/375/02;14.04.2012 11:28;14.10.2012 11:28;21.03.2011 15:00;31.03.2011 15:00;Монета 5 копеек 1757 г.;;Серебро, диаметр 1,3 см, вес 1,18 гр.;0;0;03_375_02_02.jpg;03_375_02_01.jpg;;;;;;;;;;;;;
;1000924;03/375/02;15.10.2012 12:03;16.04.2013 12:03;21.03.2011 15:00;31.03.2011 15:00;Монета 5 копеек 1757 г.;;Серебро, диаметр 1,3 см, вес 1,18 гр.;0;0;03_375_02_01.jpg;03_375_02_02.jpg;;;;;;;;;;;;;
;316;01/006/10;21.04.2011 12:04;20.04.2012 17:50;;;Пепельница «Обезьяна с кружкой»;;Серебро, чеканка, литье, эмалевые глазки, Западная Европа, н.ХХ века, вес  43 гр;0;0;serebro_obejyana_01_006_10_1.jpg;serebro_obejyana_01_006_10_2.jpg;serebro_obejyana_01_006_10_3.jpg;serebro_obejyana_01_006_10_4.jpg;serebro_obejyana_01_006_10_5.jpg;serebro_obejyana_01_006_10_6.jpg;;;;;;;;;
;316;01/006/10;19.10.2010 23:44;20.04.2011 23:44;;;Пепельница «Обезьяна с кружкой»;;Серебро, чеканка, литье, эмалевые глазки, Западная Европа, н.ХХ века, вес  43 гр;0;0;serebro_obejyana_01_006_10_1.jpg;serebro_obejyana_01_006_10_2.jpg;serebro_obejyana_01_006_10_3.jpg;serebro_obejyana_01_006_10_4.jpg;serebro_obejyana_01_006_10_5.jpg;serebro_obejyana_01_006_10_6.jpg;;;;;;;;;
;316;01/006/10;20.04.2012 18:09;20.10.2012 18:09;;;Пепельница «Обезьяна с кружкой»;;Серебро, чеканка, литье, эмалевые глазки, Западная Европа, н.ХХ века, вес  43 гр;0;0;serebro_obejyana_01_006_10_3.jpg;serebro_obejyana_01_006_10_4.jpg;serebro_obejyana_01_006_10_2.jpg;serebro_obejyana_01_006_10_1.jpg;serebro_obejyana_01_006_10_6.jpg;serebro_obejyana_01_006_10_5.jpg;;;;;;;;;
