auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000848;03/249/04;15.04.2011 16:22;14.04.2012 22:07;21.03.2011 15:00;31.03.2011 15:00;Фигура «Мужичок в лодке»;;Бронза, литье, чеканка, золочение, Россия, 2-я пол. XIX в., высота 7 см, основание 16,5х11 см (утрачены весла);0;0;03_249_04_01.jpg;03_249_04_02.jpg;03_249_04_03.jpg;03_249_04_04.jpg;03_249_04_05.jpg;;;;;;;;;;
;1000848;03/249/04;16.04.2012 11:38;14.04.2020 22:07;21.03.2011 15:00;31.03.2011 15:00;Фигура «Мужичок в лодке»;;Бронза, литье, чеканка, золочение, Россия, 2-я пол. XIX в., высота 7 см, основание 16,5х11 см (утрачены весла);0;0;03_249_04_01.jpg;03_249_04_02.jpg;03_249_04_03.jpg;03_249_04_04.jpg;03_249_04_05.jpg;;;;;;;;;;
;1002750;05/812/04;13.02.2013 13:11;13.02.2015 13:08;;;Блюдо декоративное «Иродиада»;;"Бронза, литье, Франция, к. XIX в., по модели Picault Emile Lois (1833-1915), диаметр 33,7 см, высота 12 см
";0;0;2732619.jpg;9882630.jpg;9402098.jpg;9675568.jpg;6950211.jpg;;;;;;;;;;
;1002738;05/801/09;31.01.2013 17:21;31.01.2015 17:20;;;Бюст «Мефистофель»;;"М.М. Антакольский. Конец XIX в. Бронза, литье, патина. Высота 24 см
";0;0;5656590.jpg;;;;;;;;;;;;;;
5;1001770;05/509/03;24.11.2011 16:49;24.11.2013 16:46;;;Бюст «Петр I»;;Бронза, литьё, чеканка, патинирование, н. ХХ в., высота 22 см;0;0;2609248.jpg;6502816.jpg;1236595.jpg;1132963.jpg;8547807.jpg;;;;;;;;;;
;1002733;05/801/04;31.01.2013 16:43;31.01.2015 16:41;;;Ваза декоративная «Афродита»;;"Западная Европа. 1892 г. Бронза, литье, чеканка, патинирование, металл, штамповка, чёрный мрамор. Высота 60 см (0138)
";0;0;1063579.jpg;;;;;;;;;;;;;;
;400;01/006/08;02.02.2011 12:02;02.02.2011 12:02;;;Визитница «Девушка с жемчугом»;;Визитница «Девушка с жемчугом» Бронза, литье, чеканка, канфарение, стиль Модерн, Европа, н. ХХ в., длина 19,5 см;0;0;4261948.jpg;6604398.jpg;;;;;;;;;;;;;
;400;01/006/08;02.02.2011 12:58;02.02.2011 14:25;;;Визитница «Девушка с жемчугом»;;Визитница «Девушка с жемчугом» Бронза, литье, чеканка, канфарение, стиль Модерн, Европа, н. ХХ в., длина 19,5 см;3500;3500;8421280.jpe;2507091.jpe;;;;;;;;;;;;;
;1001790;05/553/03;16.02.2012 15:00;16.02.2014 14:58;;;Визитница «Кошки на веере»;;Бронза, литьё, гравировка, раскраска, Франция, к. XIX - н. ХХ в., длина 19 см, высота 6 см;0;0;1966308.jpg;6997618.jpg;5835793.jpg;6291787.jpg;2147055.jpg;8442537.jpg;;;;;;;;;
;1002124;05/649/02;29.05.2012 18:08;29.05.2014 18:06;;;Визитница «Шиповник».;; Бронза, литье, чеканка, подпись A. Marionnet, Западная Европа. Начало ХХ в. Диаметр 21 см.;0;0;9440255.jpg;4815643.jpg;2350968.jpg;5066016.jpg;;;;;;;;;;;
;260;01/040/01;19.10.2010 2:58;20.04.2011 2:58;;;Гильотина для сигар «Штурвал»;;Бронза, литье, золочение, Германия н. ХХ в., высота 15.5 см;0;0;bronza_guilliotina_shtyrval_01_040_01_1.jpg;bronza_guilliotina_shtyrval_01_040_01_2.jpg;bronza_guilliotina_shtyrval_01_040_01_3.jpg;bronza_guilliotina_shtyrval_01_040_01_4.jpg;bronza_guilliotina_shtyrval_01_040_01_5.jpg;bronza_guilliotina_shtyrval_01_040_01_6.jpg;bronza_guilliotina_shtyrval_01_040_01_7.jpg;;;;;;;;
;1002691;05/671/02;11.12.2012 17:40;11.12.2014 17:37;;;Замок с ключом;;Бронза, литье, фирма «Братья Чилини», высота 3,5 см, ширина 2 см;0;0;9884352.jpg;9992709.jpg;3570560.jpg;6403203.jpg;2318557.jpg;1868632.jpg;;;;;;;;;
;1001797;05/581/01;24.02.2012 17:11;24.02.2014 17:10;;;Канделябр на 4 свечи с фигурой мальчика.;;"Бронза, патинирование, мрамор, Западная Европа, к. XIX  в. Высота 75,5 см
";0;0;8063308.jpg;7451940.jpg;7852793.jpg;1115966.jpg;;;;;;;;;;;
;1002737;05/801/08;31.01.2013 17:16;31.01.2015 17:15;;;Композиция «Всадники»;;"Скульптор Грачёв. Отливка фабрика К.Ф.Верфеля. Россия. Конец XIX в. Бронза, литьё, патинирование, поделочный камень. Высота 48 см
";0;0;6492278.jpg;;;;;;;;;;;;;;
;1002734;05/801/05;31.01.2013 16:47;31.01.2015 16:46;;;Композиция «Голова оленя»;;Barye. Западная Европа. Начало ХХ в. Бронза, литье, чеканка. Высота 50 см;0;0;3607344.jpg;8087083.jpg;9566872.jpg;7571273.jpg;3247252.jpg;;;;;;;;;;
;257;01/008/04;19.10.2010 2:58;08.12.2010 12:03;;;Композиция «Обнаженные, эротическая сцена»;;Бронза, литье, чеканка, Европа, н. ХХ в., длина 14, высота 8 см;5200;5200;bronza_kompoziciya_Obnagennie_01_008_04_1.jpg;bronza_kompoziciya_Obnagennie_01_008_04_2.jpg;bronza_kompoziciya_Obnagennie_01_008_04_3.jpg;bronza_kompoziciya_Obnagennie_01_008_04_4.jpg;bronza_kompoziciya_Obnagennie_01_008_04_5.jpg;;;;;;;;;;
;1001802;05/623/09;27.03.2012 16:57;27.03.2014 15:54;;;Композиция «Птицы-рыболовы»;;Бронза, литьё, чеканка, цветные лаки, поделочный камень, Западная Европа, I-я половина XX в. Длина 34 см. Высота 29 см;0;0;1233949.jpg;2399359.jpg;1664155.jpg;3824356.jpg;7271041.jpg;;;;;;;;;;
;277;01/057/13;23.12.2010 1:23;23.12.2011 7:08;;;Кубок «Екатерина II»;;Металл, серебрение, гравировка, чеканка, штамп, высота 20 см;0;0;bronza_kybokEKATERINA_01_057_13_1.jpg;bronza_kybokEKATERINA_01_057_13_2.jpg;bronza_kybokEKATERINA_01_057_13_3.jpg;bronza_kybokEKATERINA_01_057_13_4.jpg;bronza_kybokEKATERINA_01_057_13_5.jpg;bronza_kybokEKATERINA_01_057_13_6.jpg;bronza_kybokEKATERINA_01_057_13_7.jpg;;;;;;;;
;277;01/057/13;23.12.2011 11:59;23.06.2012 12:59;;;Кубок «Екатерина II»;;Металл, серебрение, гравировка, чеканка, штамп, высота 20 см;0;0;bronza_kybokEKATERINA_01_057_13_1.jpg;bronza_kybokEKATERINA_01_057_13_2.jpg;bronza_kybokEKATERINA_01_057_13_3.jpg;bronza_kybokEKATERINA_01_057_13_4.jpg;bronza_kybokEKATERINA_01_057_13_5.jpg;bronza_kybokEKATERINA_01_057_13_6.jpg;bronza_kybokEKATERINA_01_057_13_7.jpg;;;;;;;;
;277;01/057/13;23.06.2012 13:50;23.12.2012 12:50;;;Кубок «Екатерина II»;;Металл, серебрение, гравировка, чеканка, штамп, высота 20 см;0;0;bronza_kybokEKATERINA_01_057_13_1.jpg;bronza_kybokEKATERINA_01_057_13_2.jpg;bronza_kybokEKATERINA_01_057_13_3.jpg;bronza_kybokEKATERINA_01_057_13_4.jpg;bronza_kybokEKATERINA_01_057_13_5.jpg;bronza_kybokEKATERINA_01_057_13_6.jpg;bronza_kybokEKATERINA_01_057_13_7.jpg;;;;;;;;
;277;01/057/13;24.12.2012 11:29;25.06.2013 12:29;;;Кубок «Екатерина II»;;Металл, серебрение, гравировка, чеканка, штамп, высота 20 см;0;0;bronza_kybokEKATERINA_01_057_13_1.jpg;bronza_kybokEKATERINA_01_057_13_2.jpg;bronza_kybokEKATERINA_01_057_13_3.jpg;bronza_kybokEKATERINA_01_057_13_4.jpg;bronza_kybokEKATERINA_01_057_13_5.jpg;bronza_kybokEKATERINA_01_057_13_6.jpg;bronza_kybokEKATERINA_01_057_13_7.jpg;;;;;;;;
;1002125;05/649/03;11.04.2012 15:50;11.04.2014 15:48;;;Миниатюрная фигура «Мопс»;;Бронза, литьё, чеканка, раскраска, Австрия, Вена, н. ХХ в., высота 2,5 см;0;0;3118964.jpg;9848051.jpg;2497306.jpg;2303597.jpg;;;;;;;;;;;
;1002710;05/794/03;21.12.2012 13:02;21.12.2014 13:01;;;Настенная плакетка «Путти у Алтаря любви» ;;"Бронза, патинирование, Западная Европа, конец XIX в. Овал 11,7х14,5 см
";0;0;7591285.jpg;2997846.jpg;;;;;;;;;;;;;
;275;01/042/01;21.04.2011 12:05;20.04.2012 17:51;;;Настенное панно «Горный орёл»;;Металл, литьё, деревянная рама, монограмма BG , к. ХIХ - н. ХХ вв., 50х35 см;0;0;bronza_panno_Orel_01_042_01_1.jpg;9501072.jpg;9324360.jpg;;;;;;;;;;;;
