auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;284;01/009/02;23.12.2010 1:23;23.12.2011 7:08;;;Часы «Рыцарские доспехи»;;Шпиатр, литье, двухцветная тонировка, эмалевые цифры, Европа, н. ХХ в., 55х39 см (реставрация);0;0;chasi_ricarskie_dospehi_01_009_02_1.jpg;chasi_ricarskie_dospehi_01_009_02_2.jpg;chasi_ricarskie_dospehi_01_009_02_3.jpg;chasi_ricarskie_dospehi_01_009_02_4.jpg;chasi_ricarskie_dospehi_01_009_02_5.jpg;;;;;;;;;;
;284;01/009/02;11.01.2012 12:01;23.12.2020 7:08;;;Часы «Рыцарские доспехи»;;Шпиатр, литье, двухцветная тонировка, эмалевые цифры, Европа, н. ХХ в., 55х39 см (реставрация);0;0;chasi_ricarskie_dospehi_01_009_02_4.jpg;chasi_ricarskie_dospehi_01_009_02_3.jpg;chasi_ricarskie_dospehi_01_009_02_2.jpg;chasi_ricarskie_dospehi_01_009_02_5.jpg;chasi_ricarskie_dospehi_01_009_02_1.jpg;;;;;;;;;;
;284;01/009/02;23.12.2011 11:54;30.12.2011 11:54;;;Часы «Рыцарские доспехи»;;Шпиатр, литье, двухцветная тонировка, эмалевые цифры, Европа, н. ХХ в., 55х39 см (реставрация);0;0;chasi_ricarskie_dospehi_01_009_02_1.jpg;chasi_ricarskie_dospehi_01_009_02_2.jpg;chasi_ricarskie_dospehi_01_009_02_3.jpg;chasi_ricarskie_dospehi_01_009_02_4.jpg;chasi_ricarskie_dospehi_01_009_02_5.jpg;;;;;;;;;;
;293;01/004/28;19.10.2010 23:48;18.12.2010 23:17;;;Часы женские на браслете «Заря»;;Часы -  золото 583 пробы, браслет – золото 583 пробы, Советский период ХХ века, 1.8х2.3 см;3600;3600;chasi_zarya_01_004_28_1.jpg;chasi_zarya_01_004_28_2.jpg;chasi_zarya_01_004_28_3.jpg;chasi_zarya_01_004_28_4.jpg;;;;;;;;;;;
;294;01/004/29;19.10.2010 23:49;18.12.2010 23:18;;;"Часы женские, на браслете «Clemence Fr &amp; C»";;Золото 56 пробы (клеймо усеченно-овальное для клеймения заграничных изделий на таможне). Часы -  золото 585 пробы, на внутренней стороне крышки - пробирные клейма Германии (корона) и Швейцарии (белка), Европа, н. ХХ в., диаметр 2.5 см;6600;6600;chasi_genskie_Clemence_01_004_29_1.jpg;chasi_genskie_Clemence_01_004_29_2.jpg;chasi_genskie_Clemence_01_004_29_3.jpg;chasi_genskie_Clemence_01_004_29_4.jpg;;;;;;;;;;;
;290;01/024/09;23.12.2010 1:23;28.12.2010 15:43;;;Часы каминные;;Бронза, литье, золочение, н. ХХ в., высота 40 см;14000;14000;chasi_kaminnie_01_024_09_1.jpg;chasi_kaminnie_01_024_09_2.jpg;chasi_kaminnie_01_024_09_3.jpg;chasi_kaminnie_01_024_09_4.jpg;chasi_kaminnie_01_024_09_5.jpg;;;;;;;;;;
;292;01/004/27;19.10.2010 14:20;28.01.2011 17:09;;;Часы карманные (луковица);;Женские, серебро, пробирное клеймо Швейцарии, надп.: В. ГАБЮ (на внутренней стороне крышки ), на задней стороне крышки - чеканный декор в виде вазы с цветами, механизм в рабочем состоянии, Европа н. ХХ в., диаметр 3.5 см;3600;3600;chasi_karmannie_01_004_27_1.jpg;chasi_karmannie_01_004_27_2.jpg;chasi_karmannie_01_004_27_3.jpg;chasi_karmannie_01_004_27_4.jpg;;;;;;;;;;;
;291;01/004/26;19.10.2010 23:46;25.11.2010 18:22;;;Часы карманные (луковица);;Женские, золото 585 пробы, на задней крышке - чеканный декор в виде цветов, земляники и птицы, на внутренней стороне крышки - пробирные клейма Германии (корона) и Швейцарии (белка), механизм в рабочем состоянии, Европа, н. ХХ в., диаметр 2.8 см;3600;3600;chasi_karmannie_01_004_26_1.jpg;chasi_karmannie_01_004_26_2.jpg;chasi_karmannie_01_004_26_3.jpg;chasi_karmannie_01_004_26_4.jpg;chasi_karmannie_01_004_26_5.jpg;;;;;;;;;;
;295;01/004/30;19.10.2010 23:51;26.11.2010 11:18;;;Часы карманные мужские «Лонжин»;;На внутренней стороне крышки - золото 56 пробы, 14 карат, пробирное клеймо Швейцарии (белка) и надпись «Longines 5 Grands Prix Paris-Anverrs-Paris  Milan bruxelles», Европа, н. ХХ века, диаметр 4.5 см (выпадает стекло);4200;4200;chasi_mygskie_Longin_01_004_30_1.jpg;chasi_mygskie_Longin_01_004_30_2.jpg;chasi_mygskie_Longin_01_004_30_3.jpg;chasi_mygskie_Longin_01_004_30_4.jpg;chasi_mygskie_Longin_01_004_30_5.jpg;;;;;;;;;;
;1000867;03/220/01;25.05.2011 17:12;24.05.2020 22:57;21.03.2011 15:00;31.03.2011 15:00;Часы карманные, мужские «Луковица» с цепочкой и ключом;;Серебро 875°, «Георгъ Фавръ Жако» Клейма: 84, 0.875, ARGENT, швейцарское пробирное клеймо (медведь), №2385220 1504. Надписи на второй (внутренней) крышке «Часы для России», 6 медалей, «Анкеръ 23 Камней», «Высший сортъ, верный ходъ». Швейцария (для России), к. XIX - н. ХХ в. Диаметр 5,5 см, общий вес 126,51 гр (состояние - рабочее);0;0;03_220_01_01.jpg;03_220_01_02.jpg;03_220_01_03.jpg;03_220_01_04.jpg;03_220_01_05.jpg;03_220_01_06.jpg;;;;;;;;;
;1002720;05/794/06;16.01.2013 13:53;16.01.2015 13:52;;;Часы настенные с барометром «Охотничьи мотивы»;;Дерево, металл, Франция, к. XIX - н. ХХ вв. Размер 108х70 см;0;0;8075603.jpg;;;;;;;;;;;;;;
