auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000894;03/228/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Вазочка и вилочка для лимона;;Вилочка: серебро 875°, золочение, чернь, СССР, Бакинская ювелирная фабрика, 1960-е гг., клейма: 875, звезда, Б (Бакинская пробирная инспекция), БЮ, длина 13,5 см, вес 12,6 гр.  Вазочка: мельхиор, золочение, СССР, Таллинский ювелирный завод, н. 1960-х гг., размер 16х11,8 см;2200;2200;03_228_03_01.jpg;03_228_03_02.jpg;03_228_03_03.jpg;03_228_03_04.jpg;03_228_03_05.jpg;03_228_03_06.jpg;03_228_03_07.jpg;03_228_03_08.jpg;03_228_03_09.jpg;;;;;;
;1000900;03/234/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Графин;;Хрусталь, гранение «русский камень», серебро 84°, золочение, Россия, Петербург, фабрика В. Морозова, клейма: 84, женская голова в кокошнике влево, Я.Л. (пробирный мастер Я. Ляпунов, Санкт-Петербург), под двуглавым орлом (знак поставщика Императорского двора) «В. Морозов», именник мастера «Э.К» (неизвестный мастер), общий вес 943,9 гр, высота 28,5 см (на горловине трещина, мелкие сколы);21000;21000;7744841.jpg;5737029.jpg;4600441.jpg;9442857.jpg;1239930.jpg;7048121.jpg;;;;;;;;;
;1000921;03/344/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Две подставки для яиц (разборные);;Серебро 84°, гравировка, Россия, Москва, 1899-1908 гг., высота 8 см, вес 51,8 гр.;0;0;03_344_06_01.jpg;03_344_06_02.jpg;03_344_06_03.jpg;03_344_06_04.jpg;03_344_06_05.jpg;03_344_06_06.jpg;03_344_06_07.jpg;03_344_06_08.jpg;;;;;;;
;1000902;03/275/05;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Конфетница;;Серебро 84°, золочение, Россия, Петербург, 1-я треть XIX в., клейма: 84, герб Петербурга, В.В. (неизвестный мастер), А.Я. (возможно, пробирный мастер А. Яшинов), высота с ручкой 14,5 см, размер 15х12 см, вес 144,81 гр (пайки на дне, незначительные разрывы);0;0;03_275_05_01.jpg;03_275_05_02.jpg;03_275_05_03.jpg;03_275_05_04.jpg;03_275_05_05.jpg;03_275_05_06.jpg;03_275_05_07.jpg;;;;;;;;
;1000895;03/228/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Кошелек дамский;;Серебро 800°, чернь, плетение, Западная Европа, н. ХХ в., размер 9,5х6,5 см, вес 40,24 гр.;3200;3200;03_228_04_01.jpg;03_228_04_02.jpg;03_228_04_03.jpg;03_228_04_04.jpg;;;;;;;;;;;
;1000914;03/333/14;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Кувшин с фигурой пьяницы на крышке, декором «виноградная лоза» и маскаронами;;Стекло, резьба, серебро 985°, Англия, Лондон, к. XIXв., английские пробирные клейма, высота 28 см, общий вес 954,44 гр;0;0;03_333_14_01.jpg;03_333_14_02.jpg;03_333_14_03.jpg;03_333_14_04.jpg;03_333_14_05.jpg;03_333_14_06.jpg;03_333_14_07.jpg;03_333_14_08.jpg;;;;;;;
;1000899;03/232/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ложка для варенья;;Карельская береза, серебро 84°, перегородчатая эмаль, золочение, Россия, к. XIX - н. ХХ вв., клейма отсутствуют, вес 24,2 гр, длина 18,8 см;0;0;03_232_02_01.jpg;03_232_02_02.jpg;;;;;;;;;;;;;
;1000916;03/333/17;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Ложка чайная;;Серебро 84°, ампирный декор, фирма Хлебникова, Россия, Москва, 1908-1917 гг., клейма: 84, женская голова в кокошнике вправо, ? (Московская пробирная инспекция), под двуглавым орлом «Хлебниковъ», длина 14,5 см, вес 35,33 гр.;6000;6000;03_333_17_01.jpg;03_333_17_02.jpg;03_333_17_03.jpg;;;;;;;;;;;;
;1000911;03/333/11;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Набор десертный «Эгоист», 5 предметов на 1 персону;;Серебро, золочение, сталь, классический декор, Франция, к. XIX - н. ХХ в., клейма: пробирное французское клеймо - голова Афины, «PFRES.»  (марка изготовителя), «RF», длина ложки 18,5 см, общий вес 194,3 гр (в оригинальной коробке - ледерин, бархат, шелк потрепан);0;0;8449346.jpg;7169827.jpg;1489576.jpg;5248101.jpg;9722808.jpg;;;;;;;;;;
;1000903;03/331/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Набор из 6-ти вилок;;Серебро 84°, Россия, Петербург, 1894 г., фирма Морозова, клейма: 84 герб Петербурга, А.Ш. (неизвестный мастер), 1894, под двуглавым орлом «Морозов», длина вилки 21 см, общий вес 453,5 гр. (в современной коробке из дуба);0;0;9848487.jpg;6467531.jpg;8106827.jpg;6222847.jpg;2032587.jpg;3957813.jpg;;;;;;;;;
;1000906;03/333/05;21.03.2011 15:00;31.03.2011 15:05;21.03.2011 15:00;31.03.2011 15:00;Набор ножей и вилок на 12 персон (24 предмета);;Серебро 800°, сталь, никелирование, Германия, к. XIX - н. ХХ вв., клейма: луна и корона, 800, «G Ernst» (клеймо изготовителя), длина ножа - 20,5 см, длина вилки - 18 см, общий вес 1045,8 гр  (в оригинальной коробке - ледерин, шелк, 37х25 см);24000;24000;7866736.jpg;9613811.jpg;8073259.jpg;3950481.jpg;9915258.jpg;6035383.jpg;;;;;;;;;
;1000907;03/333/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Набор чайный, 5 предметов: кувшин для воды, чайник, сливочник, сахарница, поднос;;Серебро 950°, золочение, кость, Франция, к. XIX - н. ХХ вв., французское пробирное клеймо - голова Афины в ромбе «Harleux» (марка изготовителя), высота кувшина 29,5 см, общий вес 2179,5 гр. Поднос: бронза, серебрение, без клейм, размер подноса 71х47 см;0;0;03_333_06_01.jpg;03_333_06_02.jpg;03_333_06_03.jpg;03_333_06_04.jpg;03_333_06_05.jpg;03_333_06_06.jpg;03_333_06_07.jpg;03_333_06_08.jpg;;;;;;;
;1000896;03/230/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Набор: 12 чайных ложек и лопатка для торта;;Серебро 800°, золочение, Германия, н. ХХ в., клейма: полумесяц с короной, 800, WTB, общ вес - 215,8 гр., длина ложки 13,5 см, длина лопатки 22 см (в оригинальной коробке-ледерин, бархатный ложемент, шелк, потертости, латунные застежки с утратами);12500;12500;03_230_01_01.jpg;03_230_01_02.jpg;03_230_01_03.jpg;03_230_01_04.jpg;03_230_01_05.jpg;03_230_01_06.jpg;03_230_01_07.jpg;03_230_01_08.jpg;03_230_01_09.jpg;03_230_01_10.jpg;;;;;
;1000912;03/333/12;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Наградной кубок с аллегорическим изображением лошадей на тулове;;Серебро 925°, золочение, Англия, Лондон, 1860-е, лондонские пробирные клейма, гравированная надпись на французском языке и дата: «20 июля 1863 г.», высота 45 см, вес 1976,84 гр.;0;0;03_333_12_01.jpg;03_333_12_02.jpg;03_333_12_03.jpg;03_333_12_04.jpg;03_333_12_05.jpg;03_333_12_06.jpg;03_333_12_07.jpg;;;;;;;;
;1000917;03/333/26;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Портсигар;;Серебро 925°, золочение, голубая гильошированная эмаль, Норвегия, н. ХХ в., клейма: 925, норвежские пробирные клейма, Made in Norway, размер 8х7,5 см, вес 155,7 гр.;0;0;03_333_26_01.jpg;03_333_26_02.jpg;03_333_26_03.jpg;03_333_26_04.jpg;03_333_26_05.jpg;03_333_26_06.jpg;;;;;;;;;
;1000918;03/344/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Пудреница «Игра в жмурки»;;Серебро 950°, золочение, синяя эмаль - гризайль, Франция, к. XIX в., французское пробирное клеймо: голова Афины с цифрой 1, диаметр 8,5 см, вес 107,7 гр (небольшой скол по краю);0;0;03_344_02_01.jpg;03_344_02_02.jpg;03_344_02_03.jpg;03_344_02_04.jpg;03_344_02_05.jpg;03_344_02_06.jpg;03_344_02_07.jpg;03_344_02_08.jpg;;;;;;;
;1000893;03/209/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Рукоять печати в виде дерущихся льва и лошади;;Серебро 800°, синтетический рубин, литье, огранка, чернение, Западная Европа, к. XIX - н. ХХ вв., клейм нет, высота 6,9 см, вес 91,02 гр.;0;0;03_209_02_01.jpg;03_209_02_02.jpg;03_209_02_03.jpg;03_209_02_04.jpg;03_209_02_05.jpg;03_209_02_06.jpg;03_209_02_07.jpg;03_209_02_08.jpg;03_209_02_09.jpg;;;;;;
;1000919;03/344/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Солонка;;Серебро 84°, ампирный декор, Россия, 1830-е гг., клейма: 183…, остальные не читаются, высота 5,5 см, вес 62,7 гр. Ложечка для соли. Серебро 875°, СССР, 1958 г., Бакинская ювелирная фабрика, клейма: Z (Бакинская пробирная инспекция), голова рабочего, 875, БЮ8, длина 6,5 см, вес 4 гр.;0;0;03_344_03_01.jpg;03_344_03_02.jpg;03_344_03_03.jpg;03_344_03_04.jpg;03_344_03_05.jpg;03_344_03_06.jpg;03_344_03_07.jpg;03_344_03_08.jpg;03_344_03_09.jpg;03_344_03_10.jpg;;;;;
;1000920;03/344/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Солонка;;Серебро 84°, Россия, Петербург, к. XIX в., клейма: 84 герб Петербурга, С.А (неизвестный мастер), высота 3,7 см, диаметр 7,5 см вес 130,7 гр. (гравированная монограмма и подписи дарителей);0;0;03_344_04_01.jpg;03_344_04_02.jpg;03_344_04_03.jpg;03_344_04_04.jpg;03_344_04_05.jpg;03_344_04_06.jpg;;;;;;;;;
;1000922;03/344/07;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Чашка с серебряным подстаканником и блюдцем;;Подстаканник с блюдцем: серебро 84°, золочение, Москва, 1908-1917 гг., клейма: 84, женская голова в кокошнике вправо, ? (московская пробирная инспекция), СК (мастерская С.Казакова), высота чашки с подстаканником 5,5 см, диаметр блюдца 12,7 см, вес серебра 150,2 гр (поздняя дарственная надпись 1950 г.). Чашка: фарфор, декоративный кант - роспись золотом по зеленому фону, Москва, фабрика Кузнецова, н. ХХ в., марка зеленая: «т-во М.С. Кузнецова в Москве».;0;0;03_344_07_01.jpg;03_344_07_02.jpg;03_344_07_03.jpg;03_344_07_04.jpg;03_344_07_05.jpg;03_344_07_06.jpg;03_344_07_07.jpg;03_344_07_08.jpg;03_344_07_09.jpg;03_344_07_10.jpg;;;;;
;1000915;03/333/15;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Шкатулка с портретом девушки;;Серебро, золочение, гравировка, перегородчатая эмаль, на крышке миниатюра на кости «Портрет девушки», Франция, 1-я треть ХХ в., французское пробирное клеймо, размер 8,2х4,7х2,4 см, вес 82,4 гр;0;0;03_333_15_01.jpg;03_333_15_02.jpg;03_333_15_03.jpg;03_333_15_04.jpg;03_333_15_05.jpg;03_333_15_06.jpg;03_333_15_07.jpg;03_333_15_08.jpg;03_333_15_09.jpg;;;;;;
;340;01/134/05;20.09.2010 15:00;30.09.2010 15:00;;;Блюдо круглое;;Серебро 800 пр., литье. Австрия.  Клейма: именник в прямоугольном щитке «BACHRUCH», знак удостоверения жесткая голова с полумесяцем повернута вправо 1867-1937г., вес 793 гр.;6000;6000;serebro_kryg_bludo_01_134_05_1.jpg;serebro_kryg_bludo_01_134_05_2.jpg;serebro_kryg_bludo_01_134_05_3.jpg;serebro_kryg_bludo_01_134_05_4.jpg;;;;;;;;;;;
;339;01/134/04;20.09.2010 15:00;30.09.2010 15:00;;;Блюдо овальное;;Серебро 800 пр., литье. Австрия. Клейма: именник в прямоугольном щитке «BACHRUCH», знак удостоверения женская голова с полумесяцем повернута вправо, 1867-1937 гг., вес1168 гр.;8000;8000;serebro_oval_bludo_01_134_04_1.jpg;serebro_oval_bludo_01_134_04_2.jpg;serebro_oval_bludo_01_134_04_3.jpg;serebro_oval_bludo_01_134_04_4.jpg;;;;;;;;;;;
;322;01/035/03;20.09.2010 15:00;30.09.2010 15:00;;;Бокал;;Медь, золочение, перегородчатая и расписная эмаль по скани, Россия, Сольвычегодск(?), XVIII в., высота 16.2 см (деформации, мелкие сколы по эмали);0;0;serebro_bokal_01_035_03_1.jpg;serebro_bokal_01_035_03_2.jpg;serebro_bokal_01_035_03_3.jpg;;;;;;;;;;;;
;319;01/029/01;20.09.2010 15:00;30.09.2010 15:00;;;Бонбоньерка;;Серебро, гравировка, чернь, золочение, «Галантные сцены», клеймо С-Петербурга, 1777 г., именник мастера-Е… (полустерт), диаметр 9 см;0;0;serebro_bonbonjerka_01_029_01_1.jpg;serebro_bonbonjerka_01_029_01_2.jpg;serebro_bonbonjerka_01_029_01_3.jpg;serebro_bonbonjerka_01_029_01_4.jpg;serebro_bonbonjerka_01_029_01_5.jpg;;;;;;;;;;
;334;01/142/05;20.09.2010 15:00;30.09.2010 15:00;;;Вилка и ложка;;Серебро 84 проба, фирма Сазикова. Клейма: двуглавый орел знак поставщика Императорского Двора, «Сазиков», пробирное клеймо А·К 1845(обер-бергпробирер Ковальский А.А., Москва), 84, герб Москвы, длинна л. 21.5, длинна в. 20.5 см, вес135 гр;3400;3400;serebro_vilka_i_logka_01_142_05_1.jpg;serebro_vilka_i_logka_01_142_05_2.jpg;serebro_vilka_i_logka_01_142_05_3.jpg;;;;;;;;;;;;
;330;01/118/02;20.09.2010 15:00;30.09.2010 15:00;;;Конфетница Хрусталь, гранение;;Серебро 84° (соответствует современной 875 пробе), штамп, золочение, чернение. Москва, 15 Артель, 1908-17 гг. Клейма: 84, женская голова в кокошнике вправо с точкой, именник 15А. На торце оправы имеется надпись: «Лахтинскiй Лаунъ Теннисъ Клубъ «Клеверный листокъ», «Ladies Club Handicap Lingles I prize 1913». Диаметр 18 см, высота 7,5 см. Вес 1320,26 см;0;0;serebro_konfetnica_01_118_02_1.jpg;serebro_konfetnica_01_118_02_2.jpg;serebro_konfetnica_01_118_02_3.jpg;serebro_konfetnica_01_118_02_4.jpg;serebro_konfetnica_01_118_02_5.jpg;serebro_konfetnica_01_118_02_6.jpg;;;;;;;;;
;318;01/011/01;20.09.2010 15:00;30.09.2010 15:00;;;Кубок «Олень»;;серебро, чеканка, Западная Европа, (клеймо не читаемо), к. XIX - н.ХХ вв., высота 19 см;0;0;serebro_kybok_Olen_01_011_01_1.jpg;serebro_kybok_Olen_01_011_01_2.jpg;serebro_kybok_Olen_01_011_01_3.jpg;serebro_kybok_Olen_01_011_01_4.jpg;serebro_kybok_Olen_01_011_01_5.jpg;serebro_kybok_Olen_01_011_01_6.jpg;;;;;;;;;
;335;01/143/02;20.09.2010 15:00;30.09.2010 15:00;;;Набор чайных ложек «Церкви»;;Серебро 84 пробы, литье, чеканка, 6 штук, к. XIX в., Россия. Клейма: клеймо мастера ИА (неизвестный мастер), пробиреры ВС 1888(неизвестный мастер), А·Р1887(А. Романов (1886-1894) Москва), 84, герб Москвы, длина 13 см, вес 75 гр.;4400;4400;serebro_nabor_01_143_02_1.jpg;serebro_nabor_01_143_02_2.jpg;serebro_nabor_01_143_02_3.jpg;serebro_nabor_01_143_02_4.jpg;serebro_nabor_01_143_02_5.jpg;serebro_nabor_01_143_02_6.jpg;;;;;;;;;
;323;01/086/03;20.09.2010 15:00;30.09.2010 15:00;;;Основа под печать «Мужичек с бутылкой»;;Серебро, неорусский стиль, повтор ХХ в., высота 7.5 см;0;0;serebro_mygichek_01_086_03_1.jpg;serebro_mygichek_01_086_03_2.jpg;serebro_mygichek_01_086_03_3.jpg;serebro_mygichek_01_086_03_4.jpg;serebro_mygichek_01_086_03_5.jpg;;;;;;;;;;
;329;01/118/01;20.09.2010 15:00;30.09.2010 15:00;;;Подставка для спичек Колганская;;Яшма, серебро 84°, фирма К.Фабержа, начало ХХ века. Клейма: 84, женская голова в кокошнике влево, ИЛ (пробирер И.Лебедкин, Москва), К.Фаберже под двуглавым орлом. Высота 6.5 см. Вес 262 гр. (незначительные сколы на камне);0;0;serebro_podstavka.d.spichek_01_118_01_1.jpg;serebro_podstavka.d.spichek_01_118_01_2.jpg;serebro_podstavka.d.spichek_01_118_01_3.jpg;serebro_podstavka.d.spichek_01_118_01_4.jpg;serebro_podstavka.d.spichek_01_118_01_5.jpg;serebro_podstavka.d.spichek_01_118_01_6.jpg;serebro_podstavka.d.spichek_01_118_01_7.jpg;;;;;;;;
;320;01/035/01;20.09.2010 15:00;30.09.2010 15:00;;;Подстаканник;;Серебро 84, гравировка, клейма - герб Москвы, пробирер А.К., 1882, именник мастера - ИАС (И.А.Свешников), высота 8.5 см (потертости, пайка);0;0;serebro_podstakannik_01_035_01_1.jpg;serebro_podstakannik_01_035_01_2.jpg;serebro_podstakannik_01_035_01_3.jpg;serebro_podstakannik_01_035_01_4.jpg;serebro_podstakannik_01_035_01_5.jpg;;;;;;;;;;
;336;01/134/01;20.09.2010 15:00;30.09.2010 15:00;;;Подстаканник;;Серебро 84 пробы, гравировка, монограмма «ТК», неизвестный мастер, клеймо города Санкт-Петербурга, Россия, 1908-1917гг,  вес 105 грамм;1800;1800;serebro_podstakannik_01_134_01_1.jpg;serebro_podstakannik_01_134_01_2.jpg;serebro_podstakannik_01_134_01_3.jpg;serebro_podstakannik_01_134_01_4.jpg;serebro_podstakannik_01_134_01_5.jpg;serebro_podstakannik_01_134_01_6.jpg;;;;;;;;;
;331;01/118/04;20.09.2010 15:00;30.09.2010 15:00;;;Подстаканник «Лукошко»;;Серебро 84°, штамп, золочение, Санкт-Петербург, 1893 г. Клейма: 84, герб Петербурга, АС/1893 (пробирер А.Т.Севьер), именник мастера ВИ (В.Иванов). Высота 9.5 см. Вес 154.05 гр.;0;0;serebro_lykoshko_01_118_04_1.jpg;serebro_lykoshko_01_118_04_2.jpg;serebro_lykoshko_01_118_04_3.jpg;serebro_lykoshko_01_118_04_4.jpg;serebro_lykoshko_01_118_04_5.jpg;;;;;;;;;;
;332;01/118/05;20.09.2010 15:00;30.09.2010 15:00;;;Подстаканник «Лукошко»;;Серебро 84°, штамп, золочение, Санкт-Петербург, 1880-е гг. Клейма: 84, герб Петербурга, именник мастера ВИ (В.Иванов). Высота 9.5 см. Вес 123.18 гр.;0;0;serebro_lykoshko_01_118_05_1.jpg;serebro_lykoshko_01_118_05_2.jpg;serebro_lykoshko_01_118_05_3.jpg;serebro_lykoshko_01_118_05_4.jpg;serebro_lykoshko_01_118_05_5.jpg;;;;;;;;;;
;327;01/117/01;20.09.2010 15:00;30.09.2010 15:00;;;Половник;;Серебро 84 пробы, ручка - карболит. Клейма: 84, герб Одессы, именник мастера МИ (неизвестный мастер), клеймо пробирного мастера и дата - неразборчиво, 1840-е гг.(?), длина 29 см, вес 170 гр.;0;0;serebro_polovnik_01_117_01_1.jpg;serebro_polovnik_01_117_01_2.jpg;serebro_polovnik_01_117_01_3.jpg;serebro_polovnik_01_117_01_4.jpg;serebro_polovnik_01_117_01_5.jpg;;;;;;;;;;
;326;01/105/02;20.09.2010 15:00;30.09.2010 15:00;;;Портсигар фирмы К.Фаберже;;"Серебро 84°, дерево (березовый кап), чеканка. Россия, Санкт-Петербург, мастер А.Й. Невалайнен, К.Фаберже, 1899-1904 гг. Клейма: 84, знак удостоверения - женская голова в кокошнике влево, инициалы «ЯЛ» (пробирный мастер Яков Николаевич Ляпунов, Санкт-Петербург) - все символы в овальном щитке; именник мастера «A.N» (А.Й.Невалайнен) в прямоугольном щитке со скруглёнными углами. Размер 8.5х8.5х2.1 см";0;0;serebro_portsigar_01_105_02_1.jpg;serebro_portsigar_01_105_02_2.jpg;serebro_portsigar_01_105_02_3.jpg;serebro_portsigar_01_105_02_4.jpg;;;;;;;;;;;
;317;01/009/03;20.09.2010 15:00;30.09.2010 15:05;;;Сахарница и совочек;;Сахарница - серебро 84 пр., клеймо А. Матисенъ (Матисен Александр Христофорович владелец фабрики серебряных изделий), пробирный мастер Ковальский Андрей (мастерская по производству золотых и серебряных изделий 1885-1917г.) серебро 84, именник  НП ( Павлов Николай Павлович серебряного дела мастер, владелец Антонович - старший пробирер Москвы, золотниковая цифра пробы металла 84, совочек - серебро 84 пробы, именник НП (Павлов Н.П. серебряного дела мастер, владелец мастерской по произв-ву зол. и сер. изделий 1885-1917 гг.) Вес 325 гр.;11100;11100;serebro_saharnica_i_sovochek_01_009_03_1.jpg;serebro_saharnica_i_sovochek_01_009_03_2.jpg;serebro_saharnica_i_sovochek_01_009_03_3.jpg;serebro_saharnica_i_sovochek_01_009_03_4.jpg;serebro_saharnica_i_sovochek_01_009_03_5.jpg;serebro_saharnica_i_sovochek_01_009_03_6.jpg;;;;;;;;;
;321;01/035/02;20.09.2010 15:00;30.09.2010 15:00;;;Солонка;;Серебро, клейма - белка, А, WB, Зап. Европа, нач. XIX в., высота 6.5 см;0;0;serebro_solonka_01_035_02_1.jpg;serebro_solonka_01_035_02_2.jpg;serebro_solonka_01_035_02_3.jpg;;;;;;;;;;;;
;341;01/134/06;20.09.2010 15:00;30.09.2010 15:05;;;Солонка «Чугунок»;;Серебро 84 пр, гравировка. Клейма: клеймо мастера И.С ( Сазиков Игнатий Павлович, Москва), герб города Москвы, XIX в., вес 18гр.;1200;1200;serebro_solonka_Chygynok_01_134_06_1.jpg;serebro_solonka_Chygynok_01_134_06_2.jpg;serebro_solonka_Chygynok_01_134_06_3.jpg;serebro_solonka_Chygynok_01_134_06_4.jpg;serebro_solonka_Chygynok_01_134_06_5.jpg;;;;;;;;;;
;328;01/117/02;20.09.2010 15:00;30.09.2010 15:00;;;Столовая принадлежность «Раковина» на трех ножках в виде кораллов;;Серебро, фирма TIFFANY&Co, литье, чеканка, декор в виде маскароны женской головы, виноградной лозы и еловой ветви,1-я пол. ХХ века. Клейма: TIFFANY&Co  2442 MAKERS 5482  STERLING-SILVER  925-1000 M. Размер чаши 19.5х16.5, высота 6.5 см, вес 300 гр.;0;0;serebro_stolovaya_01_117_02_1.jpg;serebro_stolovaya_01_117_02_2.jpg;serebro_stolovaya_01_117_02_3.jpg;serebro_stolovaya_01_117_02_4.jpg;serebro_stolovaya_01_117_02_5.jpg;serebro_stolovaya_01_117_02_6.jpg;serebro_stolovaya_01_117_02_7.jpg;;;;;;;;
;333;01/118/06;20.09.2010 15:00;30.09.2010 15:00;;;Туалетный набор в родной коробке фирмы А.Любавина. Стиль - модерн. 16 предметов;;Стекло, гранение «Русский камень», серебро 875°, Западная Европа, начало ХХ века. Клейма: ввозное клеймо 84, усеченно-овальной формы женская голова в кокошнике влево, неразборчивое клеймо в ромбе (клеймо производителя), современное лазерное клеймо 875 (Петербургская пробирная инспекция). Деревянная коробка с печатью на муаре: «А.Любавин Санкт-Петербург Придворный фабрикант», размер коробки (ШВГ) 49.7х15.5х46.7 см;0;0;serebro_tyaletnii_nabor_01_118_06_1.jpg;serebro_tyaletnii_nabor_01_118_06_2.jpg;serebro_tyaletnii_nabor_01_118_06_3.jpg;serebro_tyaletnii_nabor_01_118_06_4.jpg;serebro_tyaletnii_nabor_01_118_06_5.jpg;serebro_tyaletnii_nabor_01_118_06_6.jpg;serebro_tyaletnii_nabor_01_118_06_7.jpg;serebro_tyaletnii_nabor_01_118_06_8.jpg;;;;;;;
;324;01/029/02;20.09.2010 15:00;30.09.2010 15:00;;;Чайница;;Хрусталь, гранение, серебро 84, клейма - женская голова в кокошнике вправо с точкой под подбородком, именник мастера А.К (Карпов А.К), С-Петербург, 1908-1917 гг., высота 14.5 см;0;0;serebro_chainica_01_029_02_1.jpg;serebro_chainica_01_029_02_2.jpg;serebro_chainica_01_029_02_3.jpg;serebro_chainica_01_029_02_4.jpg;serebro_chainica_01_029_02_5.jpg;serebro_chainica_01_029_02_6.jpg;serebro_chainica_01_029_02_7.jpg;;;;;;;;
;325;01/063/02;20.09.2010 15:00;30.09.2010 15:00;;;Шкатулка «Цветы» в стиле модерн;;Стекло, резьба, серебро 800 пробы, штамповка, золочение, Германия, н. XX в., клейма: луна, корона, 800, F/M, 10х7х5 см;0;0;serebro_shkatylka_cveti_01_063_02_1.jpg;serebro_shkatylka_cveti_01_063_02_2.jpg;serebro_shkatylka_cveti_01_063_02_3.jpg;serebro_shkatylka_cveti_01_063_02_4.jpg;serebro_shkatylka_cveti_01_063_02_5.jpg;serebro_shkatylka_cveti_01_063_02_6.jpg;serebro_shkatylka_cveti_01_063_02_7.jpg;serebro_shkatylka_cveti_01_063_02_8.jpg;;;;;;;
