auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000853;03/333/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Бюст мальчика;;Бронза, патинирование, Западная Европа, XIX в., без подписи, высота 18,5 см;5000;5000;03_333_04_01.jpg;03_333_04_02.jpg;03_333_04_03.jpg;03_333_04_04.jpg;03_333_04_05.jpg;;;;;;;;;;
;1000859;03/371/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Колокольчик;;Бронза, патинирование, к. XIX в., высота 11,5 см (ручка, возможно, заменена);4400;4400;03_371_03_01.jpg;03_371_03_02.jpg;03_371_03_03.jpg;03_371_03_04.jpg;03_371_03_05.jpg;;;;;;;;;;
;1000854;03/333/08;21.03.2011 15:00;31.03.2011 15:20;21.03.2011 15:00;31.03.2011 15:00;Лоток для письменных принадлежностей «Розы»;;Бронза, литье, рельефное изображение ветвей роз, 27х10 см (в оригинальной коробке - ледерин, бархат);12000;12000;2899571.jpg;5286075.jpg;4979010.jpg;2737105.jpg;;;;;;;;;;;
;1000846;03/241/09;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Нож для разрезания бумаги;;Бронза, литье, чеканка, золочение, к. XIX в., длина 28 см;0;0;03_241_09_01.jpg;03_241_09_02.jpg;;;;;;;;;;;;;
;1000845;03/240/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Основа под лампу «Девушка с кувшином»;;Бронза, литье, чеканка, канфарение, золочение, патинирование, Западная Европа, н. ХХ в., высота 53 см;0;0;03_240_02_01.jpg;03_240_02_02.jpg;03_240_02_03.jpg;03_240_02_04.jpg;03_240_02_05.jpg;;;;;;;;;;
;1000850;03/272/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Подсвечник «Медведица с медвежатами»;;Бронза, серебрение, малахит, в русском стиле, ХХ в., высота 26 см, основание 12х11,8 см;0;0;03_272_03_01.jpg;03_272_03_02.jpg;03_272_03_03.jpg;03_272_03_04.jpg;03_272_03_05.jpg;;;;;;;;;;
;1000842;03/237/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Подставка для бумаг в стиле модерн «Сова»;;Чугун, литье, покрытие под патину и золочение, Западная Европа, н. ХХ в., в литье неидентифицированная монограмма и N 6643, размер 17х7х13 см;8000;8000;03_237_02_01.jpg;03_237_02_02.jpg;03_237_02_03.jpg;03_237_02_04.jpg;03_237_02_05.jpg;03_237_02_06.jpg;03_237_02_07.jpg;;;;;;;;
;1000858;03/355/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Рамка для двух фотографий;;Бронза золочение, ткань, к. XIX-н. ХХ вв., размер 15,5х20 см;4000;4000;03_355_04_01.jpg;03_355_04_02.jpg;03_355_04_03.jpg;03_355_04_04.jpg;;;;;;;;;;;
;1000852;03/291/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Рамка для фотографии;;Бронза, литье, муар, стекло, н. ХХ в., размер 23,5х16,7 см;3200;3200;03_291_01_01.jpg;03_291_01_02.jpg;;;;;;;;;;;;;
;1000843;03/238/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Рамка для фотографий в стиле модерн;;Бронза, литье, золочение, н. ХХ в., размер 15х10,5 см;6000;6000;03_238_03_01.jpg;03_238_03_02.jpg;03_238_03_03.jpg;03_238_03_04.jpg;;;;;;;;;;;
;1000844;03/238/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Рамка для фотографий в стиле модерн;;Латунь, серебрение, н. ХХ в., размер 19,5х10,5 см;4000;4000;03_238_04_01.jpg;03_238_04_02.jpg;03_238_04_03.jpg;03_238_04_04.jpg;;;;;;;;;;;
;1000855;03/344/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Скульптура «Женщина в кресле»;;Бронза, Западная Европа, к. XIX - н. ХХ в., без подписи, размер 22,5х12,5х21,5 см;0;0;03_344_08_01.jpg;03_344_08_02.jpg;03_344_08_03.jpg;03_344_08_04.jpg;03_344_08_05.jpg;;;;;;;;;;
;1000833;03/190/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Скульптура «Русская девушка с овечкой»;;Бронза, патинирование, 2-я пол. XIX в., высота 22 см, основание 20х18,5 см;26000;26000;03_190_04_01.jpg;03_190_04_02.jpg;03_190_04_03.jpg;03_190_04_04.jpg;03_190_04_05.jpg;03_190_04_06.jpg;03_190_04_07.jpg;;;;;;;;
;1000857;03/355/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Фигурка «Пляшущий мужик»;;Бронза, Россия, 2-я пол. XIX в., высота 8 см (основание отсутствует);13000;13000;03_355_03_01.jpg;03_355_03_02.jpg;03_355_03_03.jpg;03_355_03_04.jpg;03_355_03_05.jpg;;;;;;;;;;
;1000847;03/249/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Фигурка «Такса»;;Бронза, литье, чеканка, высота 6 см, основание 10х6 см;10000;10000;03_249_03_01.jpg;03_249_03_02.jpg;03_249_03_03.jpg;03_249_03_04.jpg;03_249_03_05.jpg;;;;;;;;;;
;1000838;03/221/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Чернильница «Грецкие орехи»;;Бронза, патинирование, подпись в литье «A. Marionnet», Западная Европа, к. XIX в., размер 10х39х27 см;0;0;03_221_04_01.jpg;03_221_04_02.jpg;03_221_04_03.jpg;03_221_04_04.jpg;03_221_04_05.jpg;03_221_04_06.jpg;03_221_04_07.jpg;03_221_04_08.jpg;;;;;;;
;1000851;03/287/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Чернильница с фигурой глухаря;;Бронза патинированная и раскрашенная, Западная Европа, н. ХХ в., размер 31х15х13,8 см;0;0;6719261.jpg;4841421.jpg;2446975.jpg;5911884.jpg;2273951.jpg;2172792.jpg;;;;;;;;;
