auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;293;01/004/28;20.09.2010 15:00;30.09.2010 15:00;;;Часы женские на браслете «Заря»;;Часы -  золото 583 пробы, браслет – золото 583 пробы, Советский период ХХ века, 1.8х2.3 см;0;0;chasi_zarya_01_004_28_1.jpg;chasi_zarya_01_004_28_2.jpg;chasi_zarya_01_004_28_3.jpg;chasi_zarya_01_004_28_4.jpg;;;;;;;;;;;
;294;01/004/29;20.09.2010 15:00;30.09.2010 15:00;;;"Часы женские, на браслете «Clemence Fr &amp; C»";;Золото 56 пробы (клеймо усеченно-овальное для клеймения заграничных изделий на таможне). Часы -  золото 585 пробы, на внутренней стороне крышки - пробирные клейма Германии (корона) и Швейцарии (белка), Европа, н. ХХ в., диаметр 2.5 см;0;0;chasi_genskie_Clemence_01_004_29_1.jpg;chasi_genskie_Clemence_01_004_29_2.jpg;chasi_genskie_Clemence_01_004_29_3.jpg;chasi_genskie_Clemence_01_004_29_4.jpg;;;;;;;;;;;
;291;01/004/26;20.09.2010 15:00;30.09.2010 15:00;;;Часы карманные (луковица);;Женские, золото 585 пробы, на задней крышке - чеканный декор в виде цветов, земляники и птицы, на внутренней стороне крышки - пробирные клейма Германии (корона) и Швейцарии (белка), механизм в рабочем состоянии, Европа, н. ХХ в., диаметр 2.8 см;0;0;chasi_karmannie_01_004_26_1.jpg;chasi_karmannie_01_004_26_2.jpg;chasi_karmannie_01_004_26_3.jpg;chasi_karmannie_01_004_26_4.jpg;chasi_karmannie_01_004_26_5.jpg;;;;;;;;;;
;292;01/004/27;20.09.2010 15:00;30.09.2010 15:00;;;Часы карманные (луковица);;Женские, серебро, пробирное клеймо Швейцарии, надп.: В. ГАБЮ (на внутренней стороне крышки ), на задней стороне крышки - чеканный декор в виде вазы с цветами, механизм в рабочем состоянии, Европа н. ХХ в., диаметр 3.5 см;0;0;chasi_karmannie_01_004_27_1.jpg;chasi_karmannie_01_004_27_2.jpg;chasi_karmannie_01_004_27_3.jpg;chasi_karmannie_01_004_27_4.jpg;;;;;;;;;;;
;295;01/004/30;20.09.2010 15:00;30.09.2010 15:00;;;Часы карманные мужские «Лонжин»;;На внутренней стороне крышки - золото 56 пробы, 14 карат, пробирное клеймо Швейцарии (белка) и надпись «Longines 5 Grands Prix Paris-Anverrs-Paris  Milan bruxelles», Европа, н. ХХ века, диаметр 4.5 см (выпадает стекло);0;0;chasi_mygskie_Longin_01_004_30_1.jpg;chasi_mygskie_Longin_01_004_30_2.jpg;chasi_mygskie_Longin_01_004_30_3.jpg;chasi_mygskie_Longin_01_004_30_4.jpg;chasi_mygskie_Longin_01_004_30_5.jpg;;;;;;;;;;
;285;01/043/02;20.09.2010 15:00;30.09.2010 15:00;;;Часы настольные «Бюст девушки»;;"Бронза, мрамор, Зап. Европа, к. ХIХв., высота 38 см; основание 30.5х21 см (сколы на мраморе)";0;0;chasi_bust_devyshki_01_043_02_1.jpg;chasi_bust_devyshki_01_043_02_2.jpg;chasi_bust_devyshki_01_043_02_3.jpg;chasi_bust_devyshki_01_043_02_4.jpg;chasi_bust_devyshki_01_043_02_5.jpg;chasi_bust_devyshki_01_043_02_6.jpg;chasi_bust_devyshki_01_043_02_7.jpg;;;;;;;;
;289;01/119/02;20.09.2010 15:00;30.09.2010 15:00;;;Часы с барометром настольные «Мельница»;;Бронза, патина, золочение, камень, Европа, 1-я пол. ХХ в., высота 43 см;0;0;chasi_s_barometrom_01_119_02_1.jpg;chasi_s_barometrom_01_119_02_2.jpg;chasi_s_barometrom_01_119_02_3.jpg;chasi_s_barometrom_01_119_02_4.jpg;chasi_s_barometrom_01_119_02_5.jpg;chasi_s_barometrom_01_119_02_6.jpg;chasi_s_barometrom_01_119_02_7.jpg;;;;;;;;
;286;01/083/02;20.09.2010 15:00;30.09.2010 15:00;;;Часы с фигурой военного;;Бронза, литье, чеканка, золочение, Франция, 2-я пол. XIX в., высота 40 см, длина 31.5 см;0;0;chasi_voennii_01_083_02_1.jpg;chasi_voennii_01_083_02_2.jpg;chasi_voennii_01_083_02_3.jpg;chasi_voennii_01_083_02_4.jpg;chasi_voennii_01_083_02_5.jpg;chasi_voennii_01_083_02_6.jpg;chasi_voennii_01_083_02_7.jpg;;;;;;;;
;287;01/084/01;20.09.2010 15:00;30.09.2010 15:00;;;Часы с фигурой орла и чернильницей;;Бронза, литье, чеканка, золочение, серебрение, Франция, 2-я пол. XIX в., высота 31 см, длина 31 см;0;0;chasi_pis.pribor_01_084_01_1.jpg;chasi_pis.pribor_01_084_01_2.jpg;chasi_pis.pribor_01_084_01_3.jpg;chasi_pis.pribor_01_084_01_4.jpg;chasi_pis.pribor_01_084_01_5.jpg;chasi_pis.pribor_01_084_01_6.jpg;chasi_pis.pribor_01_084_01_7.jpg;;;;;;;;
;288;01/085/01;20.09.2010 15:00;30.09.2010 15:00;;;Часы с фигурой читающего мальчика;;Бронза, литье, чеканка, золочение, ст. Ампир, Франция н. XIX в., высота 28 см, длина 19 см;0;0;chasi_maljchik_01_085_01_1.jpg;chasi_maljchik_01_085_01_2.jpg;chasi_maljchik_01_085_01_3.jpg;chasi_maljchik_01_085_01_4.jpg;chasi_maljchik_01_085_01_5.jpg;;;;;;;;;;
