auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000883;03/245/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Бюст «Девушка»;;Мрамор, резьба, основание алебастр, Западная Европа, к. XIX в., высота 52 см (небольшие сколы на основании);0;0;03_245_01_01.jpg;03_245_01_02.jpg;03_245_01_03.jpg;03_245_01_04.jpg;03_245_01_05.jpg;03_245_01_06.jpg;;;;;;;;;
;1000882;03/237/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Лампа настольная в стиле модерн с фигурой девушки;;Шпиатр, латунь, раскраска, плафон - стекло, травление, Западная Европа, н. ХХ в., высота 60 см;0;0;03_237_04_01.jpg;03_237_04_02.jpg;03_237_04_03.jpg;03_237_04_04.jpg;03_237_04_05.jpg;03_237_04_06.jpg;;;;;;;;;
;1000877;03/024/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Парные канделябры на 6 свечей;;Бронза, литье, чеканка, золочение, Западная Европа, 2-я пол. ХIХ в., высота 70 см;0;0;03_024_08_01.jpg;03_024_08_02.jpg;03_024_08_03.jpg;;;;;;;;;;;;
;1000888;03/344/11;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Парные подсвечники;;Бронза, 1-я пол. XIXв., высота 25,5 см (реставрация покрытия);0;0;03_344_11_01.jpg;03_344_11_02.jpg;03_344_11_03.jpg;03_344_11_04.jpg;;;;;;;;;;;
;1000881;03/237/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Подсвечник переносной - бульотка;;Бронза, литье, золочение, латунный абажур с зеленым и белым красочным покрытием, к. XIX в., высота 36,5 см, диаметр абажура 17,5 см;0;0;03_237_01_01.jpg;03_237_01_02.jpg;03_237_01_03.jpg;03_237_01_04.jpg;03_237_01_05.jpg;03_237_01_06.jpg;;;;;;;;;
;303;01/106/06;20.09.2010 15:00;30.09.2010 15:00;;;Зеркало настенное с двумя подсвечниками в стиле рококо;;Бронза, литье, чеканка, золочение, монтировка, Западная Европа, штамп на задней стороне: «DEPONIRT» (знак качества), 54х38.2 см (золочение обновлено);0;0;interjer_zerkalo_01_106_06_1.jpg;interjer_zerkalo_01_106_06_2.jpg;interjer_zerkalo_01_106_06_3.jpg;;;;;;;;;;;;
;306;01/119/03;20.09.2010 15:00;30.09.2010 15:00;;;Канделябры парные;;Бронза, литье, чеканка, золочение, к. XIX в., высота 66 см;0;0;interjer_kandelyabri_01_119_03_1.jpg;interjer_kandelyabri_01_119_03_2.jpg;interjer_kandelyabri_01_119_03_3.jpg;interjer_kandelyabri_01_119_03_4.jpg;;;;;;;;;;;
;298;01/002/16;20.09.2010 15:00;30.09.2010 15:00;;;Лампа «Нимфа с цветами»;;Шпиатр, литье, чеканка, золочение, патина, основание – мрамор, Европа, 1-я пол. ХХ в., высота 59 см;4000;4000;interjer_nimfa_s_cvetami_01_002_16_1.jpg;interjer_nimfa_s_cvetami_01_002_16_2.jpg;interjer_nimfa_s_cvetami_01_002_16_3.jpg;interjer_nimfa_s_cvetami_01_002_16_4.jpg;interjer_nimfa_s_cvetami_01_002_16_5.jpg;;;;;;;;;;
;296;01/032/02;20.09.2010 15:00;30.09.2010 15:00;;;Лампа настольная «Цветы, птицы и бабочки»;;Фарфор, полихромная роспись, Россия ИФЗ (?). Оправа - бронза, золочение. 2-я половина Х1Х века, высота 69 см (незаметная глазу трещинка у основания горлышка);0;0;interjer_lampa_cveti_ptici_babochki_01_032_02_1.jpg;interjer_lampa_cveti_ptici_babochki_01_032_02_2.jpg;interjer_lampa_cveti_ptici_babochki_01_032_02_3.jpg;interjer_lampa_cveti_ptici_babochki_01_032_02_4.jpg;interjer_lampa_cveti_ptici_babochki_01_032_02_5.jpg;interjer_lampa_cveti_ptici_babochki_01_032_02_6.jpg;;;;;;;;;
;314;01/003/05;20.09.2010 15:00;30.09.2010 15:00;;;Люстра с регулировкой высоты;;Три плафона, колпак матового стекла, латунь, н. ХХ в., высота 90см (150см);16000;16000;interjer_lustra_01_003_05_1.jpg;interjer_lustra_01_003_05_2.jpg;interjer_lustra_01_003_05_3.jpg;;;;;;;;;;;;
