auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000707;03/295/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Бабасюк Николай Николаевич (1939-2006) «Берег Ладоги»;;Холст, масло, 2004 г., 80х100 см. Бабасюк Н.Н. - член Союза художников с 1970 г. Заслуженный художник РСФСР. Многократный участник международных, всесоюзных, республиканских выставок. Закончил Академию художеств, где занимался в 1960-1966 гг. в мастерской профессора Зайцева А.Д.;12000;12000;03_295_03_01.jpg;03_295_03_02.jpg;03_295_03_03.jpg;03_295_03_04.jpg;;;;;;;;;;;
;1000710;03/371/09;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Выборный В. «Натюрморт с рыбой»;;Картон, масло, подпись и дата «Выборный 1978», на обороте надпись «В. Выборный «Натюрморт с рыбой» III 1978 г.», 53х56 см;0;0;03_371_09_01.jpg;03_371_09_02.jpg;03_371_09_03.jpg;03_371_09_04.jpg;;;;;;;;;;;
;1000711;03/373/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Грачев Михаил Георгиевич (р. 1936) «Беседа с Сатиром»;;Холст, масло, 2009 год, 105х75 см. М.Г. Грачев родился в Ленинграде. Окончил Художественное училище им. В. Мухиной. Учился в Таврической художественной школе. Работы выставлялись в Союзе художников, в галерее Летнего сада, в Союзе дизайнеров, в галерее Васильевского острова, в городе Котка (Финляндия). Работы находятся в частных коллекциях Голландии, Дании, Германии, Италии, Англии.;0;0;2551025.jpg;6186288.jpg;9637369.jpg;;;;;;;;;;;;
;1000713;03/373/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Грачев Михаил Георгиевич (р. 1936) «На Ладоге»;;Холст, масло, 1973г., 35х50 см;0;0;03_373_03_01.jpg;03_373_03_02.jpg;03_373_03_03.jpg;;;;;;;;;;;;
;1000714;03/373/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Грачев Михаил Георгиевич (р. 1936) «Ночь в Коктебеле»;;Холст, масло, ХХ в., 50х73 см;0;0;03_373_04_01.jpg;03_373_04_02.jpg;03_373_04_03.jpg;;;;;;;;;;;;
;1000712;03/373/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Грачев Михаил Георгиевич (р. 1936) «Рыба»;;Холст, масло, ХХ в., 33Х41 см;0;0;03_373_02_01.jpg;03_373_02_02.jpg;03_373_02_03.jpg;;;;;;;;;;;;
;1000701;03/223/25;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Конь»;;Холст на картоне, масло, без подписи, СССР, 1930-е гг., размер 67х90 см (в раме);0;0;03_223_25_01.jpg;03_223_25_02.jpg;;;;;;;;;;;;;
;1000706;03/295/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Мещеряков Александр Васильевич (1908-1970-е) «Возвращение из школы»;;Холст, масло, подпись «А. Мещеряков», 1950 г., 54х74 см;15000;15000;8215424.jpg;1403239.jpg;8919217.jpg;9448877.jpg;;;;;;;;;;;
;1000709;03/347/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Семенюк Юрий Иванович (1922-2006) «Вологодские мельницы»;;Картон, масло, подпись и дата: «Ю Семенюк 66 г», размер 48х59 см (в раме)  Ю.И. Семенюк - Народный Художник РСФСР. В 1941 г. окончил Ярославское Художественное Училище, где преподавателями молодого художника стали Ю.М. Дружинина и П.С. Опарин. Долгое время возглавлял Ярославскую организацию Союза Художников СССР. В 1985 г. персональные выставки художника прошли в Москве и Ленинграде. Работы Юрия Семенюка в большом количестве хранятся в Ярославском Художественном Музее и других музеях бывшего СССР.;25000;25000;1660628.jpg;2425893.jpg;4581521.jpg;1578342.jpg;3560162.jpg;;;;;;;;;;
;1000702;03/223/34;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Суворова Наталья Васильевна (р. 1941) «Самовар»;;Картон, масло, 1960-1970-е гг., подпись «Н. Суворова», размер 40х50 см (в раме);0;0;03_223_34_01.jpg;03_223_34_02.jpg;03_223_34_03.jpg;03_223_34_04.jpg;;;;;;;;;;;
;90;01/140/02;20.09.2010 15:00;30.09.2010 15:00;;;«Натюрморт с флоксами»;;Холст, масло, подпись «К. Плуштаренко 1958», 100х75 см;0;0;sovet_naturmort_01_140_02_6.jpg;sovet_naturmort_01_140_02_5.jpg;sovet_naturmort_01_140_02_4.jpg;sovet_naturmort_01_140_02_3.jpg;sovet_naturmort_01_140_02_2.jpg;sovet_naturmort_01_140_02_1.jpg;;;;;;;;;
;74;01/038/06;20.09.2010 15:00;30.09.2010 15:00;;;Гельберг С.А. «Букет с ромашками»;;Холст, масло на картоне, 1956 г., 34.5х25 см;0;0;sovet_byket_s_romashkami_01_038_06_3.jpg;sovet_byket_s_romashkami_01_038_06_2.jpg;sovet_byket_s_romashkami_01_038_06_1.jpg;;;;;;;;;;;;
;75;01/038/07;20.09.2010 15:00;30.09.2010 15:00;;;Гельберг С.А. «Натюрморт с цветами»;;Холст, масло на картоне, 1956 г., 41.5х31.5 см;0;0;sovet_naturmort_s_cvetsmi_01_038_07_3.jpg;sovet_naturmort_s_cvetsmi_01_038_07_2.jpg;sovet_naturmort_s_cvetsmi_01_038_07_1.jpg;;;;;;;;;;;;
;95;01/133/05;20.09.2010 15:00;30.09.2010 15:00;;;Грецкие И.Л., Ю.С.«Морской промысел»;;Бумага, акварель, 1980 г., 43х64 см;0;0;sovet_morskoi_provisel_01_133_05_1.jpg;sovet_morskoi_provisel_01_133_05_2.jpg;sovet_morskoi_provisel_01_133_05_3.jpg;sovet_morskoi_provisel_01_133_05_4.jpg;;;;;;;;;;;
;94;01/133/04;20.09.2010 15:00;30.09.2010 15:00;;;Грецкие И.Л., Ю.С.«Промысел рыбы»;;Бумага, акварель, 1980 г.,  45х64 см;0;0;sovet_promisel_ribi_01_133_04_1.jpg;sovet_promisel_ribi_01_133_04_2.jpg;sovet_promisel_ribi_01_133_04_3.jpg;sovet_promisel_ribi_01_133_04_4.jpg;;;;;;;;;;;
