auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;1000677;03/227/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Holub Georg (1861-1919) «Сельский пейзаж с рекой»;;Холст, масло, подпись «G. Holub», Австрия, к. XIX в., 48х69 см (реставрирована, в раме);0;0;7096397.jpg;6655697.jpg;9235864.jpg;;;;;;;;;;;;
;1000681;03/297/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина  «Горный пейзаж с дубами»;;Масло, холст, подпись в правом нижнем углу «G Hempe 67», Западная Европа, 2-я пол. XIX в., 43,8х57,8 см (холст дублирован);0;0;03_297_03_08.jpg;03_297_03_07.jpg;03_297_03_06.jpg;03_297_03_05.jpg;03_297_03_04.jpg;03_297_03_03.jpg;03_297_03_02.jpg;03_297_03_01.jpg;;;;;;;
;1000668;03/204/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Березы»;;Холст, масло, подпись внизу справа неразборчиво, Западная Европа, к. XIX - н. XX вв., размер 120х150 см (реставрация, в раме);45000;45000;03_204_04_03.jpg;03_204_04_04.jpg;03_204_04_02.jpg;03_204_04_01.jpg;;;;;;;;;;;
;1000679;03/288/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Вакханка»;;Картон, масло, без подписи, н. XX в., размер 65х55 см;0;0;03_288_02_02.jpg;03_288_02_01.jpg;;;;;;;;;;;;;
;1000687;03/374/05;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Гусары»;;Холст, масло, подпись «Froment(?)», к. XIX в., на оборотной стороне холста полусмытая печать, 81х65 см;0;0;03_374_05_04.jpg;03_374_05_03.jpg;03_374_05_02.jpg;03_374_05_01.jpg;;;;;;;;;;;
;1000690;03/374/08;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Итальянский пейзаж»;;Холст, масло, без подписи, XIX в., 60х73 см (холст дублирован);0;0;03_374_08_02.jpg;03_374_08_01.jpg;;;;;;;;;;;;;
;1000675;03/223/35;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Обнаженная с собакой»;;Холст, масло, без подписи, Западная Европа, н. ХХ в., размер 60х70 см (реставрация, кромки дублированы, современная рама);12000;12000;03_223_35_02.jpg;03_223_35_01.jpg;;;;;;;;;;;;;
;1000682;03/352/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Олени на лесной дороге»;;Холст, масло, Западная Европа, к. XIX - н. ХХ в., подпись неразборчиво, 32х56,5 см (в раме своего времени);11000;11000;3440756.jpg;1121589.jpg;9723880.jpg;;;;;;;;;;;;
;1000692;03/374/10;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Пейзаж с коровами»;;Холст, масло, подпись «Corot» (поздняя), к. XIX - н. ХХ в., 44,5х62 см (холст дублирован);0;0;03_374_10_02.jpg;03_374_10_03.jpg;03_374_10_01.jpg;;;;;;;;;;;;
;1000684;03/352/03;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Песчаный обрыв у озера»;;Картон, масло, к. XIX в., без подписи, 22х31,5 см (в раме своего времени);0;0;03_352_03_02.jpg;03_352_03_01.jpg;;;;;;;;;;;;;
;1000689;03/374/07;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Портрет девушки»;;Холст, масло, без подписи, XIX в., 45х36 см;0;0;03_374_07_02.jpg;03_374_07_01.jpg;;;;;;;;;;;;;
;1000678;03/227/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Рыбак и девушка»;;Холст, масло, подпись «L. Gartner», Западная Европа, к. XIX в., размер 82х50 см (осыпи, потертости);24000;24000;03_227_02_03.jpg;03_227_02_02.jpg;03_227_02_01.jpg;;;;;;;;;;;;
;1000683;03/352/02;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Рыбачьи лодки у берега»;;Холст, масло, к. XVIII - н. XIX в., без подписи, на обороте наклейка с печатным текстом: «Тоmas Luny 1759-1837... », 19х29 см (заплатка и небольшой прорыв на холсте, в современной раме);0;0;03_352_02_04.jpg;03_352_02_03.jpg;03_352_02_02.jpg;03_352_02_01.jpg;;;;;;;;;;;
;1000667;03/046/01;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Картина «Штормовое море, рыбаки»;;Холст, масло, подпись «Collianos», н. ХХ в., 89,5х134 см;0;0;1726344.jpg;5128870.jpg;3141830.jpg;;;;;;;;;;;;
;1000688;03/374/06;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Парные картины «Высадка с корабля. Стоянка», «Всадник на берегу»;;Паркетированная доска, подпись «J. Krause 1894», 35х50 см;0;0;5177129.jpg;7731065.jpg;6039186.jpg;2993539.jpg;4369585.jpg;7400075.jpg;;;;;;;;;
;1000686;03/374/04;21.03.2011 15:00;31.03.2011 15:00;21.03.2011 15:00;31.03.2011 15:00;Парные картины «Морской пейзаж», «Парусники на заре»;;Холст, масло, к. XIX в.(?), подпись неразборчиво, 69х100 см;0;0;6474845.jpg;5461770.jpg;4526353.jpg;3475976.jpg;1136609.jpg;5245860.jpg;;;;;;;;;
;46;01/057/17;20.09.2010 15:00;30.09.2010 15:00;;;" Constantin Font &quot;Обнаженная&quot;";;дерево, масло, подпись Constantin Font, 2-я пол. ХХ в., 61х120 см;0;0;zapadnoevro_Obnagennaya_01_057_17_3.jpg;zapadnoevro_Obnagennaya_01_057_17_2.jpg;zapadnoevro_Obnagennaya_01_057_17_1.jpg;;;;;;;;;;;;
;55;01/100/01;20.09.2010 15:00;30.09.2010 15:00;;;Cesar Vilot «Обнаженная»;;Холст, масло, подпись Cesar Vilot, 2-я пол. ХХ в., 60х50 см;0;0;zapadnoevro_Obnagennaya_01_100_01_3.jpg;zapadnoevro_Obnagennaya_01_100_01_2.jpg;zapadnoevro_Obnagennaya_01_100_01_1.jpg;;;;;;;;;;;;
;59;01/062/05;20.09.2010 15:00;30.09.2010 15:00;;;Colianos «Морской пейзаж с рыбачьими лодками»;;Картон, масло, к. XIX в., 53х26 см;10000;10000;9233030.jpg;7360665.jpg;5172559.jpg;;;;;;;;;;;;
;37;01/046/01;20.09.2010 15:00;30.09.2010 15:00;;;Collianos «Штормовое море, рыбаки»;;Холст, масло, подп. Collianos, н. ХХ в., 89.5х134 см;60000;60000;5491162.jpg;9313507.jpg;6706403.jpg;;;;;;;;;;;;
;47;01/057/18;20.09.2010 15:00;30.09.2010 15:00;;;Georges Duc «Обнаженная»;;Холст, масло, подпись - Georges Duc, 2-я пол.ХХ в., 50х100 см;0;0;zapadnoevro_Obnagennaya_01_057_18_3.jpg;zapadnoevro_Obnagennaya_01_057_18_2.jpg;zapadnoevro_Obnagennaya_01_057_18_1.jpg;;;;;;;;;;;;
;48;01/078/01;20.09.2010 15:00;30.09.2010 15:00;;;J. Tornoczy «Маки»;;Холст , масло , Западная Европа, нач. ХХ в , на раме шильдик «J.Tornoczy», 32х53 см;0;0;zapadnoevro_Maki_01_078_01_4.jpg;zapadnoevro_Maki_01_078_01_2.jpg;zapadnoevro_Maki_01_078_01_3.jpg;zapadnoevro_Maki_01_078_01_1.jpg;;;;;;;;;;;
;45;01/057/15;20.09.2010 15:00;30.09.2010 15:00;;;Ludvig Chr. Mogelgaard (1873 -1828) «Рыбацкий бот»;;Холст, масло, подп. Ludv М., 1920 , 33х 44.5 см;0;0;zapadnoevro_Ludv.M._01_057_15_3.jpg;zapadnoevro_Ludv.M._01_057_15_2.jpg;zapadnoevro_Ludv.M._01_057_15_1.jpg;;;;;;;;;;;;
;54;01/140/01;20.09.2010 15:00;30.09.2010 15:00;;;Oscar Leu «В окрестностях Мюнхена»;;Холст, масло, подпись Oscar Leu, 1-я пол. ХХ в., 61х81 см;0;0;zapadnoevro_Vilot_01_140_01_5.jpg;zapadnoevro_Vilot_01_140_01_3.jpg;zapadnoevro_Vilot_01_140_01_4.jpg;zapadnoevro_Vilot_01_140_01_2.jpg;zapadnoevro_Vilot_01_140_01_1.jpg;;;;;;;;;;
;39;01/046/04;20.09.2010 15:00;30.09.2010 15:00;;;«Альпийский пейзаж»;;Холст, масло, подпись неразборчиво, к. XIX - н. ХХ вв., 90х134 см;50000;50000;zapadnoevro_Alp_Peizag_01_046_04_3.jpg;zapadnoevro_Alp_Peizag_01_046_04_2.jpg;zapadnoevro_Alp_Peizag_01_046_04_1.jpg;;;;;;;;;;;;
;58;01/062/04;20.09.2010 15:00;30.09.2010 15:00;;;«Грёзы монаха»;;Холст, масло, Западная Европа, к. XIX в., 31,5х44,5 см (кромки холста дублированы, реставрация);2000;2000;zapadnoevro_greszi_monaha_01_062_04_2.jpg;zapadnoevro_greszi_monaha_01_062_04_1.jpg;;;;;;;;;;;;;
;60;01/062/06;20.09.2010 15:00;30.09.2010 15:00;;;«Девочка с вишнями»;;Холст, масло, Западная Европа, к. XIX в., 33х28 см (холст дублирован, реставрация);6000;6000;zapadnoevro_devochka_s_vishnyami_01_062_06_1.jpg;zapadnoevro_devochka_s_vishnyami_01_062_06_2.jpg;;;;;;;;;;;;;
;57;01/062/03;20.09.2010 15:00;30.09.2010 15:00;;;«Девочка у куста сирени»;;Неизвестный художник, холст, масло, к. XIX - н. ХХ в., 73х49 см (кромки холста дублированы, реставрация);6000;6000;zapadnoevro_devochka_y_sireni_01_062_03_2.jpg;zapadnoevro_devochka_y_sireni_01_062_03_1.jpg;;;;;;;;;;;;;
;40;01/046/05;20.09.2010 15:00;30.09.2010 15:00;;;«Девушки в поле»;;Холст, масло, подпись неразборчиво, 99х134 см, (холст дублирован);40000;40000;zapadnoevro_devyshki_v_pole_01_046_05_3.jpg;zapadnoevro_devyshki_v_pole_01_046_05_2.jpg;zapadnoevro_devyshki_v_pole_01_046_05_1.jpg;;;;;;;;;;;;
;61;01/062/07;20.09.2010 15:00;30.09.2010 15:00;;;«Дети с гусями на мосту»;;Холст, масло, подпись неразборчива, Западная Европа, ХХ век, 36.5х50 см;8000;8000;3249105.jpg;8170040.jpg;4545443.jpg;;;;;;;;;;;;
;38;01/046/02;20.09.2010 15:00;30.09.2010 15:00;;;«Зимний пейзаж, закат»;;Холст, масло, неизвестный художник, н. ХХ в., 106.5х85 см;60000;60000;zapadnoevro_zimnij_peizag_01_046_02_2.jpg;zapadnoevro_zimnij_peizag_01_046_02_1.jpg;;;;;;;;;;;;;
;32;01/025/01;20.09.2010 15:00;30.09.2010 15:00;;;«Катание на коньках»;;Холст, масло, неизвестный художник, Зап. Европа, н. ХIХ в., 68х94 см, (холст дублирован);10000;10000;zapadnoevro_katanie_na_konkah_01_025_01_2.jpg;zapadnoevro_katanie_na_konkah_01_025_01_1.jpg;;;;;;;;;;;;;
;49;01/132/01;20.09.2010 15:00;30.09.2010 15:00;;;«Кошка с котятами»;;Холст, масло, подпись «W. Sajwar 1919», 25х33 см (реставрация);0;0;zapadnoevro_koshka_01_132_01_3.jpg;zapadnoevro_koshka_01_132_01_2.jpg;zapadnoevro_koshka_01_132_01_1.jpg;;;;;;;;;;;;
