auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;357;01/024/06;21.12.2010 1:27;22.06.2011 2:27;21.03.2011 15:00;31.03.2015 15:00;01/024/06 Парные настенные блюда «Цветы и птицы»;;Клуазоне, полихромная эмаль, авантюриновое стекло, Япония, к. ХIХ в., диаметр 45.5 см;0;0;vostok_klyazone_01_024_06_1.jpg;vostok_klyazone_01_024_06_2.jpg;vostok_klyazone_01_024_06_3.jpg;vostok_klyazone_01_024_06_4.jpg;;;;;;;;;;;
5;1001777;05/503/02;08.12.2011 14:53;08.12.2020 14:51;21.03.2011 15:00;31.03.2015 15:00;Композиция «Корабль счастья» ;;Кость, резьба, склейка, раскраска, Япония. Высота: 57,8 см;0;0;8146288.jpg;5988009.jpg;1126820.jpg;8681066.jpg;;;;;;;;;;;
5;1001773;05/503/01;08.12.2011 14:30;08.12.2020 14:26;21.03.2011 15:00;31.03.2015 15:00;Корабль «Дракон»;;"Нефрит, резьба, полировка; подставка - дерево, Восток, н. ХХ в. Высота 60 см";0;0;3409959.jpg;9805261.jpg;7344909.jpg;5897926.jpg;4983822.jpg;5938898.jpg;;;;;;;;;
;356;01/141/03;21.12.2010 1:27;22.06.2011 2:27;21.03.2011 15:00;31.03.2015 15:00;Парные вазочки «Жанровые сценки»;;Фарфор, полихромная роспись, мастерские Сацума, Япония, н. ХХ в., высота 10 см (старая склейка на горлышке одной из вазочек);0;0;vostok_vazochki_01_141_03_5.jpg;vostok_vazochki_01_141_03_4.jpg;vostok_vazochki_01_141_03_3.jpg;vostok_vazochki_01_141_03_2.jpg;vostok_vazochki_01_141_03_1.jpg;;;;;;;;;;
;353;01/036/04;19.01.2011 11:52;11.07.2011 18:49;21.03.2011 15:00;31.03.2015 15:00;Парные фигурки «Ламаистские  Божества»;;Бронза, литье, золочение, раскраска, Китай, к. XIX в., высота 8 см;10000;10000;vostok_byddi_01_036_04_1.jpg;vostok_byddi_01_036_04_2.jpg;vostok_byddi_01_036_04_3.jpg;vostok_byddi_01_036_04_4.jpg;vostok_byddi_01_036_04_5.jpg;vostok_byddi_01_036_04_6.jpg;;;;;;;;;
;353;01/036/04;21.12.2010 1:27;30.09.2010 15:00;21.03.2011 15:00;31.03.2015 15:00;Парные фигурки «Ламаистские  Божества»;;Бронза, литье, золочение, раскраска, Китай, к. XIX в., высота 8 см;0;0;;;;;;;;;;;;;;;
;353;01/036/04;21.12.2010 14:34;30.09.2010 15:00;21.03.2011 15:00;31.03.2015 15:00;Парные фигурки «Ламаистские  Божества»;;Бронза, литье, золочение, раскраска, Китай, к. XIX в., высота 8 см;0;0;;;;;;;;;;;;;;;
;351;01/006/04;21.04.2011 12:01;07.12.2011 10:55;21.03.2011 15:00;31.03.2015 15:00;Пепельница с восточным орнаментом;;Бронза, литье, гравировка, н. ХХ в.;4400;4400;vostok_pepelnica_01_006_04_1.jpg;vostok_pepelnica_01_006_04_2.jpg;;;;;;;;;;;;;
;351;01/006/04;19.10.2010 23:37;20.04.2011 23:37;21.03.2011 15:00;31.03.2015 15:00;Пепельница с восточным орнаментом;;Бронза, литье, гравировка, н. ХХ в.;0;0;vostok_pepelnica_01_006_04_1.jpg;vostok_pepelnica_01_006_04_2.jpg;;;;;;;;;;;;;
;355;01/141/02;22.06.2011 11:34;01.02.2013 14:18;21.03.2011 15:00;31.03.2015 15:00;Тарелка декоративная «Цветущая ветка»;;Металл, полихромные эмали, техника Клуазоне, Восток, к. XIX в., диаметр 24 см;6000;6000;vostok_tarelka_01_141_02_1.jpg;vostok_tarelka_01_141_02_2.jpg;;;;;;;;;;;;;
;355;01/141/02;21.12.2010 1:27;22.06.2011 2:27;21.03.2011 15:00;31.03.2015 15:00;Тарелка декоративная «Цветущая ветка»;;Металл, полихромные эмали, техника Клуазоне, Восток, к. XIX в., диаметр 24 см;0;0;vostok_tarelka_01_141_02_2.jpg;vostok_tarelka_01_141_02_1.jpg;;;;;;;;;;;;;
;354;01/042/04;21.04.2011 12:20;20.12.2020 18:05;21.03.2011 15:00;31.03.2015 15:00;Фигура «Монгольский воин»;;Дерево, резьба, Монголия, к. ХIХ в., высота 29 см;0;0;vostok_mongol_bydda_01_042_04_1.jpg;vostok_mongol_bydda_01_042_04_2.jpg;vostok_mongol_bydda_01_042_04_3.jpg;vostok_mongol_bydda_01_042_04_4.jpg;vostok_mongol_bydda_01_042_04_5.jpg;;;;;;;;;;
;354;01/042/04;20.10.2010 0:31;21.04.2011 0:31;21.03.2011 15:00;31.03.2015 15:00;Фигура «Монгольский воин»;;Дерево, резьба, Монголия, к. ХIХ в., высота 29 см;0;0;vostok_mongol_bydda_01_042_04_1.jpg;vostok_mongol_bydda_01_042_04_2.jpg;vostok_mongol_bydda_01_042_04_3.jpg;vostok_mongol_bydda_01_042_04_4.jpg;vostok_mongol_bydda_01_042_04_5.jpg;;;;;;;;;;
;1000937;03/223/28;15.04.2011 17:19;14.12.2020 23:05;21.03.2011 15:00;31.03.2015 15:00;Фигурка «Рыбак»;;Кость, резьба, Япония, 1-я пол. ХХ в., высота 22,5 см (небольшой скол на шляпе, естественные трещины);0;0;03_223_28_01.jpg;03_223_28_02.jpg;03_223_28_03.jpg;03_223_28_04.jpg;03_223_28_05.jpg;;;;;;;;;;
;352;01/006/05;20.10.2010 0:29;27.12.2010 14:13;21.03.2011 15:00;31.03.2015 15:00;Элемент декора «Дракон»;;Бронза, литье, чеканка, к. XIX – н. ХХ вв., длина 20 см;1900;1900;bronza_drakon_01_006_05_1.jpg;bronza_drakon_01_006_05_2.jpg;bronza_drakon_01_006_05_3.jpg;bronza_drakon_01_006_05_4.jpg;;;;;;;;;;;
