auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price1;price2;price3;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
3;1001754;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 266. Кинжал в ножнах (Кард?) 1-я половина XIX в.;;Сталь, дерево, кость. Ковка, золочение. Длина общая - 40,5 см, длина клинка - 23,5 см, ширина устья - 2,8 см. Представленный кинжал, предположительно кард - персидский однолезвийный нож с золотой насечкой. Является исторически-культурной ценностью.;1800;2500;;3_266_1.jpg;3_266_2.jpg;;;;;;;;;;;;;
3;1001755;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 267. Русский саперный тесак обр. 1827 года. Россия. 1820-е - 1830-е гг.;;Сталь, латунь, дерево, кожа. Ковка, литьё. Длина общая - 66,2 см, длина клинка - 50 см, ширина клинка - 6 см. Русский саперный тесак был введён для нижних чинов инженерных частей русской армии в 1827 году. На обушке зубцы, которые позволяли использовать его как пилу. На пяте правой голомени и на крестовине рукояти клейма технологических процессов и личные клейма мастеров, относящиеся к Златоустовской оружейной фабрике. Среди них римская цифра II в круге, и двухлитерные клейма «ПВ» и «МЭ». Особую ценность представляет клеймо «AG, которое находится на крестовине слева. Это клеймо принадлежит известному мастеру, приглашенному из Золингена, Абраму Гра. В ходе серийного изготовления (1827-1834 гг). данные тесаки имели монолитные литые рукояти с крестовиной. То, что на представленном предмете отдельно изготовленная крестовина, позволяет предположить, что это один из ранних вариантов тесака. Является исторически-культурной ценностью. Публикация: «Интересное клеймо». Антикварное обозрение. №3. 2009 г. Стр. 78.;2300;2800;;3_267_1.jpg;3_267_2.jpg;3_267_3.jpg;3_267_4.jpg;;;;;;;;;;;
3;1001756;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 268. Шведская морская унтер-офицерская сабля. 3-я четверть XIX в. Произвольный вариант, изготовленный по индивидуальному заказу.;;Сталь, латунь, дерево. Ковка. Общая длина - 101,8 см, длина клинка - 88,3 см, ширина клинка - 3,5 см Над верхней гайкой на внутренней стороне ножен выбиты клейма: изображение якоря и буква Е под короной. По дизайну представленный предмет напоминает шведскую унтер-офицерскую саблю обр. 1867  года (Опубликована: O. P. Svenska blankvapen. Del VI. Kristianstad, 2007, стр. 116), но изготовлен по индивидуальному заказу, поэтому имеет некоторые отличия. Является исторически-культурной ценностью.;4000;5000;;3_268_1.jpg;3_268_2.jpg;3_268_3.jpg;;;;;;;;;;;;
3;1001757;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 269. Кавказский кинжал. 2-я половина XIX в.;;Сталь, кость, кожа, дерево. Ковка. Общая длина - 54,3 см, длина клинка - 39,2 см, ширина клинка - 4,5 см. Клинок кинжала стальной, обоюдоострый с боевым концом копьевидной формы, с тремя долами. Рукоять классической кавказской формы, украшена костью и декоративными накладками. Ножны обтянуты кожей двух цветов с тиснением. Кинжал - символ Кавказа, прочно связанный с его историей, культурой, искусством и фольклором. Является исторически-культурной ценностью.;1600;2000;;3_269_1.jpg;3_269_2.jpg;3_269_3.jpg;;;;;;;;;;;;
3;1001758;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 270. Казачья офицерская шашка обр. 1881 г. Россия. 1883 г.;;Сталь, латунь, дерево, кожа. Ковка. Общая длина - 102 см, длина клинка - 87 см, ширина клинка 3,3 см На пяте клинка с левой стороны выбиты контрольные клейма: буква С в кружке, буква П в кружке, фрагмент клейма Златоустовской оружейной фабрики. В нижней части рукояти - латунная втулка, на которой с правой стороны дважды выбиты цифры 83, с левой стороны в прямоугольнике надпись: «ЗЛАТ.ОР.ФАБ.» и дата «1883г». Офицерские шашки обр. 1881 года раннего выпуска встречаются довольно редко, поскольку после 1888 года устье ножен обычно переделывалось владельцами по новому образцу. Является исторически-культурной ценностью.;11500;13000;;3_270_1.jpg;3_270_2.jpg;3_270_3.jpg;3_270_4.jpg;;;;;;;;;;;
3;1001759;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 271. Сабля морская офицерская обр. 1855/1914 гг. Россия. Конец XIX в.;;"Сталь, латунь, дерево, кожа. Ковка, штамп, гравировка, золочение. Длина в ножнах - 94,5 см; длина клинка - 76,5 см; ширина устья - 3,2 см. Клинок сделан в Германии, на пяте клинка выбито клеймо: «E.&F.H&#1254;RSTER SOLINGEN». Эфес состоит из рукояти с головкой и латунной гарды. Деревянная рукоять покрыта кожей и обмотана по поперечным желобкам витой проволокой. Головка рукояти в виде шарика. Гарда состоит из передней дужки, ответвляющихся от нее двух боковых дужек и крестовины, к которой присоединяются боковые дужки. На крестовине с обеих сторон шестиугольные плоские накладки. На одной из этих накладок имеется монограмма в виде сплетенных букв А и В. Вензель владельца встречается крайне редко. Конец крестовины слегка загнут в сторону обуха. Ножны деревянные, обтянутые кожей. В 1855 г. этот образец заменил у морских офицеров морскую офицерскую саблю обр. 1811 г., у адмиралов и генералов Морского ведомства, а также флигель-адъютантов - пехотные шпаги. В 1858 г. сабля с таким же эфесом, но с клинком матросского абордажного палаша обр. 1856 г. была присвоена боцманам и фельдфебелям флота. В 1906 г. офицерская сабля была присвоена всем командирам и сверхсрочнослужащим первого и второго разрядов Морского ведомства. Является исторически-культурной ценностью.";9000;11000;;3_271_1.jpg;3_271_2.jpg;3_271_3.jpg;;;;;;;;;;;;
3;1001760;;07.10.2015 12:00;01.01.2012 0:59;13.11.2015 12:00;13.11.2015 17:00;Лот 272. Шашка драгунская офицерская обр. 1881 г. с заказным клинком Россия. Конец XIX в.;;Сталь, латунь, дерево, кожа. Ковка, травление, золочение, резьба. Общая длина - 99 см, длина клинка - 84 см, ширина устья 3 см  Клинок изготовлен из стали, незначительной кривизны, однолезвийный, с одним долом с обеих сторон. Боевой конец двулезвийный. На пяте клинка пробито клеймо немецкой фирмы – изготовителя – «О.SPENNEMANN SOLINGEN». От устья до середины клинок украшен рельефным растительным орнаментом и изображениями рыцарских доспехов и оружия. Эфес состоит из деревянной рукояти с латунной головкой и латунной гарды. Гарда образована передней дужкой, отходящей от головки и плавно переходящей в крестовину. Конец крестовины имеет отверстие для темляка, слегка загнут вниз и закруглён. Рукоять деревянная, с диагональными желобками. Ножны деревянные, обтянутые чёрной кожей. Латунный прибор состоит из устья, гайки с кольцом и наконечника. Является исторически-культурной ценностью.;15000;17000;;2985546.jpg;2209116.jpg;3_272_3.jpg;;;;;;;;;;;;
4;1002115;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 309. Сабля турецкая парадная. Балканы(?). Конец XVIII - начало XIX вв.;;"Сталь (булат), серебро, рог, кожа, дерево; ковка, литье, чеканка, гравировка, насечка золотом. Общая длина 900 мм. Длина клинка 750 мм, ширина клинка 32 мм. Клинок турецкого булата с сильным изгибом. На правой стороне клинка клеймо мастера(?) таушировано золотом. Серебряные детали ножен и рукояти прочеканены глубоким растительным орнаментом.  Качество изготовления, индивидуальный стиль и заказной характер сабли указывают на высокий статус владельца. Прекрасная сохранность сабли предполагает ее парадное использование. На основании экспертного заключения Г.Э.Введенского является историко-культурной ценностью.";12000;15000;;4_309_3.jpg;4_309_4.jpg;4_309_5.jpg;4_309_2.jpg;4_309_1.jpg;;;;;;;;;;
4;1002116;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 310. Русская казачья офицерская нагайка. Россия. Конец XIX в.;;"Виноградная лоза, серебро, кожа; чернь, плетение. Общая длина 1530 мм, длина рукояти 435 мм. Качество и изящность исполнения указывают на принадлежность нагайки казачьей офицерской форме.";800;1300;;4_310_1.jpg;4_310_2.jpg;4_310_3.jpg;4_310_4.jpg;4_310_5.jpg;;;;;;;;;;
4;1002117;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 311. Русская казачья винтовка системы Бердана конструкции Сафонова. Россия. 1876 г.;;"Сталь, железо, дерево; ковка, литье, резьба, воронение. Общая длина 1235 мм, длина ствола до ствольной коробки 704 мм, калибр 4,2 линии (10,67 мм). Данный редкий образец казачьей винтовки в специальной литературе практически не описан. Он был разработан на базе драгунской винтовки системы Бердана №2 И.И.Сафоновым, в то время командиром л.-гв. Первого Кавказского казачьего эскадрона Собственного его Императорского Величества Конвоя. В 1869 году Сафонов разработал вариант казачьей винтовки для Императорского конвоя, который был утвержден Императором 26 сентября 1870 г. (Описания этого варианта в доступной литературе пока не выявлено.) В том же 1869 году Сафонов произведен в полковники, а с 1873 по 1877 год занимается вопросами перевооружения казачьих войск. Все детали винтовки, включая ложе, имеют расширенный набор клейм Сестрорецкого оружейного завода. Ложе выполнено из первоклассного ореха, что указывает на ранний выпуск (впоследствии использовалась более дешевая береза). Сквозные отверстия для ремня оформлены роговыми рамками. Тщательная подгонка всех деталей, вместе с отмеченным выше, указывает на изготовление по специальному заказу. Сестрорецкий завод был самым «дорогим» оружейным заводом России. Все вышесказанное, а также прекрасное состояние винтовки, позволяет предположить принадлежность ее Императорскому конвою. На основании экспертного заключения А.Н.Кулинского данная казачья винтовка является редким историческим оружием, имеющим большую историко-культурную ценность.";15000;18000;;4_311_1.jpg;4_311_2.jpg;4_311_3.jpg;4_311_4.jpg;4_311_5.jpg;4_311_6.jpg;4_311_7.jpg;4_311_8.jpg;4_311_9.jpg;4_311_10.jpg;4_311_11.jpg;4_311_12.jpg;;;
4;1002118;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 312. Русская кавалерийская офицерская сабля обр. 1827-1909 гг. Россия.;;"Сталь, латунь, дерево, кожа; ковка, литье, травление, золочение. Общая длина 1030 мм, длина клинка 880 мм, ширина клинка 31 мм. Клинок немецкой фирмы W.K.&C. для российского рынка. На правой стороне клинка в картуше изображен вензель НII, на левой - двуглавый орел. Эфес латунный, золочение практически утрачено в процессе бытования. Императорский вензель в медальоне на планке сточен (в период Временного правительства императорские вензеля на эфесах всех образцов офицерского холодного оружия стачивались). Крупный образец в очень хорошем состоянии. На основании экспертного заключения А.Н.Кулинского является антикварным оружием, имеющим историко-культурную ценность.";8000;10000;;4_312_1.jpg;4_312_2.jpg;4_312_3.jpg;4_312_4.jpg;4_312_5.jpg;4_312_6.jpg;4_312_7.jpg;4_312_8.jpg;;;;;;;
4;1002119;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 313. Русская казачья шашка нижних чинов обр. 1881 г. Россия. 1895 г.;;"Сталь, латунь, дерево, кожа; ковка. Общая длина 1003 мм, длина клинка 870 мм, ширина клинка 340 мм.  Шашка изготовлена на Златоустовской оружейной  фабрике в 1895 году. Треугольная скоба на гайке была формально отменена в 1894 г., но в течение некоторого времени еще использовалась. Клинок и эфес шашки имеет стандартный набор клейм Златоустовской оружейной фабрики. Зазубрины на клинке, потертости и порывы на коже ножен, и другие следы бытования указывают на активное боевое пользование предметом. Обращает на себя внимание оригинальный темляк шашки. На основании экспертного заключения А.Н.Кулинского шашка имеет историко-культурную ценность.";2500;3500;;4_313_1.jpg;4_313_2.jpg;4_313_3.jpg;4_313_4.jpg;4_313_5.jpg;4_313_6.jpg;4_313_7.jpg;;;;;;;;
4;1002120;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 314. Русские казачьи офицерские кинжалы (пара). Россия. Начало ХХ в.;;"Сталь, белый метал, дерево; ковка, гравировка, чернь, золочение. Большой кинжал: общая длина 468 мм, длина клинка 346 мм, ширина клинка 30 мм. Малый кинжал: общая длина 208 мм, длина клинка 131 мм, ширина клинка 20 мм Прибор большого кинжала выполнен в стиле так называемых «двусторонних» кинжалов. Этот стиль позволял носить кинжал разными сторонами (за счет перекидной обоймицы). У данного кинжала обоймица жестко зафиксирована в результате старого ремонта. Малый кинжал по размерам является детским, однако по использованным материалам, технике украшения и отдельным орнаментальным деталям, очевидно, что кинжалы образуют пару. Габариты большого кинжала схожи с габаритами уставного казачьего кинжала обр. 1904 г. Прилагается копия с оригинала фотографии, хранившейся в семье владельцев вместе с кинжалами. Солидный мужчина в форме полковника(?) казачьих войск одет по городской моде начала ХХ века. Третий кинжал утерян. Обычай носить сразу ТРИ! кинжала на поясе (тем более два из них - детские!) в известных источниках не зафиксирован. Очень любопытная и необычная пара. Является историко-культурной ценностью.";3000;3500;;4_314_9.jpg;4_314_8.jpg;4_314_7.jpg;4_314_6.jpg;4_314_5.jpg;4_314_1.jpg;4_314_2.jpg;4_314_3.jpg;4_314_4.jpg;;;;;;
4;1002121;;09.04.2012 11:02;09.10.2012 9:02;20.05.2012 12:00;20.05.2012 17:00;Лот 315. Русская казачья офицерская бурка. Россия. Конец XIX - начало ХХ вв.;;Войлок, офицерский галун. Длина 125 см Редкая офицерская бурка тонкой выделки с покатыми плечами сохранилась в отличном состоянии.;1300;1800;;4_315_1.jpg;;;;;;;;;;;;;;
5;1002678;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 508. Сабля литовская офицерская 1930-х гг.;;"Сталь, латунь, дерево, кожа; прокат, литье. Общая длина 1025 мм, длина клинка 875 мм, ширина клинка 31,5 мм. Эфес аналогичен эфесу русской кавалерийской офицерской сабли образца 1826 г. В верхней части планки - выпуклое изображение литовского герба, т.н. «Витаса». Клинок золингенской фирмы E.&F.HORSTER. Особенность устройства ножен - расположение колец на выгнутой стороне (т.н. шашечная подвеска)! Описание данного образца холодного оружия в литовской военно-исторической литературе выявить не удалось. Учитывая малочисленность офицерского корпуса литовской армии периода 1920-х - 1930-х гг., крайне редкий образец. На основании экспертного заключения А.Н.Кулинского сабля имеет историко-культурную ценность.";2000;2500;;5_508_1.jpg;5_508_2.jpg;5_508_3.jpg;5_508_4.jpg;5_508_5.jpg;5_508_6.jpg;;;;;;;;;
5;1002679;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 509. Сабля венгерская офицерская 1-й половины XIX в. с клинком XVIII в.;;"Сталь, рог; ковка, резьба, гравировка. Общая длина 904 мм, длина клинка 770 мм, ширина 46 мм. Клинок широкий, легкий. На правой стороне - изображение Богоматери и надпись Maria Mater Dei Patron Hungaria subtuum praesi- dium co... На левой - изображение восьмиконечного креста и надписи In hoc signo Vinces u Deus Exer citu- um Bellator Fortssime esto mecum. На обухе - надпись Pottenstein. Сабля изготовлена по индивидуальному заказу с использованием популярного клинка «с мадонной». Подобные сабли сохранились в небольшом количестве и находятся в основном в крупнейших музейных коллекциях. По мнению эксперта А.Н.Кулинского сабля имеет большую историко- культурную ценность.";2000;2500;;5_509_1.jpg;5_509_2.jpg;5_509_3.jpg;5_509_4.jpg;5_509_5.jpg;5_509_6.jpg;;;;;;;;;
5;1002680;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 510. Шпага прусская офицерская середины XIX в.;;"Сталь, латунь, серебро; ковка, литье, травление, золочение. Общая длина 997 мм, длина клинка 813 мм, ширина 21,5 мм. Клинок с обеих сторон по всей длине украшен травленым растительным орнаментом, изображением трофеев. На пяте - буквы С Е Н. Рукоять крупная, исполнена на высоком художественном уровне. Шпага безусловно изготовлена по индивидуальному заказу богатого офицера. На головке рукояти - изображение гранаты, указывающее на род службы заказчика. На основании экспертного заключения А.Н.Кулинского шпага имеет историко- культурную ценность.";1000;1300;;5_510_1.jpg;5_510_2.jpg;5_510_3.jpg;5_510_4.jpg;5_510_5.jpg;5_510_6.jpg;5_510_7.jpg;;;;;;;;
5;1002681;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 511. Сабля европейская первой четверти XIX в.;;"Булатная сталь, латунь, кость, дерево, кожа; ковка, литье, гравировка, золочение. Общая длина 899 мм, длина клинка 765 мм, ширина 29,5 мм. Типичная европейская сабля периода наполеоновских войн, т.н. мамлюкского типа. После знаменитой битвы у пирамид офицеры французской армии стали заказывать оружейникам сабли восточного типа. Особым шиком было использование трофейного восточного клинка (как в этом случае). Великолепный клинок редкого (и дорогого) сорта булата - кара-харасан одет в ножны с «секретом». Съемные обоймицы прибора позволяют менять подвеску с «сабельной» на «шашечную» (с кольцами на выгнутой кромке ножен). Сделано это из практических соображений, что вкупе с общим износом сабли указывает на ее длительное использование в боевых целях. Прекрасный образец «наполеоники». Эксперт А.Н.Кулинский отмечает большую историко-культурную ценность сабли.";4000;5000;;5_511_1.jpg;5_511_2.jpg;5_511_3.jpg;5_511_4.jpg;5_511_5.jpg;5_511_6.jpg;;;;;;;;;
5;1002682;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 512. Сабля австрийская или венгерская(?) офицерская 1-й половины XIX в.;;"Дамасская сталь, рог, дерево; ковка. Общая длина 831 мм, длина клинка 734 мм, ширина клинка 29 мм. Клинок большой кривизны, дамасской стали с ярко выраженным узором. Концы крестовины выполнены в виде костей. Сабля изготовлена по индивидуальному заказу, клейма и надписи отсутствуют, что затрудняет точную атрибуцию. Интересный, необычный предмет. На основании экспертного заключения А.Н.Кулинского сабля имеет историко-культурную ценность.";1000;1300;;5_512_1.jpg;5_512_2.jpg;5_512_3.jpg;5_512_4.jpg;5_512_5.jpg;;;;;;;;;;
5;1002683;;10.10.2012 11:05;01.04.2012 22:48;23.11.2012 14:00;23.11.2012 18:00;Лот 513. Кирасса европейская, возможно, Франция. XVIII в.;;"Сталь, латунь, кожа; ковка, чеканка, литье. Высота 39 см, ширина 37 см, глубина 16,5 см. Передняя часть кирасы XVIII в. Подобные кирасы широко применялись воюющими европейскими странами также и во время наполеоновских войн.";1000;1300;;5_513_1.jpg;5_513_2.jpg;;;;;;;;;;;;;
