"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000580";"http://auction-ruseasons.ru/items_images/";"Гравюра «Ассамблея при Петре I».";"Бумага, печать по стали Ф.А. Брокгауза в Лейпциге с картины Хлебовского, издательство В.Е. Генкеля в Санкт-Петербурге, паспарту, золотое тиснение. Размер 22х29.3 см ( в паспарту 25.5х33.5 см)";"02/190/08";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_08_1.jpg";"02_190_08_2.jpg";"02_190_08_3.jpg";"";"";"";"";"";""
"1000581";"http://auction-ruseasons.ru/items_images/";"Литография «Драма Осттровского «Не так живи как хочется».";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/09";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_09_1.jpg";"02_190_09_2.jpg";"02_190_09_3.jpg";"";"";"";"";"";""
"1000582";"http://auction-ruseasons.ru/items_images/";"Литография «Комедия Островского «Бедная невеста»  действие II явление5.";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/10";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_10_1.jpg";"02_190_10_2.jpg";"02_190_10_3.jpg";"";"";"";"";"";""
"1000583";"http://auction-ruseasons.ru/items_images/";"Литография «Комедия Островского «Бедная невеста» действие I явление 2.";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/11";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_11_1.jpg";"02_190_11_2.jpg";"02_190_11_3.jpg";"";"";"";"";"";""
"1000584";"http://auction-ruseasons.ru/items_images/";"Литография «Сочинение Островского "Сцены из купеческого быта».";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/12";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_12_1.jpg";"02_190_12_2.jpg";"02_190_12_3.jpg";"";"";"";"";"";""
"1000585";"http://auction-ruseasons.ru/items_images/";"Литография «Комедия Островского «Бедность не порок».";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/13";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_13_1.jpg";"02_190_13_2.jpg";"02_190_13_3.jpg";"02_190_13_4.jpg";"02_190_13_5.jpg";"";"";"";""
"1000586";"http://auction-ruseasons.ru/items_images/";"Литография «Комедия Островского«Не в свои сани не садись».";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/14";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_14_1.jpg";"02_190_14_2.jpg";"02_190_14_3.jpg";"02_190_14_4.jpg";"02_190_14_5.jpg";"02_190_14_6.jpg";"";"";""
"1000587";"http://auction-ruseasons.ru/items_images/";"Литография «Комедия Островского "Свои люди сочтемся».";"Бумага, печать. Рисунок на камне П. Викторова с оригинала П.М. Боклевского. XIX в. Размер 44х31.5 см";"02/190/15";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_190_15_1.jpg";"02_190_15_2.jpg";"02_190_15_3.jpg";"02_190_15_4.jpg";"02_190_15_5.jpg";"02_190_15_6.jpg";"02_190_15_7.jpg";"";""
"1000588";"http://auction-ruseasons.ru/items_images/";"Михаил Григорьевич Ратнер «Весна на Ангаре».";"Автолитография, 35х50 (45,5х62) см";"02/218/01";"№02";"10000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_218_01_1.jpg";"02_218_01_2.jpg";"02_218_01_3.jpg";"02_218_01_4.jpg";"";"";"";"";""
"1000589";"http://auction-ruseasons.ru/items_images/";"Скородумова Таисия Николаевна (р.1928) «Прогулка у Кремля».";"Линогравюра, 1959 г., 39,5х26.5 (49х31,5) см";"02/218/02";"№02";"8000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_218_02_1.jpg";"02_218_02_2.jpg";"02_218_02_3.jpg";"02_218_02_4.jpg";"";"";"";"";""
