"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";""
"1000403";"http://auction-ruseasons.ru/items_images/";"Менажница «Цветы яблони».";"Фаянс, зеленое крытье, роспись, Фабрика Гарднера, Россия, марка красная «Фабрик . Гарднеръ в Москве», к. XIX - н. ХХ вв., 13х33.5х33.5 см";"02/188/01";"№02";"6000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_188_01_1.jpg";"02_188_01_2.jpg";"02_188_01_3.jpg";"02_188_01_4.jpg";"02_188_01_5.jpg";"";"";"";"";"";"";""
"1000404";"http://auction-ruseasons.ru/items_images/";"Конфетница «Девушка с лютней».";"Фарфор, кобальт, золочение, деколь, Германия, Зуль, фабрика Erdmann Schlegelmilch, 1910-е гг., высота 13 см, длина 6.5 см (реставрация ручки)";"02/188/02";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_188_02_1.jpg";"02_188_02_2.jpg";"02_188_02_3.jpg";"02_188_02_4.jpg";"02_188_02_5.jpg";"02_188_02_6.jpg";"";"";"";"";"";""
"1000405";"http://auction-ruseasons.ru/items_images/";"Тарелка декоративная «Семейная прогулка».";"Фарфор, деколь с подрисовкой, золочение. Марка: в тесте изображение восьмерки или знака «бесконечность» (неизвестная марка). Западная Европа, н. ХХ в. Диаметр 34 см (небольшие потертости по деколи и потертости позолоты)";"02/188/05";"№02";"7000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_188_05_1.jpg";"02_188_05_2.jpg";"02_188_05_3.jpg";"02_188_05_4.jpg";"";"";"";"";"";"";"";""
"1000406";"http://auction-ruseasons.ru/items_images/";"Яйцо пасхальное «Св. Николай Чудотворец»";"Фарфор, роспись, золочение, Россия, реставрация живописи,  потертости золочения , высота 8 см";"02/199/04";"№02";"9000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_199_04_1.jpg";"02_199_04_2.jpg";"02_199_04_3.jpg";"02_199_04_4.jpg";"02_199_04_5.jpg";"02_199_04_6.jpg";"";"";"";"";"";""
"1000407";"http://auction-ruseasons.ru/items_images/";"Тарелки парные «Ампирный орнамент».";"Фарфор, розовое крытье, роспись, золочение, Франция, Севр, н. XIX в., диаметр 23,5 см (потертости)";"02/201/01";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_201_01_1.jpg";"02_201_01_2.jpg";"02_201_01_3.jpg";"02_201_01_4.jpg";"02_201_01_5.jpg";"02_201_01_6.jpg";"02_201_01_7.jpg";"02_201_01_8.jpg";"02_201_01_9.jpg";"02_201_01_10.jpg";"";""
"1000408";"http://auction-ruseasons.ru/items_images/";"Блюдце «Орнамент».";"Фарфор, роспись, золочение, марка НI под короной, Россия, ИФЗ, период Николая I (1825-1855), диаметр 17 см (потертости)";"02/201/02";"№02";"9800";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_201_02_1.jpg";"02_201_02_2.jpg";"02_201_02_3.jpg";"";"";"";"";"";"";"";"";""
"1000409";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем «Цветы и птицы».";"Фарфор, роспись, золочение, Франция, Севр, 1853 г., марка зеленая печатная S 53, в тесте - «D», высота чашки 6,3 см, диаметр блюдца 12 см.";"02/201/03";"№02";"8000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_201_03_1.jpg";"02_201_03_2.jpg";"02_201_03_3.jpg";"02_201_03_4.jpg";"02_201_03_5.jpg";"02_201_03_6.jpg";"02_201_03_7.jpg";"02_201_03_8.jpg";"02_201_03_9.jpg";"02_201_03_10.jpg";"02_201_03_11.jpg";"02_201_03_12.jpg"
"1000410";"http://auction-ruseasons.ru/items_images/";"Плакетка «Амур, вырезающий лук».";"Фарфор, роспись, на обороте надпись «Аморъ», «38», G-синяя подглазурная, рамка - латунь, золочение, кожа, Россия (?), 1-я пол. XIX в., завод Гарднера (?), на коже «Dooken Meyer Helmstedt», овал 16х11 см.";"02/201/04";"№02";"50000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_201_04_1.jpg";"02_201_04_2.jpg";"02_201_04_3.jpg";"02_201_04_4.jpg";"02_201_04_5.jpg";"";"";"";"";"";"";""
"1000411";"http://auction-ruseasons.ru/items_images/";"6 чашек с блюдцами «Розы».";"Фарфор, роспись, золочение, Россия, марка ВС, синяя надглазурная, коричневым N3, завод В. Сабянина, 1845-1875 гг., высота чашки - 5 см, диаметр блюдца - 13 см.";"02/203/01";"№02";"60000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_203_01_1.jpg";"02_203_01_2.jpg";"02_203_01_3.jpg";"02_203_01_4.jpg";"02_203_01_5.jpg";"02_203_01_6.jpg";"02_203_01_7.jpg";"02_203_01_8.jpg";"02_203_01_9.jpg";"02_203_01_10.jpg";"02_203_01_11.jpg";"02_203_01_12.jpg"
"1000412";"http://auction-ruseasons.ru/items_images/";"Чашка с блюдцем.";"Фарфор, роспись «Цветы», золочение, Россия, фабрика М.С. Кузнецова в Дулево, н. ХХ в., высота чашки - 7 см, диаметр блюдца - 13,5 см.";"02/203/02";"№02";"4000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_203_02_1.jpg";"02_203_02_2.jpg";"02_203_02_3.jpg";"02_203_02_4.jpg";"02_203_02_5.jpg";"02_203_02_6.jpg";"02_203_02_7.jpg";"";"";"";"";""
