"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9";"";"";"";""
"1000600";"http://auction-ruseasons.ru/items_images/";"Визитная карточка «Княгиня Юсупова Графиня Сумарокова - Эльстонъ».";"Картон, чернила. XIX в. Размер 8.5х12.5 см";"02/190/01";"№02";"4000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_01_1.jpg";"02_190_01_2.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000601";"http://auction-ruseasons.ru/items_images/";"Приглашение на закладку Музея Изящных Искусств в Москве.";"Картон, печать, чернила. Начало ХХ в. Размер14.5х23 см";"02/190/02";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_02_1.jpg";"02_190_02_2.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000602";"http://auction-ruseasons.ru/items_images/";"Приглашение от  Эмира Бухарского на обед в конверте.";"Картон, бумага, золотое тиснение, чернила. Начало ХХ в. Размер 8х16.7 см";"02/190/03";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_03_1.jpg";"02_190_03_2.jpg";"02_190_03_3.jpg";"02_190_03_4.jpg";"";"";"";"";"";"";"";"";""
"1000603";"http://auction-ruseasons.ru/items_images/";"Записка - приглашение на вечер от Князя В.А. Долгорукова.";"Бумага, чернила. XIX в. Размер 13.5х13.5 см";"02/190/04";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_04_1.jpg";"02_190_04_2.jpg";"02_190_04_3.jpg";"";"";"";"";"";"";"";"";"";""
"1000604";"http://auction-ruseasons.ru/items_images/";"Приглашение на бал по повелению «Ихъ Императорскихъ Величествъ» 27 февраля 1891 года.";"Картон, печать, чернила. 27 февраля 1891 года. Размер 13.5х20 см";"02/190/05";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_05_1.jpg";"02_190_05_2.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000605";"http://auction-ruseasons.ru/items_images/";"Приглашение на бал по повелению «Ихъ Императорскихъ Величествъ»27 февраля 1891 года (рукописный текст).";"Картон, чернила. Размер 12.7х19.2 см";"02/190/06";"№02";"10000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_06_1.jpg";"02_190_06_2.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000606";"http://auction-ruseasons.ru/items_images/";"Приглашение на бракосочетание сына от Князя и Княгини Васильчиковых.";"Картон, чернила. XIX в. Размер 12.2х18.5 см";"02/190/07";"№02";"8000";"04.12.2010 15:00";"14.12.2010 15:00";"02_190_07_1.jpg";"02_190_07_2.jpg";"";"";"";"";"";"";"";"";"";"";""
"1000607";"http://auction-ruseasons.ru/items_images/";"Книга. А.Н. Сальников «Русские поэты за сто лет, с пушкинской эпохи до наших дней» (с краткими биографиями и 119 портретами).";"Бумага, печать, переплет - ледерин, золотое тиснение. «Издание В.И. Губинского», Санкт-Петербург 1901 г. Колличество страниц - 600. Размер: 25х17, вес - 1020 гр. (рукописная адресация на обороте титульного листа, потертости переплета)";"02/194/01";"№02";"500";"04.12.2010 15:00";"14.12.2010 15:00";"02_194_01_1.jpg";"02_194_01_2.jpg";"02_194_01_3.jpg";"02_194_01_4.jpg";"02_194_01_5.jpg";"02_194_01_6.jpg";"02_194_01_7.jpg";"02_194_01_8.jpg";"02_194_01_9.jpg";"02_194_01_10.jpg";"02_194_01_11.jpg";"02_194_01_12.jpg";"02_194_01_13.jpg"
"1000608";"http://auction-ruseasons.ru/items_images/";"«Альбом Современных деятелей Искусства и литературы».";"Бумага, печать, переплет - ледерин, золотое и полихромное тиснение. «Коммерческая Скоропечатня Евгения Тиле, приемная Адмиралтейский каналъ № 17». Санкт-Петербург 19001 г. Альбом содержит стихотворные произведения Л.Н. Толстого, К.С. Станиславского, М.И. Чайковского, Ф.И. Шаляпина, Д.Н. Мамина-Сибиряка и др. Колличество страниц - 256. Размер 23х32 см, вес - 1.230 гр (отсутствуют титульный лист и 6 первых страниц, состояние среднее)";"02/194/02";"№02";"500";"04.12.2010 15:00";"14.12.2010 15:00";"02_194_02_1.jpg";"02_194_02_2.jpg";"02_194_02_3.jpg";"02_194_02_4.jpg";"02_194_02_5.jpg";"02_194_02_6.jpg";"02_194_02_7.jpg";"02_194_02_8.jpg";"02_194_02_9.jpg";"02_194_02_10.jpg";"02_194_02_11.jpg";"";""
"1000609";"http://auction-ruseasons.ru/items_images/";"«ЕЖЕГОДНИКЪ ИМПЕРАТОРСКИХЪ ТЕАТРОВЪ» Сезон 1897-1898 гг.";"Бумага, печать. «Типография Императорскихъ Санкт-Петербургскихъ театровъ, Моховая, 40, 1899г., редактор А.Е. Молчанов». Количество страниц - 453. Размер 25.5х18 см. (состояние ветхое, отсутствие переплета)";"02/194/03";"№02";"1500";"04.12.2010 15:00";"14.12.2010 15:00";"02_194_03_1.jpg";"02_194_03_2.jpg";"02_194_03_3.jpg";"02_194_03_4.jpg";"02_194_03_5.jpg";"02_194_03_6.jpg";"02_194_03_7.jpg";"02_194_03_8.jpg";"02_194_03_9.jpg";"02_194_03_10.jpg";"02_194_03_11.jpg";"02_194_03_12.jpg";""
