"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000620";"http://auction-ruseasons.ru/items_images/";"Барометр в латунном корпусе (настольно - настенный).";"Западная Европа, н. ХХ в. Диаметр 10.6 см";"02/188/06";"№02";"3000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_188_06_1.jpg";"02_188_06_2.jpg";"02_188_06_3.jpg";"02_188_06_4.jpg";"02_188_06_5.jpg";"02_188_06_6.jpg";"";"";""
"1000621";"http://auction-ruseasons.ru/items_images/";"Красное знамя «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности».";"Бархат, машинная вышивка, наконечник на древко - металл, 1970-80-е гг. Надписи: «Министерство нефтяной промышленности и ЦК профсоюза рабочих нефтяной, химической и газовой промышленности», «Победителю во всесоюзном социалистическом соревновании», «Пролетарии всех стран объединяйтесь», «Под знаменем МАРКСИЗМА-ЛЕНИНИЗМА, под руководством Коммунистической партии - вперед, к победе коммунизма!» Размер 132х165 см";"02/192/01";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_192_01_1.jpg";"02_192_01_2.jpg";"";"";"";"";"";"";""
"1000622";"http://auction-ruseasons.ru/items_images/";"Механическая музыкальная игрушка «Птички в клетке».";"Дерево бронзированное, металл, ткань, перья,  Западная Европа, ХIХ в., заводной механизм в рабочем состоянии, птички по очереди открывают клювики, щебечут и двигают хвостиками, 38х25х20 см.";"02/199/01";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_199_01_1.jpg";"02_199_01_2.jpg";"02_199_01_3.jpg";"02_199_01_4.jpg";"02_199_01_5.jpg";"02_199_01_6.jpg";"";"";""
"1000623";"http://auction-ruseasons.ru/items_images/";"Штопор.";"Сталь, 1-я треть ХХ в., длина 19 см";"02/204/01";"№02";"2500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_01_1.jpg";"02_204_01_2.jpg";"";"";"";"";"";"";""
"1000624";"http://auction-ruseasons.ru/items_images/";"Штопор.";"Сталь, н. ХХ в., длина 11,5 см";"02/204/02";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_02_1.jpg";"02_204_02_2.jpg";"";"";"";"";"";"";""
"1000625";"http://auction-ruseasons.ru/items_images/";"Штопор.";"Сталь, дерево, н. ХХ в., на ручке «American…»,  длина 11 см";"02/204/03";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_03_1.jpg";"02_204_03_2.jpg";"";"";"";"";"";"";""
"1000626";"http://auction-ruseasons.ru/items_images/";"Штопор.";"Сталь, н. ХХ в., клейма: Monopol, D.R.G.M, длина 12,5 см";"02/204/04";"№02";"1500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_04_1.jpg";"02_204_04_2.jpg";"02_204_04_3.jpg";"02_204_04_4.jpg";"";"";"";"";""
"1000627";"http://auction-ruseasons.ru/items_images/";"Штопор.";"Сталь, н. ХХ в., длина 10 см";"02/204/05";"№02";"2000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_05_1.jpg";"02_204_05_2.jpg";"";"";"";"";"";"";""
"1000628";"http://auction-ruseasons.ru/items_images/";"Будильник «Николай II и Александра Федоровна».";"3 циферблата, металл, никелировка, бумага, печать, Россия, н. ХХ в., высота 19 см. В рабочем состоянии.";"02/204/07";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_07_1.jpg";"02_204_07_2.jpg";"02_204_07_3.jpg";"02_204_07_4.jpg";"02_204_07_5.jpg";"02_204_07_6.jpg";"";"";""
"1000629";"http://auction-ruseasons.ru/items_images/";"Подстаканник в неоклассическом стиле.";"Металл, серебрение, B. Hennenberg, Варшава, нач. ХХ в., высота 9,3 см.";"02/204/12";"№02";"6000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_12_1.jpg";"02_204_12_2.jpg";"02_204_12_3.jpg";"02_204_12_4.jpg";"02_204_12_5.jpg";"02_204_12_6.jpg";"02_204_12_7.jpg";"";""
"1000630";"http://auction-ruseasons.ru/items_images/";"Подстаканник «Русский богатырь».";"Латунь, серебрение, СССР, 1950-60-е гг., клеймо ЛЭ (Ленэмальер), высота 8 см.";"02/204/13";"№02";"1200";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_204_13_1.jpg";"02_204_13_2.jpg";"02_204_13_3.jpg";"02_204_13_4.jpg";"02_204_13_5.jpg";"02_204_13_6.jpg";"02_204_13_7.jpg";"02_204_13_8.jpg";""
"1000631";"http://auction-ruseasons.ru/items_images/";"Подставка под вазу.";"Бронза, серебрение, Варшава, к. ХIХ - н. ХХ вв., выс. 26см, стекло отсутствует, патина.";"02/205/03";"№02";"4000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_03_1.jpg";"02_205_03_2.jpg";"02_205_03_3.jpg";"02_205_03_4.jpg";"02_205_03_5.jpg";"02_205_03_6.jpg";"02_205_03_7.jpg";"02_205_03_8.jpg";""
"1000632";"http://auction-ruseasons.ru/items_images/";"Подстаканник «Спутник».";"Мельхиор, СССР, 1960-е годы, высота 11 см";"02/205/07";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_07_1.jpg";"02_205_07_2.jpg";"02_205_07_3.jpg";"02_205_07_4.jpg";"02_205_07_5.jpg";"02_205_07_6.jpg";"";"";""
"1000633";"http://auction-ruseasons.ru/items_images/";"Подстаканник «Медный всадник».";"Мельхиор, эмаль, печать, 1950-е гг., высота 10,4 см";"02/205/08";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_08_1.jpg";"02_205_08_2.jpg";"02_205_08_3.jpg";"02_205_08_4.jpg";"02_205_08_5.jpg";"02_205_08_6.jpg";"02_205_08_7.jpg";"";""
"1000634";"http://auction-ruseasons.ru/items_images/";"Фигурка «Медведь».";"Алебастр, резьба, высота 7 см (мелкие сколы)";"02/205/12";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_12_1.jpg";"02_205_12_2.jpg";"02_205_12_3.jpg";"02_205_12_4.jpg";"02_205_12_5.jpg";"";"";"";""
"1000635";"http://auction-ruseasons.ru/items_images/";"Настольное украшение «Муха на яйце».";"Алебастр, металл, раскраска, н. ХХ в., высота 2,8 см";"02/205/13";"№02";"3000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_205_13_1.jpg";"02_205_13_2.jpg";"02_205_13_3.jpg";"02_205_13_4.jpg";"02_205_13_5.jpg";"02_205_13_6.jpg";"02_205_13_7.jpg";"02_205_13_8.jpg";""
"1000636";"http://auction-ruseasons.ru/items_images/";"Трубка курительная.";"Пенка, пластмасса, марка Monte Bello, н. ХХ в., длина 12 см.";"02/206/16";"№02";"2200";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_16_1.jpg";"02_206_16_2.jpg";"02_206_16_3.jpg";"";"";"";"";"";""
"1000637";"http://auction-ruseasons.ru/items_images/";"Коробка для карамели, фабрика «Бельфор».";"Жесть, штамповка, цветная печать «Сцены из древнерусской жизни», размер 24,5х17,5х16 см. (потертости)";"02/206/28";"№02";"3500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_28_1.jpg";"02_206_28_2.jpg";"02_206_28_3.jpg";"02_206_28_4.jpg";"02_206_28_5.jpg";"02_206_28_6.jpg";"";"";""
"1000638";"http://auction-ruseasons.ru/items_images/";"Орехокол «Скрипач».";"Дерево, резьба, Западная Европа, к. XIX - н. ХХ вв., высота 17,5 см (утраты, сколы)";"02/207/06";"№02";"500";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_207_06_1.jpg";"02_207_06_2.jpg";"02_207_06_3.jpg";"02_207_06_4.jpg";"02_207_06_5.jpg";"02_207_06_6.jpg";"02_207_06_7.jpg";"02_207_06_8.jpg";""
"1000639";"http://auction-ruseasons.ru/items_images/";"Подставка для карандашей «Куропатка».";"Дерево, резьба, Западная Европа, 1-я пол. ХХ в., высота 18,5 см, сколы.";"02/207/07";"№02";"1000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_207_07_1.jpg";"02_207_07_2.jpg";"02_207_07_3.jpg";"02_207_07_4.jpg";"02_207_07_5.jpg";"02_207_07_6.jpg";"02_207_07_7.jpg";"02_207_07_8.jpg";""
"1000640";"http://auction-ruseasons.ru/items_images/";"Памятный жетон «Февральская революция 1917 г.».";"Латунь, 3,2х2,5 см";"02/198/06";"№02";"900";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_198_06_1.jpg";"02_198_06_2.jpg";"";"";"";"";"";"";""
