"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000246";"http://auction-ruseasons.ru/items_images/";"Картина «Натюрморт с цветами и книгой».";"Холст, масло, подпись «Янков М», Россия, 1930-е гг., рама. Размер 60х51 см";"02/195/01";"№02";"60000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_195_01_1.jpg";"02_195_01_2.jpg";"02_195_01_3.jpg";"02_195_01_4.jpg";"02_195_01_5.jpg";"";"";"";""
"1000247";"http://auction-ruseasons.ru/items_images/";"Картина «Дом у озера».";"Холст, масло, подпись «В. Бобров 1905», в раме. Размер 20х29 см";"02/195/02";"№02";"60000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_195_02_1.jpg";"02_195_02_2.jpg";"02_195_02_3.jpg";"";"";"";"";"";""
"1000248";"http://auction-ruseasons.ru/items_images/";"Картина «Деревенский пейзаж, закат».";"Холст, масло, подпись «Розен»(?), Россия, к. XIX в. Размер 58х90 см (осыпи, утраты)";"02/195/03";"№02";"20000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_195_03_1.jpg";"02_195_03_2.jpg";"02_195_03_3.jpg";"";"";"";"";"";""
"1000249";"http://auction-ruseasons.ru/items_images/";"Лажечников А.И. (1870-1944) «Дачный дом».";"Картон, масло, подпись А. Лажечников, Россия, 1-я пол. ХХ в., 20,5х25 см";"02/202/01";"№02";"45000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_202_01_1.jpg";"02_202_01_2.jpg";"02_202_01_3.jpg";"";"";"";"";"";""
"1000250";"http://auction-ruseasons.ru/items_images/";"Лажечников А.И. (1870-1944) «Фонтан».";"Бумага на картоне, масло, подпись А. Лажечников, Россия, 1-я пол. ХХ в., 39х25,7см";"02/202/02";"№02";"45000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_202_02_1.jpg";"02_202_02_2.jpg";"02_202_02_3.jpg";"";"";"";"";"";""
"1000251";"http://auction-ruseasons.ru/items_images/";"Картина «Интерьер избы».";"Акварель, бумага, подпись Р. Козеровский (или -кая), 1892 год, 13,5х26,5 см (в оригинальной раме, паспарту, под стеклом)";"02/202/03";"№02";"12000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_202_03_1.jpg";"02_202_03_2.jpg";"02_202_03_3.jpg";"";"";"";"";"";""
"1000252";"http://auction-ruseasons.ru/items_images/";"Акварель «Гордость».";"Гризайль, подпись Табурин, Россия, к. XIX в., размер 29,2х20 см";"02/206/12";"№02";"11000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_12_1.jpg";"02_206_12_2.jpg";"02_206_12_3.jpg";"";"";"";"";"";""
"1000253";"http://auction-ruseasons.ru/items_images/";"Парные картинки «Берег лесного озера», «Тропинка в лесу».";"Холст, масло, подпись НА, н. ХХ в., 14х9.5 см.";"02/206/15";"№02";"3000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_15_1.jpg";"02_206_15_2.jpg";"02_206_15_3.jpg";"02_206_15_4.jpg";"02_206_15_5.jpg";"";"";"";""
"1000254";"http://auction-ruseasons.ru/items_images/";"Картина «Озеро в горах».";"Бумага, акварель, без подписи, н. ХХ в., неизвестный художник, размер 20х29 см (в раме под стеклом)";"02/211/01";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_211_01_1.jpg";"02_211_01_2.jpg";"";"";"";"";"";"";""
"1000255";"http://auction-ruseasons.ru/items_images/";"Картина «Поляна в лесу».";"Холст на картоне, масло, подпись справа внизу «В. Петров», Россия, н. ХХ в., размер 38х24 см.";"02/211/02";"№02";"40000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_211_02_1.jpg";"02_211_02_2.jpg";"02_211_02_3.jpg";"";"";"";"";"";""
"1000256";"http://auction-ruseasons.ru/items_images/";"Картина «Пейзаж с хатой», неизвестный художник.";"Бумага, смешанная техника, справа внизу карандашом FG(?), к. ХIХ в., 22,5х30 см";"02/215/06";"№02";"16000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_215_06_1.jpg";"02_215_06_2.jpg";"02_215_06_3.jpg";"";"";"";"";"";""
"1000257";"http://auction-ruseasons.ru/items_images/";"Копия с картины К.Н. Брюллова «Вирсавия».";"Холст, масло, подпись А.Чижов, 2-я пол. ХХ в. Размер 80х60 см";"02/219/01";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_219_01_1.jpg";"02_219_01_2.jpg";"02_219_01_3.jpg";"";"";"";"";"";""
"1000258";"http://auction-ruseasons.ru/items_images/";"Копия с картины И.К.Айвазовского «Девятый вал».";"Фанера, масло, подпись Б. Сперанский, ХХ в. Размер 75х105см";"02/219/08";"№02";"12000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_219_08_1.jpg";"02_219_08_2.jpg";"02_219_08_3.jpg";"";"";"";"";"";""
"1000259";"http://auction-ruseasons.ru/items_images/";"Картина «Береза у пруда».";"Холст, масло, подпись «И. Проскурнин», 2-я пол. ХХ в. Размер 115х82 см.";"02/219/09";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_219_09_1.jpg";"02_219_09_2.jpg";"02_219_09_3.jpg";"";"";"";"";"";""
