"Порядковый номер";"Base image URL";"Title";"Description";"Номер договора";"Номер аукциона";"prise";"start";"stop";"Base Image URL 1";"Base Image URL 2";"Base Image URL 3";"Base Image URL 4";"Base Image URL 5";"Base Image URL 6";"Base Image URL 7";"Base Image URL 8";"Base Image URL 9"
"1000305";"http://auction-ruseasons.ru/items_images/";"Картина «Натюрморт с фруктами».";"Холст, масло, подпись Ф.Паников(?), 1-я пол. ХХ в., 66,5х53 см";"02/061/07";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_061_07_1.jpg";"02_061_07_2.jpg";"02_061_07_3.jpg";"";"";"";"";"";""
"1000306";"http://auction-ruseasons.ru/items_images/";"М.В. Васильев «Натюрморт с кухонной утварью и овощами».";"Холст, масло, на обороте дата - 1959 г., 40х60 см";"02/065/03";"№02";"10000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_065_03_1.jpg";"02_065_03_2.jpg";"02_065_03_3.jpg";"";"";"";"";"";""
"1000307";"http://auction-ruseasons.ru/items_images/";"Картина «Натюрморт с розами».";"Холст, масло, справа внизу инициалы и дата «НТ 29», на обороте карандашом «тырса» и «№93», 60х49 см (мелкие осыпи)";"02/193/03";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_193_03_1.jpg";"02_193_03_2.jpg";"02_193_03_3.jpg";"02_193_03_4.jpg";"";"";"";"";""
"1000308";"http://auction-ruseasons.ru/items_images/";"Картина «На городской площади».";"Холст, масло, на обороте карандашом: «Является собственностью Быкова Юрия подарено Резникович Вадиславом 5 октября 1975 г.» и подпись «Влад.Резникович»(?), 64х90 см";"02/193/04";"№02";"15000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_193_04_1.jpg";"02_193_04_2.jpg";"02_193_04_3.jpg";"";"";"";"";"";""
"1000309";"http://auction-ruseasons.ru/items_images/";"Картина «Мужской портрет».";"Оргалит, масло, справа внизу подпись неразборчиво, над подписью наклеена шестиконечная звезда, Россия, 1960-е - 1970-е гг., 62,5х48 см";"02/193/05";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_193_05_1.jpg";"02_193_05_2.jpg";"02_193_05_3.jpg";"";"";"";"";"";""
"1000310";"http://auction-ruseasons.ru/items_images/";"Картина «Любимая».";"Бумага на оргалите, масло, справа внизу карандашом «Бобров (?) 64», Россия, 1960-е гг., 49,5х40 см";"02/193/06";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_193_06_1.jpg";"02_193_06_2.jpg";"02_193_06_3.jpg";"";"";"";"";"";""
"1000311";"http://auction-ruseasons.ru/items_images/";"Картина «Беспредметная композиция».";"Бумага на оргалите, масло, без подписи, Россия, 1960-е гг., 80х50 см";"02/193/07";"№02";"5000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_193_07_1.jpg";"02_193_07_2.jpg";"";"";"";"";"";"";""
"1000312";"http://auction-ruseasons.ru/items_images/";"«Физкультурница».";"Живопись на стекле, СССР, 1930-е гг., в металлической рамке, 60х29 см. (трещина)";"02/206/05";"№02";"35000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_206_05_1.jpg";"02_206_05_2.jpg";"";"";"";"";"";"";""
"1000313";"http://auction-ruseasons.ru/items_images/";"Левитин Андрей Анатольевич (р.1947) «На репетиции».";"Холст, масло, слева внизу подпись и дата, 1990 г., 65х46 см";"02/216/02";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_216_02_1.jpg";"02_216_02_2.jpg";"02_216_02_3.jpg";"02_216_02_4.jpg";"";"";"";"";""
"1000314";"http://auction-ruseasons.ru/items_images/";"Васин Владимир Алексеевич (1918-2006 ) «У самовара».";"Картон, масло, справа внизу подпись, 2-я пол. ХХ в., 60х50 см";"02/216/03";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_216_03_1.jpg";"02_216_03_2.jpg";"02_216_03_3.jpg";"02_216_03_4.jpg";"";"";"";"";""
"1000315";"http://auction-ruseasons.ru/items_images/";"Некрасов Дмитрий Михайлович (р.1960 ) «На закате».";"Холст, масло, справа внизу подпись, к. ХХ в., 57х73 см";"02/216/04";"№02";"30000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_216_04_1.jpg";"02_216_04_2.jpg";"02_216_04_3.jpg";"02_216_04_4.jpg";"";"";"";"";""
"1000316";"http://auction-ruseasons.ru/items_images/";"Сарафанова-Легат Клавдия (Диана) Федоровна (1911–1989) «Азиатский город».";"Смешанная техника, 1964 г., 44х64 см";"02/218/10";"№02";"25000";"4 декабря 2010 г.";"14 декабря 2010 г.";"02_218_10_1.jpg";"02_218_10_2.jpg";"02_218_10_3.jpg";"02_218_10_4.jpg";"";"";"";"";""
