auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img;;
№02;02/191/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Московский университет».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне);Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (скол на лицевой стороне, сколы на задней стороне);5000;02_191_01_1.jpg;02_191_01_2.jpg;;;;;;;;
№02;02/191/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Большой театр».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_02_1.jpg;02_191_02_2.jpg;;;;;;;;
№02;02/191/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Дворец съездов».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина);Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см. (небольшая технологическая трещина);5000;02_191_03_1.jpg;02_191_03_2.jpg;;;;;;;;
№02;02/191/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «СЭВ» (Здание «Совета экономической взаимопомощи»).;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_04_1.jpg;02_191_04_2.jpg;;;;;;;;
№02;02/191/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Третьяковская галерея».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_05_1.jpg;02_191_05_2.jpg;;;;;;;;
№02;02/191/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Башни Кремля».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_06_1.jpg;02_191_06_2.jpg;;;;;;;;
№02;02/191/07;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Исторический музей».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_07_1.jpg;02_191_07_2.jpg;;;;;;;;
№02;02/191/08;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Храм Василия Блаженного».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_08_1.jpg;02_191_08_2.jpg;;;;;;;;
№02;02/191/09;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Настенное декоративное блюдо «Кремлёвские соборы».;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;Керамика, глазурь, роспись, СССР, 1970-е гг., диаметр 50 см.;5000;02_191_09_1.jpg;02_191_09_2.jpg;;;;;;;;
№02;02/195/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Композиция из двух фигур «Золушка и Принц», «Принц».;Фарфор, роспись полихромная, золочение, ЛЗФИ, 1950-60 гг. Высота 8 и 11,5 см;Фарфор, роспись полихромная, золочение, ЛЗФИ, 1950-60 гг. Высота 8 и 11,5 см;10000;02_195_04_1.jpg;02_195_04_2.jpg;02_195_04_3.jpg;02_195_04_4.jpg;02_195_04_5.jpg;02_195_04_6.jpg;02_195_04_7.jpg;02_195_04_8.jpg;02_195_04_9.jpg;02_195_04_10.jpg
№02;02/203/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Горчичница «Подсолнух».;Фарфор, роспись, Западная Европа, 1-я пол. ХХ в., высота 4 см., диаметр 6,5 см.;Фарфор, роспись, Западная Европа, 1-я пол. ХХ в., высота 4 см., диаметр 6,5 см.;1000;02_203_03_1.jpg;02_203_03_2.jpg;02_203_03_3.jpg;02_203_03_4.jpg;02_203_03_5.jpg;02_203_03_6.jpg;;;;
№02;02/204/11;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Сливочник.;Фарфор, подпись «Кошки и мышки», В.Ф. Афоничев, авторская роспись, предмет поступил из семьи художника,СССР, 1970-80-е гг., высота 10 см.;Фарфор, подпись «Кошки и мышки», В.Ф. Афоничев, авторская роспись, предмет поступил из семьи художника,СССР, 1970-80-е гг., высота 10 см.;8000;02_204_11_1.jpg;02_204_11_2.jpg;02_204_11_3.jpg;02_204_11_4.jpg;02_204_11_5.jpg;02_204_11_6.jpg;02_204_11_7.jpg;02_204_11_8.jpg;;
