auction_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;img;img;img;img;img;img;img;img;;
№02;02/188/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Менажница «Цветы яблони».;Фаянс, зеленое крытье, роспись, Фабрика Гарднера, Россия, марка красная «Фабрик . Гарднеръ в Москве», к. XIX - н. ХХ вв., 13х33.5х33.5 см;Фаянс, зеленое крытье, роспись, Фабрика Гарднера, Россия, марка красная «Фабрик . Гарднеръ в Москве», к. XIX - н. ХХ вв., 13х33.5х33.5 см;6000;02_188_01_1.jpg;02_188_01_2.jpg;02_188_01_3.jpg;02_188_01_4.jpg;02_188_01_5.jpg;;;;;
№02;02/188/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Конфетница «Девушка с лютней».;Фарфор, кобальт, золочение, деколь, Германия, Зуль, фабрика Erdmann Schlegelmilch, 1910-е гг., высота 13 см, длина 6.5 см (реставрация ручки);Фарфор, кобальт, золочение, деколь, Германия, Зуль, фабрика Erdmann Schlegelmilch, 1910-е гг., высота 13 см, длина 6.5 см (реставрация ручки);1500;02_188_02_1.jpg;02_188_02_2.jpg;02_188_02_3.jpg;02_188_02_4.jpg;02_188_02_5.jpg;02_188_02_6.jpg;;;;
№02;02/188/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка декоративная «Семейная прогулка».;Фарфор, деколь с подрисовкой, золочение. Марка: в тесте изображение восьмерки или знака «бесконечность» (неизвестная марка). Западная Европа, н. ХХ в. Диаметр 34 см (небольшие потертости по деколи и потертости позолоты);Фарфор, деколь с подрисовкой, золочение. Марка: в тесте изображение восьмерки или знака «бесконечность» (неизвестная марка). Западная Европа, н. ХХ в. Диаметр 34 см (небольшие потертости по деколи и потертости позолоты);7000;02_188_05_1.jpg;02_188_05_2.jpg;02_188_05_3.jpg;02_188_05_4.jpg;;;;;;
№02;02/199/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Св. Николай Чудотворец»;Фарфор, роспись, золочение, Россия, реставрация живописи,  потертости золочения , высота 8 см;Фарфор, роспись, золочение, Россия, реставрация живописи,  потертости золочения , высота 8 см;9000;02_199_04_1.jpg;02_199_04_2.jpg;02_199_04_3.jpg;02_199_04_4.jpg;02_199_04_5.jpg;02_199_04_6.jpg;;;;
№02;02/201/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелки парные «Ампирный орнамент».;Фарфор, розовое крытье, роспись, золочение, Франция, Севр, н. XIX в., диаметр 23,5 см (потертости);Фарфор, розовое крытье, роспись, золочение, Франция, Севр, н. XIX в., диаметр 23,5 см (потертости);15000;02_201_01_1.jpg;02_201_01_2.jpg;02_201_01_3.jpg;02_201_01_4.jpg;02_201_01_5.jpg;02_201_01_6.jpg;02_201_01_7.jpg;02_201_01_8.jpg;02_201_01_9.jpg;02_201_01_10.jpg
№02;02/201/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Блюдце «Орнамент».;Фарфор, роспись, золочение, марка НI под короной, Россия, ИФЗ, период Николая I (1825-1855), диаметр 17 см (потертости);Фарфор, роспись, золочение, марка НI под короной, Россия, ИФЗ, период Николая I (1825-1855), диаметр 17 см (потертости);9800;02_201_02_1.jpg;02_201_02_2.jpg;02_201_02_3.jpg;;;;;;;
№02;02/201/03;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы и птицы».;Фарфор, роспись, золочение, Франция, Севр, 1853 г., марка зеленая печатная S 53, в тесте - «D», высота чашки 6,3 см, диаметр блюдца 12 см.;Фарфор, роспись, золочение, Франция, Севр, 1853 г., марка зеленая печатная S 53, в тесте - «D», высота чашки 6,3 см, диаметр блюдца 12 см.;8000;02_201_03_1.jpg;02_201_03_2.jpg;02_201_03_3.jpg;02_201_03_4.jpg;02_201_03_5.jpg;02_201_03_6.jpg;02_201_03_7.jpg;02_201_03_8.jpg;02_201_03_9.jpg;02_201_03_10.jpg
№02;02/201/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Плакетка «Амур, вырезающий лук».;Фарфор, роспись, на обороте надпись «Аморъ», «38», G-синяя подглазурная, рамка - латунь, золочение, кожа, Россия (?), 1-я пол. XIX в., завод Гарднера (?), на коже «Dooken Meyer Helmstedt», овал 16х11 см.;Фарфор, роспись, на обороте надпись «Аморъ», «38», G-синяя подглазурная, рамка - латунь, золочение, кожа, Россия (?), 1-я пол. XIX в., завод Гарднера (?), на коже «Dooken Meyer Helmstedt», овал 16х11 см.;50000;02_201_04_1.jpg;02_201_04_2.jpg;02_201_04_3.jpg;02_201_04_4.jpg;02_201_04_5.jpg;;;;;
№02;02/203/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;6 чашек с блюдцами «Розы».;Фарфор, роспись, золочение, Россия, марка ВС, синяя надглазурная, коричневым N3, завод В. Сабянина, 1845-1875 гг., высота чашки - 5 см, диаметр блюдца - 13 см.;Фарфор, роспись, золочение, Россия, марка ВС, синяя надглазурная, коричневым N3, завод В. Сабянина, 1845-1875 гг., высота чашки - 5 см, диаметр блюдца - 13 см.;60000;02_203_01_1.jpg;02_203_01_2.jpg;02_203_01_3.jpg;02_203_01_4.jpg;02_203_01_5.jpg;02_203_01_6.jpg;02_203_01_7.jpg;02_203_01_8.jpg;02_203_01_9.jpg;02_203_01_10.jpg
№02;02/203/02;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, роспись «Цветы», золочение, Россия, фабрика М.С. Кузнецова в Дулево, н. ХХ в., высота чашки - 7 см, диаметр блюдца - 13,5 см.;Фарфор, роспись «Цветы», золочение, Россия, фабрика М.С. Кузнецова в Дулево, н. ХХ в., высота чашки - 7 см, диаметр блюдца - 13,5 см.;4000;02_203_02_1.jpg;02_203_02_2.jpg;02_203_02_3.jpg;02_203_02_4.jpg;02_203_02_5.jpg;02_203_02_6.jpg;02_203_02_7.jpg;;;
№02;02/203/04;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Колокольчики».;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;18500;02_203_04_1.jpg;02_203_04_2.jpg;02_203_04_3.jpg;02_203_04_4.jpg;02_203_04_5.jpg;02_203_04_6.jpg;;;;
№02;02/203/05;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Яйцо пасхальное «Цветы и гирлянды».;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;Фарфор, роспись, Россия, н. ХХ в., высота 11 см.;18500;02_203_05_1.jpg;02_203_05_2.jpg;02_203_05_3.jpg;02_203_05_4.jpg;02_203_05_5.jpg;02_203_05_6.jpg;02_203_05_7.jpg;;;
№02;02/203/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем «Цветы».;Фарфор, зеленое крытье, роспись, золочение, Россия, завод братьев Корниловых, 1850-60-е гг., без марки, высота чашки - 6,5 см, диаметр блюдца - 15 см.;Фарфор, зеленое крытье, роспись, золочение, Россия, завод братьев Корниловых, 1850-60-е гг., без марки, высота чашки - 6,5 см, диаметр блюдца - 15 см.;20000;02_203_06_1.jpg;02_203_06_2.jpg;02_203_06_3.jpg;02_203_06_4.jpg;02_203_06_5.jpg;02_203_06_6.jpg;02_203_06_7.jpg;02_203_06_8.jpg;02_203_06_9.jpg;02_203_06_10.jpg
№02;02/204/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;2 рамки для фотографий «Зимние пейзажи».;Фарфор, роспись, муар, Россия, н. ХХ в., размер 19,2х15,2 см и 19,5х15,2 см;Фарфор, роспись, муар, Россия, н. ХХ в., размер 19,2х15,2 см и 19,5х15,2 см;14000;02_204_06_1.jpg;02_204_06_2.jpg;02_204_06_3.jpg;02_204_06_4.jpg;02_204_06_5.jpg;02_204_06_6.jpg;02_204_06_7.jpg;02_204_06_8.jpg;02_204_06_9.jpg;02_204_06_10.jpg
№02;02/204/10;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Чашка с блюдцем.;Фарфор, кобальт, роспись золотом, фабрика М.С. Кузнецова в Дулево, н . ХХ в., высота чашки  5,5 см, диаметр блюдца 15,5 см.;Фарфор, кобальт, роспись золотом, фабрика М.С. Кузнецова в Дулево, н . ХХ в., высота чашки  5,5 см, диаметр блюдца 15,5 см.;3500;02_204_10_1.jpg;02_204_10_2.jpg;02_204_10_3.jpg;02_204_10_4.jpg;02_204_10_5.jpg;02_204_10_6.jpg;02_204_10_7.jpg;02_204_10_8.jpg;02_204_10_9.jpg;
№02;02/204/14;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Три декоративные тарелки «Девочка с лукошком».;Фарфор, роспись, подпись «Л. Добровольская», Россия, н. ХХ в., диаметр 20 см. Сколы.;Фарфор, роспись, подпись «Л. Добровольская», Россия, н. ХХ в., диаметр 20 см. Сколы.;15000;02_204_14_1.jpg;02_204_14_2.jpg;02_204_14_3.jpg;02_204_14_4.jpg;02_204_14_5.jpg;02_204_14_6.jpg;02_204_14_7.jpg;02_204_14_8.jpg;02_204_14_9.jpg;02_204_14_10.jpg
№02;02/206/01;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Конфетница «Корзинка».;Фарфор, роспись полихромная, лепка, н. ХХ в., без марки, высота 16 см.;Фарфор, роспись полихромная, лепка, н. ХХ в., без марки, высота 16 см.;1100;02_206_01_1.jpg;02_206_01_2.jpg;02_206_01_3.jpg;02_206_01_4.jpg;02_206_01_5.jpg;;;;;
№02;02/206/06;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Вазы парные в стиле рококо.;Фарфор, голубое крытье, роспись под-надглазурная, золочение, Западная Европа, к. XIX - ХХ вв., высота 47 см.;Фарфор, голубое крытье, роспись под-надглазурная, золочение, Западная Европа, к. XIX - ХХ вв., высота 47 см.;48000;02_206_06_1.jpg;02_206_06_2.jpg;02_206_06_3.jpg;02_206_06_4.jpg;02_206_06_5.jpg;02_206_06_6.jpg;;;;
№02;02/206/09;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Тарелка декоративная «Портрет цыганки».;Фарфор, крытье, живопись надглазурная полихромная, н. ХХ в., диаметр 17,5 см.;Фарфор, крытье, живопись надглазурная полихромная, н. ХХ в., диаметр 17,5 см.;5000;02_206_09_1.jpg;02_206_09_2.jpg;;;;;;;;
№02;02/206/10;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Шкатулка «Курица».;Бисквит, полихромная роспись, к. XIX в., высота 23 см, длина 27 см.;Бисквит, полихромная роспись, к. XIX в., высота 23 см, длина 27 см.;25000;02_206_10_1.jpg;02_206_10_2.jpg;02_206_10_3.jpg;02_206_10_4.jpg;02_206_10_5.jpg;02_206_10_6.jpg;02_206_10_7.jpg;;;
№02;02/206/11;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Парные вазочки «Ландыши».;Фарфор, подглазурная полихромная роспись, Копенгаген, Дания, Bing & Grondal, 1-я пол. ХХ в., высота 16,5 см.;Фарфор, подглазурная полихромная роспись, Копенгаген, Дания, Bing & Grondal, 1-я пол. ХХ в., высота 16,5 см.;9000;02_206_11_1.jpg;02_206_11_2.jpg;02_206_11_3.jpg;02_206_11_4.jpg;02_206_11_5.jpg;;;;;
№02;02/206/20;4.12.2012;14.12.2012;4.12.2012;14.12.2012;Блюдо «Мифологический сюжет».;Фарфор, деколь, Западная Европа, к. XIX - н. ХХ вв., диаметр 30 см.;Фарфор, деколь, Западная Европа, к. XIX - н. ХХ вв., диаметр 30 см.;9000;02_206_20_1.jpg;02_206_20_2.jpg;02_206_20_3.jpg;02_206_20_4.jpg;;;;;;
