Порядковый номер;Base image URL;Title;Description;номер договора;Номер аукциона;prise;start;stop;Base Image URL 1;Base Image URL 2;Base Image URL 3;Base Image URL 4;Base Image URL 5;Base Image URL 6;;;
1000270;http://auction-ruseasons.ru/items_images/;Картина «Морской пейзаж с гротом».;Неизвестный художник, холст, масло, к. XIX в., 45х60 см (реставрация, холст дублирован);02/061/04;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_061_04_1.jpg;02_061_04_2.jpg;02_061_04_3.jpg;;;;;;
1000271;http://auction-ruseasons.ru/items_images/;Картина Рыбаки в море».;Неизвестный художник, холст, масло, Западная Европа, к. XIX в., 53х71 см (потертости красочного слоя);02/061/06;№02;10000;4 декабря 2010 г.;14 декабря 2010 г.;02_061_06_1.jpg;02_061_06_2.jpg;02_061_06_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000272;http://auction-ruseasons.ru/items_images/;«Натюрморт с цветами».;Бумага, гуашь, подпись слева внизу «Edmond Le Villain», Западная Европа, к. XIX в., в современной раме и паспарту, под стеклом, размер 76х64 см;02/193/01;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_193_01_1.jpg;02_193_01_2.jpg;02_193_01_3.jpg;;;;;;
1000273;http://auction-ruseasons.ru/items_images/;Картина «Лес у реки».;Холст, масло, подпись справа внизу «F. Halberg-Krauss. Munchen», Германия, к. XIX - н. ХХ вв., 77,5х96,5 см (холст дублирован);02/193/02;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_193_02_1.jpg;02_193_02_2.jpg;02_193_02_3.jpg;;;;;;
1000274;http://auction-ruseasons.ru/items_images/;Картина «Женский портрет».;Медь, масло, 1-я пол. ХIХ в., 26х22 см. (осыпи, потертости, рама с утратами);02/199/03;№02;15000;4 декабря 2010 г.;14 декабря 2010 г.;02_199_03_1.jpg;02_199_03_2.jpg;;;;;;;
1000275;http://auction-ruseasons.ru/items_images/;Картина «Мать и дитя».;Неизвестный художник, холст, масло, Западная Европа, XIX в., 45х32.5 см;02/206/13;№02;16000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_13_1.jpg;02_206_13_2.jpg;02_206_13_3.jpg;;;;;;
1000276;http://auction-ruseasons.ru/items_images/;Аллегорическое изображение одной из масонских лож.;Холст, масло, подпись J. Potozky, Западная Европа, 2-я пол. XIX в., размер 41х30 см.;02/206/14;№02;9000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_14_1.jpg;02_206_14_2.jpg;02_206_14_3.jpg;;;;;;
1000277;http://auction-ruseasons.ru/items_images/;Акварели парные «Лошади».;Бумага, смеш. техника, подп. Eug. Pichaubes, Западная Европа, н. ХХ в., 29х39 см.;02/206/17;№02;56000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_17_1.jpg;02_206_17_2.jpg;02_206_17_3.jpg;02_206_17_4.jpg;02_206_17_5.jpg;02_206_17_6.jpg;;;
1000278;http://auction-ruseasons.ru/items_images/;Картина « Кабаны на просеке».;Холст, масло, подпись «W. Arnold» внизу справа, до 1895 г., размер 99х78 см.;02/206/18;№02;65000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_18_1.jpg;02_206_18_2.jpg;02_206_18_3.jpg;;;;;;
1000279;http://auction-ruseasons.ru/items_images/;Акварель «Венеция, набережная».;Бумага, акварель, Западная Европа, к. XIX в., размер 62х34 см.;02/206/19;№02;32000;4 декабря 2010 г.;14 декабря 2010 г.;02_206_19_1.jpg;02_206_19_2.jpg;02_206_19_3.jpg;;;;;;
